Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-09 16:19:22	 523 	c1254 	1590 	 63 	 10101000 	 168 	 14374088 	 56	 103	 74	 172	 5	 166	 
2019-05-09 16:19:24	1121 	c1254 	1591 	 69 	 01110100 	 116 	 14401976 	 56	 103	 75	 172	 5	 167	 
2019-05-09 16:19:34	1092 	c1254 	1592 	 73 	 10101000 	 168 	 14512448 	 57	 103	 75	 172	 5	 167	 
2019-05-10 00:41:57	 886 	c1254	458 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-10 09:11:57	 794 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-10 09:19:28	 784 	c1254 	1594 	 84 	 10111000 	 184 	 8461168 	 57	 103	 75	 172	 6	 167	 
2019-05-10 09:19:36	 861 	c1254 	1595 	 94 	 10111000 	 184 	 8548096 	 57	 103	 75	 172	 7	 167	 
2019-05-10 09:19:38	1042 	c1254 	1597 	 108 	 01110100 	 116 	 8571352 	 57	 103	 76	 172	 7	 168	 
2019-05-10 09:22:01	 590 	c1254 	1598 	 115 	 01111000 	 120 	 10108504 	 57	 103	 76	 173	 7	 168	 
2019-05-10 09:22:07	  37 	c1254 	1599 	 123 	 01111000 	 120 	 10168024 	 57	 103	 76	 174	 7	 168	 
2019-05-10 09:22:08	 527 	c1254 	1600 	 135 	 01110100 	 116 	 10183408 	 57	 103	 77	 174	 7	 169	 
2019-05-10 09:22:10	   8 	c1254 	1602 	 141 	 01010100 	 84 	 10200112 	 58	 103	 77	 174	 7	 169	 
2019-05-10 09:22:12	 758 	c1254 	1603 	 147 	 01110100 	 116 	 10228720 	 58	 103	 78	 174	 7	 169	 
2019-05-10 09:23:38	 996 	c1254 	1604 	 152 	 01010100 	 84 	 11158600 	 59	 103	 78	 174	 7	 169	 
2019-05-10 09:23:40	 548 	c1254 	1605 	 156 	 01010100 	 84 	 11175976 	 60	 103	 78	 174	 7	 169	 
2019-05-10 09:23:44	 188 	c1254 	1608 	 168 	 01110100 	 116 	 11215792 	 60	 103	 79	 174	 7	 170	 
2019-05-10 09:23:47	 466 	c1254 	1609 	 176 	 01110100 	 116 	 11250808 	 60	 103	 80	 174	 7	 170	 
2019-05-10 09:24:01	 352 	c1254 	1610 	 181 	 01010100 	 84 	 11400808 	 61	 103	 80	 174	 7	 170	 
2019-05-10 09:24:02	1108 	c1254 	1611 	 185 	 01010100 	 84 	 11418688 	 62	 103	 80	 174	 7	 170	 
2019-05-10 09:24:05	 852 	c1254 	1612 	 189 	 01010100 	 84 	 11448664 	 63	 103	 80	 174	 7	 170	 
2019-05-10 09:24:11	 961 	c1254 	1613 	 195 	 01110100 	 116 	 11514448 	 63	 103	 81	 174	 7	 171	 
2019-05-10 09:24:13	 131 	c1254 	1614 	 201 	 01110100 	 116 	 11528248 	 63	 103	 82	 174	 7	 171	 
2019-05-10 09:24:14	 385 	c1254 	1615 	 207 	 01110100 	 116 	 11541424 	 63	 103	 83	 174	 7	 171	 
