Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-10 21:52:01	 737 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-11 06:22:01	 791 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-11 14:52:01	 797 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-11 23:22:01	 800 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-12 07:52:01	 790 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-12 16:22:01	 810 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-13 00:52:01	 798 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-13 08:25:07	1073 	c1254 	1705 	 253 	 10111000 	 184 	 7808360 	 80	 116	 102	 195	 10	 197	 
2019-05-13 09:07:09	 322 	c1254 	1706 	 2 	 11111000 	 248 	 1404264 	 81	 116	 102	 195	 10	 197	 
2019-05-13 09:08:09	 854 	c1254 	1707 	 6 	 01010100 	 84 	 2056872 	 82	 116	 102	 195	 10	 197	 
2019-05-13 09:20:33	  99 	c1254 	1708 	 12 	 01110100 	 116 	 10082424 	 82	 116	 103	 195	 10	 198	 
2019-05-13 09:20:44	 547 	c1254 	1709 	 17 	 01010100 	 84 	 10205448 	 83	 116	 103	 195	 10	 198	 
2019-05-13 09:22:01	1072 	c1254	660 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-13 09:22:23	1059 	c1254 	1710 	 23 	 01110100 	 116 	 11279712 	 83	 116	 104	 195	 10	 199	 
2019-05-13 09:22:25	   7 	c1254 	1711 	 27 	 01010100 	 84 	 11291448 	 84	 116	 104	 195	 10	 199	 
2019-05-13 09:22:26	 360 	c1254 	1713 	 37 	 10110100 	 180 	 11305560 	 84	 117	 104	 195	 10	 199	 
2019-05-13 09:22:43	1121 	c1254 	1714 	 43 	 01111000 	 120 	 11496384 	 84	 117	 104	 196	 10	 199	 
2019-05-13 09:26:53	 697 	c1254 	1715 	 47 	 01010100 	 84 	 14193720 	 85	 117	 104	 196	 10	 199	 
2019-05-13 09:26:54	 195 	c1254 	1716 	 51 	 01010100 	 84 	 14199816 	 86	 117	 104	 196	 10	 199	 
2019-05-13 09:26:55	 963 	c1254 	1717 	 57 	 01110100 	 116 	 14217816 	 86	 117	 105	 196	 10	 200	 
2019-05-13 09:28:01	 887 	c1254 	1718 	 62 	 10101000 	 168 	 14930472 	 87	 117	 105	 196	 10	 200	 
2019-05-13 09:29:48	 744 	c1254 	1719 	 66 	 10101000 	 168 	 16086792 	 88	 117	 105	 196	 10	 200	 
2019-05-13 09:31:44	 353 	c1254 	1721 	 72 	 10101000 	 168 	 562040 	 89	 117	 105	 196	 10	 200	 
2019-05-13 09:31:44	 970 	c1254 	1723 	 78 	 10101000 	 168 	 567848 	 90	 117	 105	 196	 10	 200	 
2019-05-13 09:32:06	 186 	c1254 	1724 	 82 	 10101000 	 168 	 798896 	 91	 117	 105	 196	 10	 200	 
2019-05-13 09:32:09	1123 	c1254 	1725 	 86 	 10101000 	 168 	 840224 	 92	 117	 105	 196	 10	 200	 
2019-05-13 09:32:15	 352 	c1254 	1726 	 90 	 10101000 	 168 	 898016 	 93	 117	 105	 196	 10	 200	 
2019-05-13 09:32:44	  54 	c1254 	1727 	 101 	 10111000 	 184 	 1209680 	 93	 117	 105	 196	 11	 200	 
2019-05-13 09:37:30	 720 	c1254 	1728 	 105 	 01010100 	 84 	 4327904 	 94	 117	 105	 196	 11	 200	 
2019-05-13 09:37:33	 355 	c1254 	1729 	 111 	 01110100 	 116 	 4357232 	 94	 117	 106	 196	 11	 201	 
2019-05-13 09:37:35	 402 	c1254 	1730 	 121 	 10110100 	 180 	 4379552 	 94	 118	 106	 196	 11	 201	 
2019-05-13 09:41:50	 845 	c1254 	1731 	 129 	 01111000 	 120 	 7185152 	 94	 118	 106	 197	 11	 201	 
2019-05-13 09:42:27	 712 	c1254 	1732 	 139 	 01110100 	 116 	 7592240 	 94	 118	 107	 197	 11	 202	 
2019-05-13 09:42:37	 365 	c1254 	1733 	 147 	 01111000 	 120 	 7699376 	 94	 118	 107	 198	 11	 202	 
2019-05-13 09:43:40	 975 	c1254 	1734 	 157 	 11110100 	 244 	 8401712 	 95	 118	 107	 198	 11	 202	 
2019-05-13 09:43:50	  70 	c1254 	1735 	 163 	 01111000 	 120 	 8503760 	 95	 118	 107	 199	 11	 202	 
2019-05-13 09:44:10	 893 	c1254 	1736 	 173 	 10110100 	 180 	 8733128 	 95	 119	 107	 199	 11	 203	 
2019-05-13 09:44:19	 591 	c1254 	1738 	 183 	 01111000 	 120 	 8829968 	 95	 119	 107	 200	 11	 203	 
2019-05-13 09:44:22	 471 	c1254 	1739 	 194 	 01110100 	 116 	 8862080 	 95	 119	 108	 200	 11	 204	 
2019-05-13 09:44:26	 665 	c1254 	1740 	 200 	 01111000 	 120 	 8908280 	 95	 119	 108	 201	 11	 204	 
2019-05-13 09:45:11	 369 	c1254 	1741 	 206 	 10110100 	 180 	 9404672 	 95	 120	 108	 201	 11	 205	 
2019-05-13 09:45:16	 320 	c1254 	1742 	 213 	 11111000 	 248 	 9459704 	 96	 120	 108	 201	 11	 205	 
2019-05-13 09:45:20	 757 	c1254 	1743 	 221 	 01110100 	 116 	 9508304 	 96	 120	 109	 201	 11	 206	 
2019-05-13 09:45:25	 208 	c1254 	1744 	 227 	 01111000 	 120 	 9558584 	 96	 120	 109	 202	 11	 206	 
2019-05-13 09:45:37	 835 	c1254 	1745 	 233 	 01110100 	 116 	 9697904 	 96	 120	 110	 202	 11	 207	 
2019-05-13 09:45:42	 502 	c1254 	1746 	 241 	 01111000 	 120 	 9750272 	 96	 120	 110	 203	 11	 207	 
2019-05-13 09:47:01	 497 	c1254 	1747 	 252 	 01110100 	 116 	 10629464 	 96	 120	 111	 203	 11	 208	 
2019-05-13 09:47:11	 683 	c1254 	1748 	 2 	 01111000 	 120 	 10742696 	 96	 120	 111	 204	 11	 208	 
2019-05-13 09:48:16	1075 	c1254 	1749 	 9 	 11110100 	 244 	 11471816 	 97	 120	 111	 204	 11	 208	 
