Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-16 15:42:12	1131 	c1254 	2245 	 179 	 10101000 	 168 	 15224496 	 208	 192	 179	 303	 34	 337	 
2019-05-16 15:42:14	 557 	c1254 	2246 	 183 	 10101000 	 168 	 15241248 	 209	 192	 179	 303	 34	 337	 
2019-05-16 22:52:36	 877 	c1254	367 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-17 07:22:36	 798 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-17 08:35:44	 255 	c1254 	2247 	 187 	 10101000 	 168 	 13554968 	 210	 192	 179	 303	 34	 337	 
2019-05-17 08:47:45	1043 	c1254 	2251 	 197 	 10101000 	 168 	 4611424 	 211	 192	 179	 303	 34	 337	 
2019-05-17 08:47:48	 287 	c1254 	2252 	 201 	 10101000 	 168 	 4636888 	 212	 192	 179	 303	 34	 337	 
2019-05-17 08:48:09	 792 	c1254 	2253 	 207 	 10101000 	 168 	 4869688 	 213	 192	 179	 303	 34	 337	 
2019-05-17 08:50:24	 652 	c1254 	2255 	 213 	 10101000 	 168 	 6334672 	 214	 192	 179	 303	 34	 337	 
2019-05-17 09:08:48	 758 	c1254 	2256 	 217 	 10101000 	 168 	 1571904 	 215	 192	 179	 303	 34	 337	 
2019-05-17 09:08:49	 725 	c1254 	2257 	 221 	 10101000 	 168 	 1582488 	 216	 192	 179	 303	 34	 337	 
2019-05-17 09:22:58	 690 	c1254 	2258 	 225 	 10101000 	 168 	 10823472 	 217	 192	 179	 303	 34	 337	 
2019-05-17 09:24:20	 406 	c1254 	2260 	 233 	 01110100 	 116 	 11713392 	 217	 192	 180	 303	 34	 338	 
2019-05-17 10:10:39	 109 	c1254 	2261 	 240 	 01110100 	 116 	 8521048 	 217	 192	 181	 303	 34	 339	 
2019-05-17 10:31:14	 557 	c1254 	2262 	 245 	 10101000 	 168 	 5237928 	 218	 192	 181	 303	 34	 339	 
2019-05-17 10:31:56	 146 	c1254 	2264 	 253 	 10101000 	 168 	 5692008 	 219	 192	 181	 303	 34	 339	 
2019-05-17 10:53:36	 670 	c1254 	2266 	 3 	 10101000 	 168 	 3093872 	 220	 192	 181	 303	 34	 339	 
2019-05-17 10:53:39	 456 	c1254 	2268 	 9 	 10101000 	 168 	 3124568 	 221	 192	 181	 303	 34	 339	 
2019-05-17 10:53:41	 733 	c1254 	2269 	 13 	 10101000 	 168 	 3149000 	 222	 192	 181	 303	 34	 339	 
2019-05-17 10:54:47	 526 	c1254 	2270 	 17 	 01010100 	 84 	 3866672 	 223	 192	 181	 303	 34	 339	 
2019-05-17 10:54:48	 433 	c1254 	2271 	 23 	 01110100 	 116 	 3876704 	 223	 192	 182	 303	 34	 340	 
2019-05-17 10:59:52	 333 	c1254 	2272 	 30 	 01110100 	 116 	 7189856 	 223	 192	 183	 303	 34	 341	 
2019-05-17 11:00:09	1025 	c1254 	2273 	 37 	 01111000 	 120 	 7381712 	 223	 192	 183	 304	 34	 341	 
2019-05-17 11:01:53	1045 	c1254 	2274 	 43 	 10110100 	 180 	 8515832 	 223	 193	 183	 304	 34	 342	 
2019-05-17 11:02:04	 444 	c1254 	2275 	 51 	 01111000 	 120 	 8630096 	 223	 193	 183	 305	 34	 342	 
2019-05-17 11:03:03	 250 	c1254 	2276 	 61 	 01110100 	 116 	 9271664 	 223	 193	 184	 305	 34	 343	 
2019-05-17 11:03:11	 953 	c1254 	2277 	 67 	 01111000 	 120 	 9365528 	 223	 193	 184	 306	 34	 343	 
2019-05-17 11:03:52	 132 	c1254 	2278 	 73 	 01110100 	 116 	 9804824 	 223	 193	 185	 306	 34	 344	 
2019-05-17 11:04:04	 375 	c1254 	2280 	 82 	 01111000 	 120 	 9937952 	 223	 193	 185	 307	 34	 344	 
2019-05-17 11:04:45	 299 	c1254 	2281 	 90 	 01110100 	 116 	 10384352 	 223	 193	 186	 307	 34	 345	 
2019-05-17 11:04:56	 234 	c1254 	2282 	 98 	 01111000 	 120 	 10503656 	 223	 193	 186	 308	 34	 345	 
2019-05-17 11:05:30	 637 	c1254 	2284 	 107 	 10110100 	 180 	 10878248 	 223	 194	 186	 308	 34	 346	 
