Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-14 19:38:38	 976 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-14 20:29:38	 861 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-14 21:20:38	 873 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-14 22:11:38	 839 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-14 23:02:38	 839 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-14 23:53:38	 839 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 00:44:38	 834 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 01:35:38	 871 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 02:26:38	 847 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 03:17:38	 835 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 04:08:38	 835 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 04:59:38	 836 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 05:50:38	 837 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 06:41:38	 835 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 07:32:38	 878 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 08:23:38	 836 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 09:14:38	 840 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 10:05:38	 839 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 10:10:15	 711 	c1252 	3218 	 5 	 10111000 	 184 	 4072224 	 0	 0	 0	 0	 1	 0	 
2020-05-15 10:10:32	 538 	c1252 	3220 	 21 	 10111000 	 184 	 4264464 	 0	 0	 0	 0	 2	 0	 
2020-05-15 10:15:40	  28 	c1252 	3221 	 25 	 01010100 	 84 	 7771680 	 1	 0	 0	 0	 2	 0	 
2020-05-15 10:15:42	 217 	c1252 	3222 	 29 	 01010100 	 84 	 7796328 	 2	 0	 0	 0	 2	 0	 
2020-05-15 10:15:46	 553 	c1252 	3223 	 35 	 01110100 	 116 	 7845216 	 2	 0	 1	 0	 2	 1	 
2020-05-15 10:15:50	 437 	c1252 	3224 	 41 	 01110100 	 116 	 7889664 	 2	 0	 2	 0	 2	 1	 
2020-05-15 10:15:52	1133 	c1252 	3225 	 47 	 01110100 	 116 	 7919304 	 2	 0	 3	 0	 2	 1	 
2020-05-15 10:15:54	1104 	c1252 	3226 	 51 	 01010100 	 84 	 7941816 	 3	 0	 3	 0	 2	 1	 
2020-05-15 10:15:57	 746 	c1252 	3227 	 57 	 01110100 	 116 	 7972488 	 3	 0	 4	 0	 2	 1	 
2020-05-15 10:16:02	 374 	c1252 	3231 	 69 	 10110100 	 180 	 8025816 	 3	 1	 4	 0	 2	 1	 
2020-05-15 10:16:21	1119 	c1252 	3237 	 89 	 10111000 	 184 	 8249640 	 3	 1	 4	 0	 3	 1	 
2020-05-15 10:17:45	 977 	c1252 	3239 	 99 	 01111000 	 120 	 9205176 	 3	 1	 4	 1	 3	 1	 
2020-05-15 10:24:22	 714 	c1252 	3240 	 105 	 01110100 	 116 	 13720776 	 3	 1	 5	 1	 3	 2	 
2020-05-15 10:24:25	 185 	c1252 	3241 	 115 	 01110100 	 116 	 13749696 	 3	 1	 6	 1	 3	 2	 
2020-05-15 10:24:37	1145 	c1252 	3242 	 123 	 11111000 	 248 	 13895592 	 4	 1	 6	 1	 3	 2	 
2020-05-15 10:24:44	1118 	c1252 	3244 	 156 	 10110100 	 180 	 13974936 	 4	 2	 6	 1	 3	 3	 
2020-05-15 10:24:52	 329 	c1252 	3246 	 170 	 01111000 	 120 	 14058168 	 4	 2	 6	 2	 3	 3	 
2020-05-15 10:30:15	 168 	c1252 	3247 	 178 	 10110100 	 180 	 951608 	 4	 3	 6	 2	 3	 4	 
2020-05-15 10:30:25	 526 	c1252 	3248 	 186 	 01111000 	 120 	 1068800 	 4	 3	 6	 3	 3	 4	 
2020-05-15 10:31:31	 377 	c1252 	3249 	 190 	 01010100 	 84 	 1817552 	 5	 3	 6	 3	 3	 4	 
2020-05-15 10:31:34	 665 	c1252 	3250 	 196 	 10110100 	 180 	 1854488 	 5	 4	 6	 3	 3	 5	 
2020-05-15 10:31:45	 410 	c1252 	3251 	 205 	 01111000 	 120 	 1977008 	 5	 4	 6	 4	 3	 5	 
2020-05-15 10:42:26	 582 	c1252 	3252 	 209 	 01010100 	 84 	 9266816 	 6	 4	 6	 4	 3	 5	 
2020-05-15 10:42:29	 107 	c1252 	3253 	 220 	 01110100 	 116 	 9296264 	 6	 4	 7	 4	 3	 6	 
2020-05-15 10:42:42	1048 	c1252 	3254 	 229 	 01111000 	 120 	 9453272 	 6	 4	 7	 5	 3	 6	 
2020-05-15 10:45:12	 281 	c1252 	3255 	 235 	 10110100 	 180 	 11150816 	 6	 5	 7	 5	 3	 7	 
2020-05-15 10:45:24	1024 	c1252 	3256 	 243 	 01111000 	 120 	 11294528 	 6	 5	 7	 6	 3	 7	 
2020-05-15 10:46:51	 759 	c1252 	3257 	 253 	 10110100 	 180 	 12280568 	 6	 6	 7	 6	 3	 8	 
2020-05-15 10:47:03	 681 	c1252 	3258 	 5 	 01111000 	 120 	 12416192 	 6	 6	 7	 7	 3	 8	 
2020-05-15 10:47:44	 623 	c1252 	3259 	 12 	 01110100 	 116 	 12881624 	 6	 6	 8	 7	 3	 9	 
2020-05-15 10:47:55	 123 	c1252 	3260 	 19 	 01111000 	 120 	 13001744 	 6	 6	 8	 8	 3	 9	 
2020-05-15 10:51:07	 316 	c1252 	3261 	 25 	 10110100 	 180 	 15185864 	 6	 7	 8	 8	 3	 10	 
2020-05-15 10:51:20	 216 	c1252 	3263 	 35 	 01111000 	 120 	 15332648 	 6	 7	 8	 9	 3	 10	 
2020-05-15 10:54:22	 468 	c1252 	3265 	 45 	 01110100 	 116 	 627376 	 6	 7	 9	 9	 3	 11	 
