Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-14 18:55:19	 566 	c1254 	3164 	 249 	 10111000 	 184 	 1396456 	 95	 19	 58	 39	 3	 51	 
2020-05-15 03:15:48	 824 	c1254	257 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 10:20:59	1074 	c1254 	3165 	 253 	 10101000 	 168 	 12807856 	 96	 19	 58	 39	 3	 51	 
2020-05-15 10:21:00	 947 	c1254 	3166 	 1 	 10101000 	 168 	 12817672 	 97	 19	 58	 39	 3	 51	 
2020-05-15 10:21:01	 347 	c1254 	3167 	 5 	 10101000 	 168 	 12823000 	 98	 19	 58	 39	 3	 51	 
2020-05-15 10:21:03	 207 	c1254 	3168 	 9 	 01010100 	 84 	 12843736 	 99	 19	 58	 39	 3	 51	 
2020-05-15 10:21:19	 818 	c1254 	3169 	 13 	 01010100 	 84 	 13025992 	 100	 19	 58	 39	 3	 51	 
2020-05-15 10:21:20	 926 	c1254 	3170 	 19 	 01110100 	 116 	 13038040 	 100	 19	 59	 39	 3	 52	 
2020-05-15 10:30:11	  59 	c1254 	3171 	 24 	 01010100 	 84 	 2103912 	 101	 19	 59	 39	 3	 52	 
2020-05-15 10:30:24	1146 	c1254 	3172 	 28 	 01010100 	 84 	 2257392 	 102	 19	 59	 39	 3	 52	 
2020-05-15 10:30:29	  30 	c1254 	3173 	 32 	 01010100 	 84 	 2301864 	 103	 19	 59	 39	 3	 52	 
2020-05-15 10:30:30	 612 	c1254 	3174 	 36 	 01010100 	 84 	 2318400 	 104	 19	 59	 39	 3	 52	 
2020-05-15 10:30:53	 440 	c1254 	3175 	 40 	 01010100 	 84 	 2570064 	 105	 19	 59	 39	 3	 52	 
2020-05-15 10:30:57	 980 	c1254 	3176 	 44 	 01010100 	 84 	 2619240 	 106	 19	 59	 39	 3	 52	 
2020-05-15 10:31:02	 403 	c1254 	3177 	 48 	 01010100 	 84 	 2668824 	 107	 19	 59	 39	 3	 52	 
2020-05-15 10:31:03	 742 	c1254 	3178 	 52 	 01010100 	 84 	 2683056 	 108	 19	 59	 39	 3	 52	 
2020-05-15 10:31:05	 396 	c1254 	3179 	 58 	 01110100 	 116 	 2701800 	 108	 19	 60	 39	 3	 53	 
2020-05-15 10:31:06	 349 	c1254 	3180 	 62 	 01010100 	 84 	 2712360 	 109	 19	 60	 39	 3	 53	 
2020-05-15 10:31:07	1048 	c1254 	3181 	 68 	 01110100 	 116 	 2730000 	 109	 19	 61	 39	 3	 53	 
2020-05-15 10:31:08	 897 	c1254 	3182 	 72 	 01010100 	 84 	 2739576 	 110	 19	 61	 39	 3	 53	 
2020-05-15 10:31:12	 539 	c1254 	3183 	 78 	 01110100 	 116 	 2780232 	 110	 19	 62	 39	 3	 53	 
2020-05-15 10:31:13	 443 	c1254 	3184 	 82 	 01010100 	 84 	 2790336 	 111	 19	 62	 39	 3	 53	 
2020-05-15 10:31:16	 170 	c1254 	3185 	 90 	 01110100 	 116 	 2820792 	 111	 19	 63	 39	 3	 53	 
2020-05-15 10:31:17	 875 	c1254 	3186 	 96 	 01110100 	 116 	 2838504 	 111	 19	 64	 39	 3	 53	 
2020-05-15 10:31:21	 131 	c1254 	3187 	 102 	 01110100 	 116 	 2875488 	 111	 19	 65	 39	 3	 53	 
2020-05-15 10:31:22	 760 	c1254 	3189 	 110 	 01110100 	 116 	 2892480 	 111	 19	 66	 39	 3	 53	 
2020-05-15 10:31:26	 256 	c1254 	3190 	 116 	 01110100 	 116 	 2931744 	 111	 19	 67	 39	 3	 53	 
2020-05-15 10:31:27	 431 	c1254 	3191 	 120 	 01010100 	 84 	 2944416 	 112	 19	 67	 39	 3	 53	 
2020-05-15 10:31:28	 323 	c1254 	3192 	 124 	 01010100 	 84 	 2954400 	 113	 19	 67	 39	 3	 53	 
2020-05-15 10:31:29	 411 	c1254 	3193 	 130 	 01110100 	 116 	 2966256 	 113	 19	 68	 39	 3	 53	 
2020-05-15 10:31:30	 895 	c1254 	3194 	 134 	 01010100 	 84 	 2981856 	 114	 19	 68	 39	 3	 53	 
2020-05-15 10:31:33	 903 	c1254 	3197 	 149 	 10110100 	 180 	 3014976 	 114	 20	 68	 39	 3	 53	 
2020-05-15 10:31:53	 514 	c1254 	3198 	 155 	 01111000 	 120 	 3231456 	 114	 20	 68	 40	 3	 53	 
2020-05-15 10:34:31	 428 	c1254 	3199 	 159 	 01010100 	 84 	 4970208 	 115	 20	 68	 40	 3	 53	 
2020-05-15 10:34:32	 598 	c1254 	3200 	 163 	 01010100 	 84 	 4982832 	 116	 20	 68	 40	 3	 53	 
2020-05-15 10:34:34	  28 	c1254 	3201 	 167 	 01010100 	 84 	 4999440 	 117	 20	 68	 40	 3	 53	 
2020-05-15 10:34:34	1037 	c1254 	3202 	 171 	 01010100 	 84 	 5009016 	 118	 20	 68	 40	 3	 53	 
2020-05-15 10:34:36	 232 	c1254 	3203 	 175 	 01010100 	 84 	 5023392 	 119	 20	 68	 40	 3	 53	 
2020-05-15 10:34:38	 170 	c1254 	3205 	 181 	 01010100 	 84 	 5044824 	 120	 20	 68	 40	 3	 53	 
2020-05-15 10:34:40	1078 	c1254 	3206 	 185 	 01010100 	 84 	 5075448 	 121	 20	 68	 40	 3	 53	 
2020-05-15 10:34:44	 601 	c1254 	3207 	 189 	 01010100 	 84 	 5114952 	 122	 20	 68	 40	 3	 53	 
2020-05-15 10:34:45	 942 	c1254 	3208 	 193 	 01010100 	 84 	 5129184 	 123	 20	 68	 40	 3	 53	 
2020-05-15 10:34:47	 506 	c1254 	3209 	 197 	 01010100 	 84 	 5147064 	 124	 20	 68	 40	 3	 53	 
2020-05-15 10:34:48	 370 	c1254 	3211 	 205 	 01110100 	 116 	 5156784 	 124	 20	 69	 40	 3	 54	 
2020-05-15 10:34:49	 545 	c1254 	3212 	 211 	 01110100 	 116 	 5169456 	 124	 20	 70	 40	 3	 54	 
2020-05-15 10:34:50	 895 	c1254 	3213 	 215 	 01010100 	 84 	 5183784 	 125	 20	 70	 40	 3	 54	 
2020-05-15 10:34:53	 281 	c1254 	3214 	 221 	 01110100 	 116 	 5210976 	 125	 20	 71	 40	 3	 54	 
2020-05-15 10:34:54	 183 	c1254 	3215 	 227 	 01110100 	 116 	 5221056 	 125	 20	 72	 40	 3	 54	 
2020-05-15 10:34:57	 168 	c1254 	3216 	 231 	 01010100 	 84 	 5253936 	 126	 20	 72	 40	 3	 54	 
2020-05-15 10:34:57	 737 	c1254 	3217 	 235 	 01010100 	 84 	 5259336 	 127	 20	 72	 40	 3	 54	 
2020-05-15 10:35:00	 334 	c1254 	3219 	 245 	 01110100 	 116 	 5288544 	 127	 20	 73	 40	 3	 54	 
2020-05-15 10:35:01	 443 	c1254 	3221 	 1 	 01110100 	 116 	 5300592 	 127	 20	 74	 40	 3	 54	 
2020-05-15 10:35:03	 890 	c1254 	3223 	 9 	 01110100 	 116 	 5326872 	 127	 20	 75	 40	 3	 54	 
2020-05-15 10:35:21	1037 	c1254 	3224 	 18 	 01111000 	 120 	 5526408 	 127	 20	 75	 41	 3	 54	 
2020-05-15 10:39:21	1060 	c1254 	3225 	 22 	 01010100 	 84 	 8167848 	 128	 20	 75	 41	 3	 54	 
2020-05-15 10:39:22	 879 	c1254 	3226 	 28 	 01110100 	 116 	 8177136 	 128	 20	 76	 41	 3	 55	 
2020-05-15 10:39:23	 658 	c1254 	3227 	 32 	 01010100 	 84 	 8186040 	 129	 20	 76	 41	 3	 55	 
2020-05-15 10:39:25	 447 	c1254 	3229 	 40 	 01110100 	 116 	 8206056 	 129	 20	 77	 41	 3	 55	 
2020-05-15 10:39:26	1103 	c1254 	3230 	 46 	 01110100 	 116 	 8223288 	 129	 20	 78	 41	 3	 55	 
2020-05-15 10:39:28	 349 	c1254 	3231 	 50 	 01010100 	 84 	 8238144 	 130	 20	 78	 41	 3	 55	 
2020-05-15 10:39:29	  75 	c1254 	3232 	 54 	 01010100 	 84 	 8246544 	 131	 20	 78	 41	 3	 55	 
2020-05-15 10:39:30	 690 	c1254 	3233 	 62 	 01110100 	 116 	 8263392 	 131	 20	 79	 41	 3	 55	 
