Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 16:55:12	 869 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 17:46:12	 894 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 18:37:12	 894 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 19:28:12	 891 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 20:19:12	 891 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 21:10:12	 890 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 22:01:12	 887 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 22:52:12	 924 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 23:43:12	 894 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 00:34:12	 889 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 01:25:12	 886 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 02:16:12	 888 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 03:07:12	 890 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 03:58:12	 890 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 04:49:12	 928 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 05:40:12	 888 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 06:31:12	 892 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 07:22:12	 890 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 08:13:12	 899 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 09:03:18	 426 	c1272 	3738 	 31 	 10111000 	 184 	 6829208 	 153	 147	 141	 165	 47	 211	 
2020-05-17 09:03:19	 941 	c1272 	3740 	 39 	 10111000 	 184 	 6843824 	 153	 147	 141	 165	 48	 211	 
2020-05-17 09:03:20	 697 	c1272 	3741 	 43 	 01010100 	 84 	 6851864 	 154	 147	 141	 165	 48	 211	 
2020-05-17 09:04:12	1107 	c1272	463 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 09:05:47	 956 	c1272 	3743 	 58 	 10110100 	 180 	 8344712 	 154	 148	 141	 165	 48	 212	 
2020-05-17 09:10:28	 945 	c1272 	3744 	 64 	 01111000 	 120 	 11187944 	 154	 148	 141	 166	 48	 212	 
2020-05-17 09:18:15	1094 	c1272 	3746 	 76 	 10110100 	 180 	 15904616 	 154	 149	 141	 166	 48	 213	 
2020-05-17 09:18:29	1073 	c1272 	3747 	 82 	 01111000 	 120 	 16045616 	 154	 149	 141	 167	 48	 213	 
2020-05-17 09:22:19	  35 	c1272 	3750 	 97 	 01110100 	 116 	 1578208 	 154	 149	 142	 167	 48	 214	 
2020-05-17 09:22:35	 584 	c1272 	3751 	 106 	 01111000 	 120 	 1744120 	 154	 149	 142	 168	 48	 214	 
2020-05-17 09:27:04	 159 	c1272 	3754 	 116 	 10110100 	 180 	 4450408 	 154	 150	 142	 168	 48	 215	 
2020-05-17 09:27:12	 392 	c1272 	3755 	 127 	 11111000 	 248 	 4532992 	 155	 150	 142	 168	 48	 215	 
2020-05-17 09:28:55	 602 	c1272 	3756 	 132 	 11110100 	 244 	 5572120 	 156	 150	 142	 168	 48	 215	 
2020-05-17 09:29:04	 913 	c1272 	3757 	 138 	 01111000 	 120 	 5665432 	 156	 150	 142	 169	 48	 215	 
2020-05-17 09:35:31	 237 	c1272 	3761 	 156 	 10110100 	 180 	 9554800 	 156	 151	 142	 169	 48	 216	 
2020-05-17 09:35:38	 373 	c1272 	3762 	 162 	 01111000 	 120 	 9626416 	 156	 151	 142	 170	 48	 216	 
2020-05-17 09:36:15	 198 	c1272 	3764 	 173 	 10110100 	 180 	 9997216 	 156	 152	 142	 170	 48	 217	 
2020-05-17 09:36:20	 235 	c1272 	3765 	 181 	 01111000 	 120 	 10047856 	 156	 152	 142	 171	 48	 217	 
2020-05-17 09:36:29	 996 	c1272 	3766 	 187 	 10110100 	 180 	 10144936 	 156	 153	 142	 171	 48	 218	 
2020-05-17 09:36:37	 596 	c1272 	3767 	 193 	 01111000 	 120 	 10222000 	 156	 153	 142	 172	 48	 218	 
2020-05-17 09:43:12	  89 	c1272 	3768 	 199 	 10110100 	 180 	 14191960 	 156	 154	 142	 172	 48	 219	 
2020-05-17 09:43:22	 561 	c1272 	3769 	 205 	 01111000 	 120 	 14296648 	 156	 154	 142	 173	 48	 219	 
2020-05-17 09:44:06	 661 	c1272 	3770 	 211 	 10110100 	 180 	 14740264 	 156	 155	 142	 173	 48	 220	 
2020-05-17 09:44:12	 161 	c1272 	3771 	 217 	 01111000 	 120 	 14796352 	 156	 155	 142	 174	 48	 220	 
2020-05-17 09:45:26	 489 	c1272 	3772 	 223 	 10110100 	 180 	 15543784 	 156	 156	 142	 174	 48	 221	 
2020-05-17 09:45:35	 632 	c1272 	3774 	 234 	 01111000 	 120 	 15635584 	 156	 156	 142	 175	 48	 221	 
2020-05-17 09:46:57	  11 	c1272 	3775 	 240 	 10110100 	 180 	 16455496 	 156	 157	 142	 175	 48	 222	 
2020-05-17 09:47:07	 639 	c1272 	3777 	 252 	 01111000 	 120 	 16561552 	 156	 157	 142	 176	 48	 222	 
2020-05-17 09:47:50	 270 	c1272 	3778 	 2 	 10110100 	 180 	 213984 	 156	 158	 142	 176	 48	 223	 
2020-05-17 09:47:57	 989 	c1272 	3780 	 10 	 01111000 	 120 	 290640 	 156	 158	 142	 177	 48	 223	 
2020-05-17 09:50:22	 701 	c1272 	3781 	 19 	 10110100 	 180 	 1747968 	 156	 159	 142	 177	 48	 224	 
2020-05-17 09:50:35	 240 	c1272 	3782 	 25 	 01111000 	 120 	 1874904 	 156	 159	 142	 178	 48	 224	 
2020-05-17 09:52:12	 723 	c1272 	3784 	 35 	 10110100 	 180 	 2855640 	 156	 160	 142	 178	 48	 225	 
2020-05-17 09:52:24	 311 	c1272 	3787 	 49 	 01111000 	 120 	 2972928 	 156	 160	 142	 179	 48	 225	 
2020-05-17 09:53:00	1048 	c1272 	3788 	 55 	 10110100 	 180 	 3341808 	 156	 161	 142	 179	 48	 226	 
