Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 16:25:54	 372 	c1254 	3704 	 114 	 10101000 	 168 	 2895136 	 253	 84	 179	 133	 23	 178	 
2020-05-17 00:46:13	 825 	c1254	262 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 09:16:13	 804 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 09:19:56	 742 	c1254 	3706 	 120 	 10101000 	 168 	 5676384 	 254	 84	 179	 133	 23	 178	 
2020-05-17 09:20:08	1112 	c1254 	3707 	 124 	 10101000 	 168 	 5811864 	 255	 84	 179	 133	 23	 178	 
2020-05-17 09:22:17	 595 	c1254 	3708 	 128 	 10101000 	 168 	 7225392 	 256	 84	 179	 133	 23	 178	 
2020-05-17 09:22:19	 799 	c1254 	3709 	 132 	 10101000 	 168 	 7249320 	 257	 84	 179	 133	 23	 178	 
2020-05-17 09:25:15	 103 	c1254 	3710 	 136 	 10101000 	 168 	 9178584 	 258	 84	 179	 133	 23	 178	 
2020-05-17 09:25:17	 292 	c1254 	3711 	 140 	 10101000 	 168 	 9202368 	 259	 84	 179	 133	 23	 178	 
2020-05-17 09:25:18	 956 	c1254 	3712 	 144 	 10101000 	 168 	 9219648 	 260	 84	 179	 133	 23	 178	 
2020-05-17 09:25:22	1092 	c1254 	3715 	 152 	 10101000 	 168 	 9264936 	 261	 84	 179	 133	 23	 178	 
2020-05-17 09:25:24	 232 	c1254 	3716 	 156 	 10101000 	 168 	 9278784 	 262	 84	 179	 133	 23	 178	 
2020-05-17 09:26:28	 590 	c1254 	3718 	 168 	 01110100 	 116 	 9985896 	 262	 84	 180	 133	 23	 179	 
2020-05-17 09:30:01	 484 	c1254 	3719 	 173 	 01010100 	 84 	 12327288 	 263	 84	 180	 133	 23	 179	 
2020-05-17 09:30:19	 519 	c1254 	3720 	 177 	 01010100 	 84 	 12525576 	 264	 84	 180	 133	 23	 179	 
2020-05-17 09:30:57	 652 	c1254 	3721 	 181 	 01010100 	 84 	 12944712 	 265	 84	 180	 133	 23	 179	 
2020-05-17 09:31:00	 115 	c1254 	3723 	 187 	 01010100 	 84 	 12972624 	 266	 84	 180	 133	 23	 179	 
2020-05-17 09:31:10	 456 	c1254 	3724 	 191 	 01010100 	 84 	 13085808 	 267	 84	 180	 133	 23	 179	 
2020-05-17 09:31:19	 469 	c1254 	3726 	 197 	 01010100 	 84 	 13184904 	 268	 84	 180	 133	 23	 179	 
2020-05-17 09:31:20	1155 	c1254 	3727 	 203 	 01110100 	 116 	 13202400 	 268	 84	 181	 133	 23	 180	 
2020-05-17 09:31:23	 701 	c1254 	3728 	 209 	 01110100 	 116 	 13231104 	 268	 84	 182	 133	 23	 180	 
2020-05-17 09:31:27	 273 	c1254 	3730 	 219 	 10110100 	 180 	 13271040 	 268	 85	 182	 133	 23	 180	 
2020-05-17 09:31:50	1024 	c1254 	3731 	 225 	 01111000 	 120 	 13531032 	 268	 85	 182	 134	 23	 180	 
