Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 14:25:17	 282 	c1254 	3883 	 114 	 10101000 	 168 	 6571512 	 280	 136	 199	 191	 25	 247	 
2020-05-17 14:25:27	 789 	c1254 	3885 	 120 	 10101000 	 168 	 6687792 	 281	 136	 199	 191	 25	 247	 
2020-05-17 22:46:22	 861 	c1254	365 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-18 07:16:22	 797 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-18 12:09:52	 905 	c1254 	3886 	 126 	 10111000 	 184 	 3650984 	 281	 136	 199	 191	 26	 247	 
2020-05-18 12:09:54	 654 	c1254 	3887 	 130 	 01010100 	 84 	 3670688 	 282	 136	 199	 191	 26	 247	 
2020-05-18 12:10:15	 230 	c1254 	3888 	 136 	 01110100 	 116 	 3898832 	 282	 136	 200	 191	 26	 248	 
2020-05-18 12:23:20	 732 	c1254 	3889 	 143 	 10110100 	 180 	 12615152 	 282	 137	 200	 191	 26	 249	 
2020-05-18 12:25:56	 712 	c1254 	3891 	 151 	 01111000 	 120 	 14351792 	 282	 137	 200	 192	 26	 249	 
2020-05-18 12:35:12	  15 	c1254 	3892 	 155 	 01010100 	 84 	 3762232 	 283	 137	 200	 192	 26	 249	 
2020-05-18 12:35:14	 611 	c1254 	3893 	 161 	 01110100 	 116 	 3790240 	 283	 137	 201	 192	 26	 250	 
2020-05-18 12:35:17	  97 	c1254 	3894 	 170 	 10110100 	 180 	 3818752 	 283	 138	 201	 192	 26	 250	 
2020-05-18 12:35:32	 485 	c1254 	3895 	 182 	 11111000 	 248 	 3989680 	 284	 138	 201	 192	 26	 250	 
2020-05-18 12:37:09	 968 	c1254 	3896 	 188 	 01110100 	 116 	 5075464 	 284	 138	 202	 192	 26	 251	 
2020-05-18 12:37:11	 193 	c1254 	3897 	 194 	 01110100 	 116 	 5090320 	 284	 138	 203	 192	 26	 251	 
2020-05-18 12:37:13	 656 	c1254 	3898 	 204 	 10110100 	 180 	 5117080 	 284	 139	 203	 192	 26	 251	 
2020-05-18 12:37:23	  99 	c1254 	3899 	 210 	 01111000 	 120 	 5223208 	 284	 139	 203	 193	 26	 251	 
2020-05-18 12:45:42	 376 	c1254 	3900 	 216 	 10110100 	 180 	 10791280 	 284	 140	 203	 193	 26	 252	 
2020-05-18 12:45:56	 398 	c1254 	3901 	 222 	 01111000 	 120 	 10947736 	 284	 140	 203	 194	 26	 252	 
2020-05-18 12:47:39	1039 	c1254 	3903 	 231 	 10110100 	 180 	 12103192 	 284	 141	 203	 194	 26	 253	 
2020-05-18 12:47:56	 864 	c1254 	3904 	 236 	 11111000 	 248 	 12291208 	 285	 141	 203	 194	 26	 253	 
2020-05-18 12:49:19	 839 	c1254 	3906 	 248 	 10110100 	 180 	 13217320 	 285	 142	 203	 194	 26	 254	 
2020-05-18 12:49:27	  85 	c1254 	3907 	 253 	 11111000 	 248 	 13299376 	 286	 142	 203	 194	 26	 254	 
2020-05-18 12:54:31	 711 	c1254 	3909 	 9 	 10110100 	 180 	 16698568 	 286	 143	 203	 194	 26	 255	 
2020-05-18 12:54:52	 448 	c1254 	3910 	 17 	 01111000 	 120 	 153264 	 286	 143	 203	 195	 26	 255	 
2020-05-18 12:56:02	1075 	c1254 	3912 	 32 	 11110100 	 244 	 940968 	 287	 143	 203	 195	 26	 255	 
2020-05-18 12:56:16	 583 	c1254 	3913 	 40 	 01111000 	 120 	 1092600 	 287	 143	 203	 196	 26	 255	 
2020-05-18 13:05:16	 231 	c1254 	3914 	 48 	 10110100 	 180 	 7121904 	 287	 144	 203	 196	 26	 256	 
2020-05-18 13:07:15	1066 	c1254 	3915 	 54 	 01111000 	 120 	 8460192 	 287	 144	 203	 197	 26	 256	 
2020-05-18 13:08:21	 756 	c1254 	3916 	 58 	 01010100 	 84 	 9195120 	 288	 144	 203	 197	 26	 256	 
2020-05-18 13:10:16	 154 	c1254 	3917 	 70 	 10110100 	 180 	 10475328 	 288	 145	 203	 197	 26	 257	 
2020-05-18 13:10:28	 741 	c1254 	3919 	 79 	 01111000 	 120 	 10615200 	 288	 145	 203	 198	 26	 257	 
2020-05-18 13:10:33	 498 	c1254 	3920 	 87 	 01110100 	 116 	 10668768 	 288	 145	 204	 198	 26	 258	 
2020-05-18 13:10:41	 614 	c1254 	3922 	 96 	 01111000 	 120 	 10759344 	 288	 145	 204	 199	 26	 258	 
2020-05-18 13:13:40	 459 	c1254 	3923 	 107 	 10110100 	 180 	 12759960 	 288	 146	 204	 199	 26	 259	 
2020-05-18 13:13:49	 785 	c1254 	3924 	 117 	 01111000 	 120 	 12863784 	 288	 146	 204	 200	 26	 259	 
2020-05-18 13:15:52	 567 	c1254 	3925 	 127 	 10110100 	 180 	 14237472 	 288	 147	 204	 200	 26	 260	 
2020-05-18 13:16:03	 356 	c1254 	3926 	 135 	 01111000 	 120 	 14358528 	 288	 147	 204	 201	 26	 260	 
2020-05-18 13:16:17	1038 	c1254 	3927 	 147 	 10110100 	 180 	 14521680 	 288	 148	 204	 201	 26	 261	 
2020-05-18 13:16:27	 792 	c1254 	3928 	 155 	 01111000 	 120 	 14631192 	 288	 148	 204	 202	 26	 261	 
2020-05-18 13:16:46	1103 	c1254 	3929 	 163 	 10110100 	 180 	 14846808 	 288	 149	 204	 202	 26	 262	 
2020-05-18 13:16:54	 761 	c1254 	3930 	 175 	 01111000 	 120 	 14933064 	 288	 149	 204	 203	 26	 262	 
2020-05-18 13:18:32	 388 	c1254 	3931 	 184 	 10110100 	 180 	 16026312 	 288	 150	 204	 203	 26	 263	 
2020-05-18 13:18:42	 502 	c1254 	3932 	 196 	 01111000 	 120 	 16139376 	 288	 150	 204	 204	 26	 263	 
2020-05-18 13:20:38	  13 	c1254 	3933 	 204 	 10110100 	 180 	 655904 	 288	 151	 204	 204	 26	 264	 
2020-05-18 13:20:56	 663 	c1254 	3934 	 212 	 01111000 	 120 	 863648 	 288	 151	 204	 205	 26	 264	 
2020-05-18 13:21:31	 424 	c1254 	3936 	 220 	 01110100 	 116 	 1253072 	 288	 151	 205	 205	 26	 265	 
2020-05-18 13:21:39	 397 	c1254 	3937 	 230 	 10110100 	 180 	 1342376 	 288	 152	 205	 205	 26	 265	 
2020-05-18 13:21:43	 256 	c1254 	3938 	 236 	 01111000 	 120 	 1385792 	 288	 152	 205	 206	 26	 265	 
2020-05-18 13:21:45	1133 	c1254 	3939 	 243 	 11111000 	 248 	 1416632 	 289	 152	 205	 206	 26	 265	 
2020-05-18 13:22:22	 260 	c1254 	3941 	 252 	 10110100 	 180 	 1822544 	 289	 153	 205	 206	 26	 266	 
2020-05-18 13:22:28	 737 	c1254 	3942 	 4 	 01111000 	 120 	 1894352 	 289	 153	 205	 207	 26	 266	 
2020-05-18 13:24:02	 394 	c1254 	3943 	 10 	 10110100 	 180 	 2943680 	 289	 154	 205	 207	 26	 267	 
2020-05-18 13:24:17	 814 	c1254 	3944 	 16 	 01111000 	 120 	 3115736 	 289	 154	 205	 208	 26	 267	 
2020-05-18 13:24:21	 833 	c1254 	3946 	 26 	 10110100 	 180 	 3160712 	 289	 155	 205	 208	 26	 268	 
2020-05-18 13:24:29	 743 	c1254 	3948 	 34 	 01111000 	 120 	 3249416 	 289	 155	 205	 209	 26	 268	 
2020-05-18 13:24:57	 416 	c1254 	3949 	 42 	 10110100 	 180 	 3559904 	 289	 156	 205	 209	 26	 269	 
2020-05-18 13:25:05	 242 	c1254 	3950 	 47 	 11111000 	 248 	 3647864 	 290	 156	 205	 209	 26	 269	 
2020-05-18 13:25:13	 828 	c1254 	3951 	 53 	 01110100 	 116 	 3743120 	 290	 156	 206	 209	 26	 270	 
2020-05-18 13:25:20	 531 	c1254 	3952 	 63 	 01111000 	 120 	 3818696 	 290	 156	 206	 210	 26	 270	 
2020-05-18 13:26:43	 741 	c1254 	3953 	 71 	 01110100 	 116 	 4750688 	 290	 156	 207	 210	 26	 271	 
2020-05-18 13:26:48	 936 	c1254 	3954 	 79 	 01111000 	 120 	 4808600 	 290	 156	 207	 211	 26	 271	 
2020-05-18 13:30:01	 642 	c1254 	3955 	 84 	 11110100 	 244 	 6968576 	 291	 156	 207	 211	 26	 271	 
2020-05-18 13:30:04	 883 	c1254 	3956 	 88 	 10101000 	 168 	 7004528 	 292	 156	 207	 211	 26	 271	 
2020-05-18 13:30:21	 942 	c1254 	3957 	 96 	 01111000 	 120 	 7195640 	 292	 156	 207	 212	 26	 271	 
2020-05-18 13:30:25	   8 	c1254 	3958 	 103 	 01111100 	 124 	 7231472 	 293	 156	 207	 212	 26	 271	 
2020-05-18 13:30:36	  89 	c1254 	3960 	 117 	 01111000 	 120 	 7355552 	 293	 156	 207	 213	 26	 271	 
2020-05-18 13:33:53	 131 	c1254 	3961 	 135 	 10110100 	 180 	 9564344 	 293	 157	 207	 213	 26	 272	 
2020-05-18 13:34:02	 429 	c1254	6678 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-18 13:34:03	 123 	c1254 	3962 	 141 	 01111000 	 120 	 9647408 	 293	 157	 207	 214	 26	 272	 
2020-05-18 13:37:44	1135 	c1254 	3964 	 149 	 10110100 	 180 	 12164504 	 293	 158	 207	 214	 26	 273	 
2020-05-18 13:37:58	 682 	c1254 	3966 	 158 	 11111000 	 248 	 12317168 	 294	 158	 207	 214	 26	 273	 
2020-05-18 13:38:07	 638 	c1254 	3968 	 166 	 01110100 	 116 	 12417680 	 294	 158	 208	 214	 26	 274	 
2020-05-18 13:38:25	 743 	c1254 	3970 	 175 	 01111000 	 120 	 12620456 	 294	 158	 208	 215	 26	 274	 
2020-05-18 13:39:21	 333 	c1254 	3971 	 186 	 10110100 	 180 	 13244504 	 294	 159	 208	 215	 26	 275	 
2020-05-18 13:39:29	  20 	c1254 	3972 	 191 	 11111000 	 248 	 13331216 	 295	 159	 208	 215	 26	 275	 
2020-05-18 13:39:43	 286 	c1254 	3973 	 204 	 10110100 	 180 	 13490768 	 295	 160	 208	 215	 26	 276	 
2020-05-18 13:39:56	 667 	c1254 	3974 	 214 	 10111000 	 184 	 13640240 	 295	 160	 208	 215	 27	 276	 
2020-05-18 13:41:48	 982 	c1254 	3975 	 222 	 10110100 	 180 	 14899256 	 295	 161	 208	 215	 27	 277	 
2020-05-18 13:41:55	 403 	c1254 	3976 	 230 	 10111000 	 184 	 14972192 	 295	 161	 208	 215	 28	 277	 
2020-05-18 13:42:15	 138 	c1254 	3978 	 238 	 01110100 	 116 	 15193952 	 295	 161	 209	 215	 28	 278	 
2020-05-18 13:42:29	 906 	c1254 	3979 	 246 	 11111000 	 248 	 15358352 	 296	 161	 209	 215	 28	 278	 
2020-05-18 13:42:33	  59 	c1254 	3981 	 255 	 11110100 	 244 	 15395048 	 297	 161	 209	 215	 28	 278	 
2020-05-18 13:42:37	 332 	c1254 	3982 	 5 	 01111000 	 120 	 15442544 	 297	 161	 209	 216	 28	 278	 
2020-05-18 13:43:53	 249 	c1254 	3983 	 15 	 10110100 	 180 	 16294040 	 297	 162	 209	 216	 28	 279	 
2020-05-18 13:44:04	 570 	c1254 	3984 	 23 	 01111000 	 120 	 16420568 	 297	 162	 209	 217	 28	 279	 
2020-05-18 13:44:55	1113 	c1254 	3985 	 35 	 01110100 	 116 	 220672 	 297	 162	 210	 217	 28	 280	 
2020-05-18 13:44:59	 876 	c1254 	3986 	 41 	 01111000 	 120 	 263272 	 297	 162	 210	 218	 28	 280	 
2020-05-18 13:46:00	 582 	c1254 	3988 	 49 	 01110100 	 116 	 944584 	 297	 162	 211	 218	 28	 281	 
2020-05-18 13:46:24	 513 	c1254 	3989 	 54 	 10101000 	 168 	 1213096 	 298	 162	 211	 218	 28	 281	 
2020-05-18 13:49:43	 349 	c1254 	3991 	 64 	 01110100 	 116 	 3445720 	 298	 162	 212	 218	 28	 282	 
2020-05-18 13:49:45	1126 	c1254 	3993 	 78 	 01110100 	 116 	 3475672 	 298	 162	 213	 218	 28	 282	 
2020-05-18 13:49:47	 391 	c1254 	3994 	 82 	 01010100 	 84 	 3491032 	 299	 162	 213	 218	 28	 282	 
2020-05-18 13:56:20	 671 	c1254 	3995 	 93 	 01110100 	 116 	 7900672 	 299	 162	 214	 218	 28	 283	 
2020-05-18 13:56:30	 286 	c1254 	3996 	 99 	 01111000 	 120 	 8009008 	 299	 162	 214	 219	 28	 283	 
2020-05-18 14:01:27	 711 	c1254 	3997 	 109 	 01111000 	 120 	 11339968 	 299	 162	 214	 220	 28	 283	 
2020-05-18 14:01:29	 287 	c1254 	3998 	 117 	 01110100 	 116 	 11358280 	 299	 162	 215	 220	 28	 284	 
2020-05-18 14:01:37	 406 	c1254 	3999 	 125 	 01111000 	 120 	 11449024 	 299	 162	 215	 221	 28	 284	 
2020-05-18 14:02:26	 379 	c1254 	4000 	 133 	 01110100 	 116 	 11997472 	 299	 162	 216	 221	 28	 285	 
2020-05-18 14:02:37	 725 	c1254 	4002 	 142 	 01111000 	 120 	 12124000 	 299	 162	 216	 222	 28	 285	 
2020-05-18 14:03:58	 445 	c1254 	4003 	 150 	 10110100 	 180 	 13028488 	 299	 163	 216	 222	 28	 286	 
2020-05-18 14:04:10	1095 	c1254 	4004 	 157 	 11111000 	 248 	 13169128 	 300	 163	 216	 222	 28	 286	 
2020-05-18 14:19:26	 278 	c1254 	4005 	 165 	 01110100 	 116 	 6641232 	 300	 163	 217	 222	 28	 287	 
2020-05-18 14:19:43	 439 	c1254 	4007 	 174 	 01111000 	 120 	 6833112 	 300	 163	 217	 223	 28	 287	 
2020-05-18 14:20:56	 520 	c1254 	4008 	 180 	 10110100 	 180 	 7651296 	 300	 164	 217	 223	 28	 288	 
2020-05-18 14:21:06	 664 	c1254 	4009 	 188 	 01111000 	 120 	 7764648 	 300	 164	 217	 224	 28	 288	 
2020-05-18 14:22:15	1047 	c1254 	4010 	 194 	 10110100 	 180 	 8541000 	 300	 165	 217	 224	 28	 289	 
2020-05-18 14:22:28	 555 	c1254 	4011 	 200 	 01111000 	 120 	 8681856 	 300	 165	 217	 225	 28	 289	 
2020-05-18 14:23:43	 487 	c1254 	4013 	 210 	 01110100 	 116 	 9521064 	 300	 165	 218	 225	 28	 290	 
2020-05-18 14:24:54	  13 	c1254 	4014 	 221 	 01111000 	 120 	 10311672 	 300	 165	 218	 226	 28	 290	 
2020-05-18 14:24:55	 392 	c1254 	4015 	 229 	 01110100 	 116 	 10326528 	 300	 165	 219	 226	 28	 291	 
2020-05-18 14:25:05	 764 	c1254 	4016 	 237 	 01111000 	 120 	 10442136 	 300	 165	 219	 227	 28	 291	 
2020-05-18 14:25:53	 222 	c1254 	4017 	 245 	 01110100 	 116 	 10974600 	 300	 165	 220	 227	 28	 292	 
2020-05-18 14:25:59	  43 	c1254 	4018 	 251 	 01111000 	 120 	 11040120 	 300	 165	 220	 228	 28	 292	 
2020-05-18 14:26:21	 801 	c1254 	4020 	 7 	 10110100 	 180 	 11293920 	 300	 166	 220	 228	 28	 293	 
2020-05-18 14:26:31	 165 	c1254 	4021 	 17 	 01111000 	 120 	 11399856 	 300	 166	 220	 229	 28	 293	 
2020-05-18 14:29:08	 444 	c1254 	4023 	 28 	 10110100 	 180 	 13162056 	 300	 167	 220	 229	 28	 294	 
2020-05-18 14:29:38	 977 	c1254 	4026 	 38 	 01110100 	 116 	 13503528 	 300	 167	 221	 229	 28	 295	 
2020-05-18 14:29:47	 827 	c1254 	4028 	 46 	 01111000 	 120 	 13602984 	 300	 167	 221	 230	 28	 295	 
2020-05-18 14:30:28	 530 	c1254 	4029 	 54 	 01111000 	 120 	 14059728 	 300	 167	 221	 231	 28	 295	 
2020-05-18 14:30:29	1077 	c1254 	4030 	 59 	 11110100 	 244 	 14076216 	 301	 167	 221	 231	 28	 295	 
2020-05-18 14:30:34	1052 	c1254 	4031 	 70 	 01111000 	 120 	 14132016 	 301	 167	 221	 232	 28	 295	 
2020-05-18 14:31:41	 608 	c1254 	4032 	 82 	 01110100 	 116 	 14878872 	 301	 167	 222	 232	 28	 296	 
2020-05-18 14:31:50	 453 	c1254 	4033 	 94 	 01111000 	 120 	 14978304 	 301	 167	 222	 233	 28	 296	 
2020-05-18 14:33:37	 548 	c1254 	4034 	 102 	 10110100 	 180 	 16178880 	 301	 168	 222	 233	 28	 297	 
2020-05-18 14:33:45	 786 	c1254 	4035 	 110 	 01110100 	 116 	 16270848 	 301	 168	 223	 233	 28	 298	 
2020-05-18 14:33:49	 938 	c1254 	4036 	 116 	 01111000 	 120 	 16317168 	 301	 168	 223	 234	 28	 298	 
2020-05-18 14:34:11	 755 	c1254 	4037 	 122 	 10111000 	 184 	 16562064 	 301	 168	 223	 234	 29	 298	 
2020-05-18 14:34:13	 458 	c1254 	4038 	 128 	 01111000 	 120 	 16581624 	 301	 168	 223	 235	 29	 298	 
2020-05-18 14:34:34	 353 	c1254 	4039 	 136 	 10110100 	 180 	 38864 	 301	 169	 223	 235	 29	 299	 
2020-05-18 14:34:42	1136 	c1254	6396 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-18 14:34:43	 851 	c1254 	4040 	 141 	 11111000 	 248 	 119024 	 302	 169	 223	 235	 29	 299	 
2020-05-18 14:35:43	 239 	c1254 	4041 	 147 	 10110100 	 180 	 811496 	 302	 170	 223	 235	 29	 300	 
2020-05-18 14:35:49	 619 	c1254 	4043 	 155 	 01111000 	 120 	 882440 	 302	 170	 223	 236	 29	 300	 
2020-05-18 14:36:21	 118 	c1254 	4044 	 165 	 10110100 	 180 	 1236392 	 302	 171	 223	 236	 29	 301	 
2020-05-18 14:36:23	1050 	c1254 	4046 	 173 	 01110100 	 116 	 1267784 	 302	 171	 224	 236	 29	 302	 
2020-05-18 14:36:28	 126 	c1254 	4047 	 179 	 01111000 	 120 	 1314944 	 302	 171	 224	 237	 29	 302	 
2020-05-18 14:36:37	 803 	c1254 	4048 	 191 	 01111000 	 120 	 1422368 	 302	 171	 224	 238	 29	 302	 
2020-05-18 14:37:58	 219 	c1254 	4050 	 207 	 10110100 	 180 	 2325056 	 302	 172	 224	 238	 29	 303	 
2020-05-18 14:38:12	1064 	c1254 	4051 	 215 	 01111000 	 120 	 2490248 	 302	 172	 224	 239	 29	 303	 
2020-05-18 14:40:03	 369 	c1254 	4054 	 227 	 10110100 	 180 	 3728432 	 302	 173	 224	 239	 29	 304	 
2020-05-18 14:40:10	 345 	c1254 	4055 	 231 	 10101000 	 168 	 3806696 	 303	 173	 224	 239	 29	 304	 
2020-05-18 14:40:12	 294 	c1254 	4057 	 241 	 01111000 	 120 	 3828632 	 303	 173	 224	 240	 29	 304	 
2020-05-18 14:41:26	 566 	c1254 	4058 	 249 	 01110100 	 116 	 4661048 	 303	 173	 225	 240	 29	 305	 
2020-05-18 14:41:34	 426 	c1254 	4059 	 255 	 01111000 	 120 	 4749416 	 303	 173	 225	 241	 29	 305	 
2020-05-18 14:42:21	 290 	c1254 	4060 	 7 	 01110100 	 116 	 5275136 	 303	 173	 226	 241	 29	 306	 
2020-05-18 14:42:35	 384 	c1254 	4062 	 16 	 10111000 	 184 	 5433032 	 303	 173	 226	 241	 30	 306	 
2020-05-18 14:42:37	 606 	c1254 	4063 	 22 	 01111000 	 120 	 5457608 	 303	 173	 226	 242	 30	 306	 
2020-05-18 14:43:36	1129 	c1254 	4065 	 30 	 01110100 	 116 	 6124352 	 303	 173	 227	 242	 30	 307	 
2020-05-18 14:43:45	 158 	c1254 	4066 	 40 	 01111000 	 120 	 6215960 	 303	 173	 227	 243	 30	 307	 
2020-05-18 14:44:47	 613 	c1254 	4067 	 49 	 01110100 	 116 	 6915800 	 303	 173	 228	 243	 30	 308	 
2020-05-18 14:44:58	 614 	c1254 	4068 	 58 	 01111000 	 120 	 7039232 	 303	 173	 228	 244	 30	 308	 
2020-05-18 14:45:31	 978 	c1254 	4070 	 65 	 10110100 	 180 	 7412984 	 303	 174	 228	 244	 30	 309	 
2020-05-18 14:45:44	  15 	c1254 	4072 	 77 	 01111000 	 120 	 7549520 	 303	 174	 228	 245	 30	 309	 
2020-05-18 14:46:21	  53 	c1254 	4074 	 93 	 10110100 	 180 	 7964984 	 303	 175	 228	 245	 30	 310	 
2020-05-18 14:46:33	 366 	c1254 	4075 	 101 	 10110100 	 180 	 8102648 	 303	 176	 228	 245	 30	 311	 
2020-05-18 14:46:40	1068 	c1254 	4076 	 109 	 01111000 	 120 	 8187944 	 303	 176	 228	 246	 30	 311	 
2020-05-18 14:46:42	 819 	c1254 	4077 	 115 	 01111000 	 120 	 8207984 	 303	 176	 228	 247	 30	 311	 
2020-05-18 14:47:18	 166 	c1254 	4079 	 128 	 10110100 	 180 	 8605520 	 303	 177	 228	 247	 30	 312	 
2020-05-18 14:47:27	 702 	c1254 	4080 	 136 	 01111000 	 120 	 8711648 	 303	 177	 228	 248	 30	 312	 
2020-05-18 14:48:26	 542 	c1254 	4081 	 142 	 10110100 	 180 	 9371936 	 303	 178	 228	 248	 30	 313	 
2020-05-18 14:48:35	1157 	c1254 	4082 	 148 	 01111000 	 120 	 9478832 	 303	 178	 228	 249	 30	 313	 
2020-05-18 14:50:08	 580 	c1254 	4084 	 156 	 01110100 	 116 	 10516568 	 303	 178	 229	 249	 30	 314	 
2020-05-18 14:50:16	 343 	c1254 	4085 	 162 	 01111000 	 120 	 10604048 	 303	 178	 229	 250	 30	 314	 
2020-05-18 14:51:10	 950 	c1254 	4086 	 172 	 01110100 	 116 	 11215664 	 303	 178	 230	 250	 30	 315	 
2020-05-18 14:51:20	 286 	c1254 	4087 	 182 	 10111000 	 184 	 11321456 	 303	 178	 230	 250	 31	 315	 
2020-05-18 14:51:39	 913 	c1254 	4088 	 192 	 10110100 	 180 	 11540648 	 303	 179	 230	 250	 31	 316	 
2020-05-18 14:53:10	 330 	c1254 	4089 	 198 	 01111000 	 120 	 12555872 	 303	 179	 230	 251	 31	 316	 
2020-05-18 14:53:12	 820 	c1254 	4090 	 206 	 01110100 	 116 	 12583040 	 303	 179	 231	 251	 31	 317	 
2020-05-18 14:53:21	 288 	c1254 	4091 	 212 	 01111000 	 120 	 12678896 	 303	 179	 231	 252	 31	 317	 
2020-05-18 14:53:39	 674 	c1254 	4092 	 218 	 01110100 	 116 	 12884552 	 303	 179	 232	 252	 31	 318	 
2020-05-18 14:53:48	 326 	c1254 	4093 	 226 	 01111000 	 120 	 12982208 	 303	 179	 232	 253	 31	 318	 
2020-05-18 15:01:13	1090 	c1254 	4095 	 241 	 10110100 	 180 	 1206352 	 303	 180	 232	 253	 31	 319	 
2020-05-18 15:02:16	 181 	c1254 	4097 	 251 	 01111000 	 120 	 1904752 	 303	 180	 232	 254	 31	 319	 
2020-05-18 15:03:54	 341 	c1254 	4099 	 13 	 10110100 	 180 	 3006400 	 303	 181	 232	 254	 31	 320	 
2020-05-18 15:04:03	  48 	c1254 	4100 	 19 	 01111000 	 120 	 3104632 	 303	 181	 232	 255	 31	 320	 
