Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-20 01:46:41	 903 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-20 08:43:11	 157 	c1254 	4254 	 132 	 10101000 	 168 	 5424696 	 340	 193	 270	 278	 37	 354	 
2020-05-20 08:51:33	1048 	c1254 	4255 	 136 	 10101000 	 168 	 11032680 	 341	 193	 270	 278	 37	 354	 
2020-05-20 08:51:35	1101 	c1254 	4256 	 140 	 10101000 	 168 	 11055504 	 342	 193	 270	 278	 37	 354	 
2020-05-20 08:52:59	 873 	c1254 	4258 	 146 	 10101000 	 168 	 11990568 	 343	 193	 270	 278	 37	 354	 
2020-05-20 08:53:15	  26 	c1254 	4261 	 158 	 01110100 	 116 	 12160848 	 343	 193	 271	 278	 37	 355	 
2020-05-20 09:04:43	1007 	c1254 	4263 	 177 	 01110100 	 116 	 3052712 	 343	 193	 272	 278	 37	 356	 
2020-05-20 09:04:59	 203 	c1254 	4264 	 184 	 01111000 	 120 	 3222968 	 343	 193	 272	 279	 37	 356	 
2020-05-20 09:05:59	 287 	c1254 	4265 	 188 	 01010100 	 84 	 3891104 	 344	 193	 272	 279	 37	 356	 
2020-05-20 09:06:15	 201 	c1254 	4266 	 200 	 01110100 	 116 	 4068224 	 344	 193	 273	 279	 37	 357	 
2020-05-20 09:06:18	 617 	c1254 	4267 	 208 	 01110100 	 116 	 4105568 	 344	 193	 274	 279	 37	 357	 
2020-05-20 09:06:23	 792 	c1254 	4268 	 214 	 01110100 	 116 	 4162856 	 344	 193	 275	 279	 37	 357	 
2020-05-20 09:06:46	1015 	c1254 	4269 	 221 	 01110100 	 116 	 4420760 	 344	 193	 276	 279	 37	 358	 
2020-05-20 09:06:49	 873 	c1254 	4270 	 229 	 01110100 	 116 	 4452752 	 344	 193	 277	 279	 37	 358	 
2020-05-20 09:06:50	 531 	c1254 	4271 	 233 	 01010100 	 84 	 4460600 	 345	 193	 277	 279	 37	 358	 
2020-05-20 09:06:51	1159 	c1254 	4272 	 237 	 01010100 	 84 	 4477736 	 346	 193	 277	 279	 37	 358	 
2020-05-20 09:06:53	 711 	c1254 	4273 	 241 	 01010100 	 84 	 4495688 	 347	 193	 277	 279	 37	 358	 
2020-05-20 09:06:59	 236 	c1254 	4274 	 251 	 10110100 	 180 	 4557872 	 347	 194	 277	 279	 37	 358	 
2020-05-20 09:07:48	 348 	c1254 	4275 	 1 	 10111000 	 184 	 5103776 	 347	 194	 277	 279	 38	 358	 
2020-05-20 09:07:49	 106 	c1254 	4277 	 7 	 10101000 	 168 	 5112584 	 348	 194	 277	 279	 38	 358	 
2020-05-20 09:07:50	 744 	c1254 	4278 	 17 	 01111000 	 120 	 5129816 	 348	 194	 277	 280	 38	 358	 
2020-05-20 09:07:57	 858 	c1254 	4280 	 29 	 10110100 	 180 	 5208752 	 348	 195	 277	 280	 38	 359	 
2020-05-20 09:08:11	 137 	c1254 	4281 	 35 	 10111000 	 184 	 5357528 	 348	 195	 277	 280	 39	 359	 
2020-05-20 09:08:14	1009 	c1254 	4282 	 43 	 01111000 	 120 	 5399240 	 348	 195	 277	 281	 39	 359	 
2020-05-20 09:18:31	 294 	c1254 	4285 	 56 	 11110100 	 244 	 12252416 	 349	 195	 277	 281	 39	 359	 
2020-05-20 09:18:49	 370 	c1254 	4287 	 66 	 01111000 	 120 	 12453248 	 349	 195	 277	 282	 39	 359	 
2020-05-20 09:19:07	1042 	c1254 	4288 	 70 	 01010100 	 84 	 12659792 	 350	 195	 277	 282	 39	 359	 
2020-05-20 09:19:16	  75 	c1254 	4290 	 78 	 01110100 	 116 	 12750608 	 350	 195	 278	 282	 39	 360	 
2020-05-20 09:19:24	 414 	c1254 	4291 	 86 	 01110100 	 116 	 12842816 	 350	 195	 279	 282	 39	 360	 
2020-05-20 09:21:19	 415 	c1254 	4292 	 97 	 10111000 	 184 	 14121536 	 350	 195	 279	 282	 40	 360	 
2020-05-20 09:22:03	 878 	c1254 	4294 	 110 	 10110100 	 180 	 14615240 	 350	 196	 279	 282	 40	 361	 
