Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-28 15:25:44	 491 	c1272 	4192 	 61 	 10101000 	 168 	 10230136 	 205	 246	 188	 271	 77	 353	 
2020-05-28 15:26:33	   0 	c1272 	4193 	 2 	 11111100 	 252 	 4056 	 1	 0	 0	 0	 0	 0	 
2021-05-10 08:26:00	 507 	c1272 	4195 	 10 	 01110100 	 116 	 1515600 	 1	 0	 1	 0	 0	 1	 
2021-05-10 08:26:15	 127 	c1272 	4196 	 15 	 10101000 	 168 	 1665840 	 2	 0	 1	 0	 0	 1	 
2021-05-10 09:02:52	 968 	c1272	529 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-10 09:14:25	 166 	c1272 	4197 	 19 	 10101000 	 168 	 14436824 	 3	 0	 1	 0	 0	 1	 
2021-05-10 09:14:27	 890 	c1272 	4198 	 23 	 10101000 	 168 	 14463536 	 4	 0	 1	 0	 0	 1	 
2021-05-10 09:14:30	 476 	c1272 	4199 	 27 	 10101000 	 168 	 14490560 	 5	 0	 1	 0	 0	 1	 
2021-05-10 09:17:24	 764 	c1272 	4200 	 31 	 10101000 	 168 	 16268912 	 6	 0	 1	 0	 0	 1	 
2021-05-10 09:17:52	  29 	c1272 	4201 	 35 	 10101000 	 168 	 16548248 	 7	 0	 1	 0	 0	 1	 
2021-05-10 09:17:53	 620 	c1272 	4202 	 39 	 10101000 	 168 	 16563584 	 8	 0	 1	 0	 0	 1	 
2021-05-10 09:19:23	 552 	c1272 	4203 	 43 	 10101000 	 168 	 704056 	 9	 0	 1	 0	 0	 1	 
2021-05-10 09:21:25	 834 	c1272 	4204 	 47 	 10101000 	 168 	 1951216 	 10	 0	 1	 0	 0	 1	 
2021-05-10 09:25:41	 908 	c1272 	4205 	 51 	 10101000 	 168 	 4562824 	 11	 0	 1	 0	 0	 1	 
2021-05-10 09:25:51	 314 	c1272 	4206 	 55 	 10101000 	 168 	 4659640 	 12	 0	 1	 0	 0	 1	 
2021-05-10 09:26:54	 736 	c1272 	4207 	 59 	 10101000 	 168 	 5305648 	 13	 0	 1	 0	 0	 1	 
2021-05-10 09:30:22	  51 	c1272 	4208 	 65 	 10111000 	 184 	 7418248 	 13	 0	 1	 0	 1	 1	 
2021-05-10 09:30:34	 718 	c1272 	4210 	 73 	 01110100 	 116 	 7546120 	 13	 0	 2	 0	 1	 2	 
2021-05-10 09:30:58	 440 	c1272 	4212 	 88 	 01110100 	 116 	 7787896 	 13	 0	 3	 0	 1	 3	 
2021-05-10 09:31:29	 642 	c1272 	4213 	 99 	 01110100 	 116 	 8104840 	 13	 0	 4	 0	 1	 4	 
2021-05-10 09:31:33	 945 	c1272 	4214 	 109 	 01110100 	 116 	 8148160 	 13	 0	 5	 0	 1	 4	 
2021-05-10 09:48:56	 981 	c1272 	4217 	 123 	 11110100 	 244 	 1915992 	 14	 0	 5	 0	 1	 4	 
2021-05-10 09:49:08	 356 	c1272 	4219 	 130 	 01111100 	 124 	 2031648 	 15	 0	 5	 0	 1	 4	 
2021-05-10 09:50:05	 226 	c1272 	4220 	 140 	 01110100 	 116 	 2605320 	 15	 0	 6	 0	 1	 5	 
2021-05-10 09:50:08	 795 	c1272 	4222 	 148 	 10110100 	 180 	 2640480 	 15	 1	 6	 0	 1	 5	 
2021-05-10 09:50:21	 333 	c1272 	4223 	 158 	 10111000 	 184 	 2767584 	 15	 1	 6	 0	 2	 5	 
2021-05-10 09:50:58	1044 	c1272 	4224 	 164 	 01110100 	 116 	 3146688 	 15	 1	 7	 0	 2	 6	 
2021-05-10 09:51:00	 463 	c1272 	4225 	 170 	 10110100 	 180 	 3161880 	 15	 2	 7	 0	 2	 6	 
2021-05-10 09:51:13	 580 	c1272 	4226 	 181 	 01111000 	 120 	 3293976 	 15	 2	 7	 1	 2	 6	 
2021-05-10 09:52:24	 164 	c1272 	4229 	 194 	 10110100 	 180 	 4005984 	 15	 3	 7	 1	 2	 7	 
2021-05-10 09:52:33	1090 	c1272 	4230 	 200 	 01111000 	 120 	 4104648 	 15	 3	 7	 2	 2	 7	 
2021-05-10 09:52:56	 579 	c1272 	4231 	 206 	 10110100 	 180 	 4332024 	 15	 4	 7	 2	 2	 8	 
2021-05-10 09:53:02	 353 	c1272 	4232 	 215 	 01111000 	 120 	 4390560 	 15	 4	 7	 3	 2	 8	 
2021-05-10 09:53:25	 194 	c1272 	4233 	 223 	 10110100 	 180 	 4620984 	 15	 5	 7	 3	 2	 9	 
2021-05-10 09:53:33	1000 	c1272 	4235 	 231 	 01111000 	 120 	 4708512 	 15	 5	 7	 4	 2	 9	 
2021-05-10 09:53:54	 762 	c1272	2904 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-10 09:53:58	 987 	c1272 	4236 	 237 	 01110100 	 116 	 4960296 	 15	 5	 8	 4	 2	 10	 
2021-05-10 09:54:06	 733 	c1272 	4237 	 243 	 10110100 	 180 	 5038752 	 15	 6	 8	 4	 2	 10	 
2021-05-10 09:54:14	 925 	c1272 	4238 	 249 	 01111000 	 120 	 5121048 	 15	 6	 8	 5	 2	 10	 
2021-05-10 09:55:39	1074 	c1272 	4239 	 255 	 01110100 	 116 	 5978688 	 15	 6	 9	 5	 2	 11	 
2021-05-10 09:55:41	 609 	c1272 	4240 	 7 	 10110100 	 180 	 5994864 	 15	 7	 9	 5	 2	 11	 
2021-05-10 09:55:55	 879 	c1272 	4241 	 13 	 01111000 	 120 	 6138216 	 15	 7	 9	 6	 2	 11	 
2021-05-10 09:56:55	 832 	c1272 	4243 	 23 	 01110100 	 116 	 6742056 	 15	 7	 10	 6	 2	 12	 
2021-05-10 09:56:58	 593 	c1272 	4244 	 29 	 10110100 	 180 	 6770232 	 15	 8	 10	 6	 2	 12	 
2021-05-10 09:57:06	 483 	c1272 	4245 	 35 	 01111000 	 120 	 6849864 	 15	 8	 10	 7	 2	 12	 
