Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-25 18:09:49	 747 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-25 19:00:49	 818 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-25 19:51:49	 827 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-25 20:42:49	 807 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-25 21:33:49	 816 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-25 22:24:49	 817 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-25 23:15:49	 796 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-26 00:06:49	 814 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-26 00:57:49	 810 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-26 01:48:49	 819 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-26 02:39:49	 797 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-26 03:30:49	 804 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-26 04:21:49	 811 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-26 05:12:50	 144 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-26 05:12:52	1002 	c1272 	6488 	  0 	3511 	127176 	443478 	 528 	0 	0 	
2021-05-26 06:03:49	 828 	c1272						 240 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-26 06:54:49	 812 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-26 07:45:49	 820 	c1272						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2021-05-26 07:59:03	 304 	c1272 	6489 	180 	  86 	124760 	  7691 	 136 	0 	1 	0300030EFF
2021-05-26 07:59:19	 793 	c1272 	6490 	188 	 417 	125712 	 49369 	   2 	0 	0 	
2021-05-26 08:02:19	 820 	c1272 	6495 	204 	  68 	124440 	  5423 	 142 	0 	1 	01103FA7CC
2021-05-26 08:03:47	 195 	c1272 	6499 	221 	  68 	124576 	  5414 	 143 	0 	1 	01103FA7CC
2021-05-26 08:03:49	 442 	c1272 	6501 	229 	  68 	124736 	  5421 	 143 	0 	1 	01103FA7CC
2021-05-26 08:03:51	 630 	c1272 	6502 	235 	  68 	124760 	  5422 	 143 	0 	1 	01103FA7CC
2021-05-26 08:03:54	 154 	c1272 	6504 	245 	  68 	124736 	  5421 	 143 	0 	1 	01103FA7CC
2021-05-26 08:04:27	 443 	c1272 	6508 	  6 	  68 	124784 	  5423 	 143 	0 	1 	01103FA7CC
2021-05-26 08:04:29	 557 	c1272 	6509 	 12 	  67 	124520 	  5366 	 143 	0 	1 	01103FA7CC
2021-05-26 08:04:52	 227 	c1272 	6510 	 18 	 198 	125344 	 21804 	 135 	0 	1 	01103FA7CC
2021-05-26 08:05:59	  31 	c1272 	6511 	 24 	  67 	124584 	  5399 	 137 	0 	1 	01103FC5AF
2021-05-26 08:07:24	 705 	c1272 	6512 	 32 	  76 	124792 	  6505 	 165 	0 	1 	01103FC5AF
2021-05-26 08:07:25	  45 	c1272 	6512 	 38 	   4 	     0 	     0 	   1 	0 	0 	
2021-05-26 08:08:36	 560 	c1272 	6513 	 42 	 117 	125056 	 11572 	 198 	0 	1 	01103FC5AF
2021-05-26 08:08:36	 685 	c1272 	6514 	 47 	  19 	     0 	     0 	   1 	0 	0 	
2021-05-26 08:08:42	 969 	c1272 	6515 	 53 	  68 	124720 	  5420 	 136 	0 	1 	01103FC5AF
2021-05-26 08:10:19	 502 	c1272 	6516 	 61 	 100 	125056 	  9480 	 189 	0 	1 	01103FC5AF
2021-05-26 08:10:24	 743 	c1272 	6517 	 70 	  68 	124440 	  5423 	 137 	0 	1 	01103FC5AF
2021-05-26 08:11:51	 768 	c1272 	6518 	 80 	 101 	124888 	  9544 	 207 	0 	1 	01103FC5AF
2021-05-26 08:11:56	 626 	c1272 	6519 	 88 	  68 	124720 	  5420 	 137 	0 	1 	01103FC5AF
2021-05-26 08:12:24	 553 	c1272 	6521 	104 	  68 	124536 	  5412 	 143 	0 	1 	01103FA7CC
2021-05-26 08:12:34	 927 	c1272 	6522 	110 	  68 	124576 	  5414 	 143 	0 	1 	01103FA7CC
2021-05-26 08:12:56	 967 	c1272 	6523 	118 	  67 	124656 	  5402 	 143 	0 	1 	01103FA7CC
2021-05-26 08:13:01	 403 	c1272 	6524 	126 	  68 	124736 	  5421 	 143 	0 	1 	01103FA7CC
2021-05-26 08:15:37	 692 	c1272 	6525 	132 	  67 	124720 	  5405 	 113 	0 	1 	01103FC5AF
