Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-01 15:03:11	 618 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-01 15:54:11	 717 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-01 16:45:11	 719 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-01 17:36:11	 714 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-01 18:27:11	 717 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-01 19:18:11	 719 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-01 20:09:11	 711 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-01 21:00:11	 725 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-01 21:51:11	 721 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-01 22:42:11	 721 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-01 23:33:11	 713 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 00:24:11	 714 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 01:15:11	 713 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 02:06:11	 718 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 02:57:11	 723 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 03:48:11	 711 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 04:39:12	   7 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 05:30:11	 716 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 06:21:11	 712 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 07:12:12	  83 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 08:03:11	 711 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 08:54:11	 716 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 09:16:59	 531 	c1272 	332 	 136 	 10111000 	 184 	 9938440 	 44	 49	 25	 56	 11	 64	 
2019-05-02 09:17:29	 805 	c1272 	333 	 140 	 01010100 	 84 	 10241056 	 45	 49	 25	 56	 11	 64	 
2019-05-02 09:17:31	  76 	c1272 	335 	 158 	 01110100 	 116 	 10253944 	 45	 49	 26	 56	 11	 65	 
2019-05-02 09:25:22	 294 	c1272 	336 	 167 	 01110100 	 116 	 14972224 	 45	 49	 27	 56	 11	 66	 
2019-05-02 09:25:28	 155 	c1272 	337 	 175 	 10110100 	 180 	 15031000 	 45	 50	 27	 56	 11	 66	 
2019-05-02 09:27:46	 446 	c1272 	338 	 189 	 10111000 	 184 	 16417360 	 45	 50	 27	 56	 12	 66	 
2019-05-02 09:27:52	 411 	c1272 	339 	 195 	 01110100 	 116 	 16477192 	 45	 50	 28	 56	 12	 67	 
2019-05-02 09:27:55	 237 	c1272 	340 	 200 	 11110100 	 244 	 16505584 	 46	 50	 28	 56	 12	 67	 
2019-05-02 09:27:57	  37 	c1272 	342 	 206 	 01010100 	 84 	 16523680 	 47	 50	 28	 56	 12	 67	 
2019-05-02 09:28:01	 302 	c1272 	344 	 214 	 11111000 	 248 	 16566400 	 48	 50	 28	 56	 12	 67	 
2019-05-02 09:29:07	 645 	c1272 	345 	 221 	 10110100 	 180 	 454704 	 48	 51	 28	 56	 12	 68	 
2019-05-02 09:29:12	 173 	c1272 	346 	 227 	 01110100 	 116 	 500256 	 48	 51	 29	 56	 12	 69	 
2019-05-02 09:29:59	 569 	c1272 	347 	 232 	 01010100 	 84 	 975864 	 49	 51	 29	 56	 12	 69	 
2019-05-02 09:30:01	 948 	c1272 	348 	 238 	 10110100 	 180 	 999648 	 49	 52	 29	 56	 12	 70	 
2019-05-02 09:30:10	 637 	c1272 	349 	 249 	 11111000 	 248 	 1086936 	 50	 52	 29	 56	 12	 70	 
2019-05-02 09:31:14	 624 	c1272 	350 	 255 	 10110100 	 180 	 1729368 	 50	 53	 29	 56	 12	 71	 
2019-05-02 09:31:24	 574 	c1272 	353 	 9 	 11111000 	 248 	 1829304 	 51	 53	 29	 56	 12	 71	 
2019-05-02 09:31:29	  42 	c1272 	354 	 13 	 01010100 	 84 	 1874304 	 52	 53	 29	 56	 12	 71	 
2019-05-02 09:31:30	 917 	c1272 	356 	 21 	 01110100 	 116 	 1892928 	 52	 53	 30	 56	 12	 72	 
2019-05-02 09:31:32	 653 	c1272 	357 	 27 	 01110100 	 116 	 1910424 	 52	 53	 31	 56	 12	 72	 
2019-05-02 09:31:33	 828 	c1272 	358 	 33 	 01110100 	 116 	 1922184 	 52	 53	 32	 56	 12	 72	 
2019-05-02 09:31:37	 965 	c1272 	359 	 43 	 01110100 	 116 	 1963704 	 52	 53	 33	 56	 12	 72	 
2019-05-02 09:31:45	 330 	c1272 	360 	 54 	 01111000 	 120 	 2037816 	 52	 53	 33	 57	 12	 72	 
2019-05-02 09:32:57	  83 	c1272 	361 	 63 	 01110100 	 116 	 2758584 	 52	 53	 34	 57	 12	 73	 
2019-05-02 09:33:04	 814 	c1272 	362 	 68 	 11111000 	 248 	 2836080 	 53	 53	 34	 57	 12	 73	 
2019-05-02 09:36:00	 930 	c1272 	363 	 75 	 10110100 	 180 	 4605528 	 53	 54	 34	 57	 12	 74	 
2019-05-02 09:36:09	 697 	c1272 	364 	 81 	 01111000 	 120 	 4693704 	 53	 54	 34	 58	 12	 74	 
2019-05-02 09:40:11	 391 	c1272 	365 	 87 	 10110100 	 180 	 7124856 	 53	 55	 34	 58	 12	 75	 
2019-05-02 09:40:16	 924 	c1272 	366 	 119 	 01110100 	 116 	 7180464 	 53	 55	 35	 58	 12	 76	 
2019-05-02 09:40:17	 603 	c1272 	367 	 125 	 01010100 	 84 	 7187376 	 54	 55	 35	 58	 12	 76	 
2019-05-02 09:40:18	 817 	c1272 	368 	 131 	 01010100 	 84 	 7199544 	 55	 55	 35	 58	 12	 76	 
2019-05-02 09:40:24	 902 	c1272 	371 	 139 	 01010100 	 84 	 7260768 	 56	 55	 35	 58	 12	 76	 
2019-05-02 09:40:30	 200 	c1272 	373 	 148 	 01111000 	 120 	 7314264 	 56	 55	 35	 59	 12	 76	 
2019-05-02 09:45:14	  98 	c1272	3314 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 09:45:44	 867 	c1272 	374 	 154 	 10110100 	 180 	 10489296 	 56	 56	 35	 59	 12	 77	 
2019-05-02 09:45:57	 719 	c1272 	375 	 164 	 01111000 	 120 	 10619448 	 56	 56	 35	 60	 12	 77	 
2019-05-02 09:47:40	 203 	c1272 	376 	 170 	 01110100 	 116 	 11657808 	 56	 56	 36	 60	 12	 78	 
2019-05-02 09:47:51	 161 	c1272 	377 	 176 	 01111000 	 120 	 11768880 	 56	 56	 36	 61	 12	 78	 
2019-05-02 09:48:58	 838 	c1272 	378 	 182 	 01110100 	 116 	 12454992 	 56	 56	 37	 61	 12	 79	 
2019-05-02 09:48:59	 398 	c1272 	379 	 186 	 10101000 	 168 	 12460776 	 57	 56	 37	 61	 12	 79	 
2019-05-02 09:49:10	 840 	c1272 	380 	 193 	 01111000 	 120 	 12576744 	 57	 56	 37	 62	 12	 79	 
