Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-01 14:42:10	  70 	c1254 	366 	 94 	 10101000 	 168 	 12855832 	 47	 60	 64	 99	 27	 118	 
2019-05-01 16:07:22	  28 	c1254 	367 	 98 	 10101000 	 168 	 3434616 	 48	 60	 64	 99	 27	 118	 
2019-05-01 22:45:58	 814 	c1254	354 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 07:15:58	 786 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 09:11:15	 708 	c1254 	369 	 104 	 10101000 	 168 	 12093728 	 49	 60	 64	 99	 27	 118	 
2019-05-02 09:11:34	 250 	c1254 	370 	 108 	 10101000 	 168 	 12295952 	 50	 60	 64	 99	 27	 118	 
2019-05-02 09:11:39	 970 	c1254 	371 	 114 	 10111000 	 184 	 12357104 	 50	 60	 64	 99	 28	 118	 
2019-05-02 09:24:36	1155 	c1254 	373 	 122 	 01111000 	 120 	 4118104 	 50	 60	 64	 100	 28	 118	 
2019-05-02 09:25:22	 370 	c1254 	374 	 126 	 01010100 	 84 	 4621120 	 51	 60	 64	 100	 28	 118	 
2019-05-02 09:25:25	 120 	c1254 	375 	 132 	 01110100 	 116 	 4652032 	 51	 60	 65	 100	 28	 119	 
2019-05-02 09:25:27	1036 	c1254 	376 	 142 	 10110100 	 180 	 4683016 	 51	 61	 65	 100	 28	 119	 
2019-05-02 09:25:35	 247 	c1254 	377 	 148 	 01111000 	 120 	 4764304 	 51	 61	 65	 101	 28	 119	 
2019-05-02 09:27:48	1001 	c1254 	378 	 157 	 11110100 	 244 	 6250264 	 52	 61	 65	 101	 28	 119	 
2019-05-02 09:28:01	 546 	c1254 	379 	 163 	 01111000 	 120 	 6390592 	 52	 61	 65	 102	 28	 119	 
2019-05-02 09:32:57	 830 	c1254 	381 	 173 	 10110100 	 180 	 9696328 	 52	 62	 65	 102	 28	 120	 
2019-05-02 09:33:13	 581 	c1254 	382 	 179 	 01111000 	 120 	 9873088 	 52	 62	 65	 103	 28	 120	 
2019-05-02 09:35:50	  45 	c1254 	384 	 190 	 10110100 	 180 	 11629480 	 52	 63	 65	 103	 28	 121	 
2019-05-02 09:36:03	 167 	c1254 	386 	 202 	 01111000 	 120 	 11776816 	 52	 63	 65	 104	 28	 121	 
2019-05-02 09:36:09	1136 	c1254 	387 	 206 	 01010100 	 84 	 11853664 	 53	 63	 65	 104	 28	 121	 
2019-05-02 09:36:13	 779 	c1254 	388 	 213 	 11110100 	 244 	 11895208 	 54	 63	 65	 104	 28	 121	 
2019-05-02 09:36:22	 462 	c1254 	389 	 219 	 01111000 	 120 	 11993416 	 54	 63	 65	 105	 28	 121	 
2019-05-02 09:38:35	 869 	c1254 	391 	 230 	 10110100 	 180 	 13496152 	 54	 64	 65	 105	 28	 122	 
2019-05-02 09:38:45	 466 	c1254 	392 	 243 	 01110100 	 116 	 13605088 	 54	 64	 66	 105	 28	 123	 
2019-05-02 09:46:57	 835 	c1254 	394 	 254 	 10110100 	 180 	 2404680 	 54	 65	 66	 105	 28	 124	 
2019-05-02 09:47:06	 725 	c1254 	397 	 12 	 01111000 	 120 	 2505864 	 54	 65	 66	 106	 28	 124	 
2019-05-02 10:00:24	 752 	c1254 	399 	 22 	 01110100 	 116 	 11593320 	 54	 65	 67	 106	 28	 125	 
2019-05-02 10:00:26	 653 	c1254 	400 	 33 	 10110100 	 180 	 11615184 	 54	 66	 67	 106	 28	 125	 
2019-05-02 10:00:37	 381 	c1254 	401 	 41 	 01111000 	 120 	 11738088 	 54	 66	 67	 107	 28	 125	 
2019-05-02 10:04:26	  48 	c1254 	402 	 47 	 10110100 	 180 	 14350944 	 54	 67	 67	 107	 28	 126	 
2019-05-02 10:04:40	1102 	c1254 	404 	 58 	 01111000 	 120 	 14521224 	 54	 67	 67	 108	 28	 126	 
2019-05-02 10:09:06	 624 	c1254 	406 	 67 	 10110100 	 180 	 778832 	 54	 68	 67	 108	 28	 127	 
2019-05-02 10:09:18	 142 	c1254 	407 	 73 	 01111000 	 120 	 911360 	 54	 68	 67	 109	 28	 127	 
2019-05-02 10:12:05	 568 	c1254 	408 	 85 	 10110100 	 180 	 2826776 	 54	 69	 67	 109	 28	 128	 
2019-05-02 10:12:18	 301 	c1254 	409 	 91 	 01111000 	 120 	 2973080 	 54	 69	 67	 110	 28	 128	 
2019-05-02 10:13:32	 661 	c1254 	412 	 101 	 01110100 	 116 	 3824648 	 54	 69	 68	 110	 28	 129	 
2019-05-02 10:13:33	 363 	c1254 	413 	 105 	 10101000 	 168 	 3833192 	 55	 69	 68	 110	 28	 129	 
2019-05-02 10:13:59	 944 	c1254 	414 	 112 	 01111000 	 120 	 4137104 	 55	 69	 68	 111	 28	 129	 
2019-05-02 10:14:09	 763 	c1254 	416 	 120 	 10110100 	 180 	 4250048 	 55	 70	 68	 111	 28	 130	 
2019-05-02 10:14:17	1157 	c1254 	417 	 128 	 01111000 	 120 	 4345688 	 55	 70	 68	 112	 28	 130	 
2019-05-02 10:15:01	 179 	c1254 	420 	 136 	 01010100 	 84 	 4840976 	 56	 70	 68	 112	 28	 130	 
2019-05-02 10:16:29	 581 	c1254 	422 	 144 	 01110100 	 116 	 5855432 	 56	 70	 69	 112	 28	 131	 
2019-05-02 10:16:49	 379 	c1254 	423 	 153 	 01111000 	 120 	 6083216 	 56	 70	 69	 113	 28	 131	 
2019-05-02 10:26:02	 812 	c1254 	424 	 159 	 01110100 	 116 	 12451160 	 56	 70	 70	 113	 28	 132	 
2019-05-02 10:26:04	1126 	c1254 	426 	 169 	 10110100 	 180 	 12477176 	 56	 71	 70	 113	 28	 132	 
2019-05-02 10:26:20	 815 	c1254 	427 	 175 	 01111000 	 120 	 12657560 	 56	 71	 70	 114	 28	 132	 
2019-05-02 10:26:58	 668 	c1254 	428 	 179 	 01010100 	 84 	 13091408 	 57	 71	 70	 114	 28	 132	 
2019-05-02 10:27:00	 844 	c1254 	429 	 189 	 01110100 	 116 	 13116032 	 57	 71	 71	 114	 28	 133	 
2019-05-02 10:27:34	  97 	c1254 	430 	 200 	 01111000 	 120 	 13497776 	 57	 71	 71	 115	 28	 133	 
2019-05-02 10:29:42	 206 	c1254 	432 	 211 	 10111000 	 184 	 14961440 	 57	 71	 71	 115	 29	 133	 
2019-05-02 10:30:39	 823 	c1254 	433 	 220 	 10111000 	 184 	 15618608 	 57	 71	 71	 115	 30	 133	 
2019-05-02 10:38:59	 226 	c1254 	435 	 232 	 10110100 	 180 	 4557088 	 57	 72	 71	 115	 30	 134	 
2019-05-02 10:40:20	 694 	c1254 	436 	 236 	 10101000 	 168 	 5485816 	 58	 72	 71	 115	 30	 134	 
2019-05-02 10:40:23	1066 	c1254 	437 	 240 	 10101000 	 168 	 5523616 	 59	 72	 71	 115	 30	 134	 
2019-05-02 10:41:17	 607 	c1254 	438 	 244 	 10101000 	 168 	 6134176 	 60	 72	 71	 115	 30	 134	 
2019-05-02 10:41:49	  27 	c1254 	439 	 248 	 10101000 	 168 	 6492856 	 61	 72	 71	 115	 30	 134	 
