Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 13:10:05	 873 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 14:01:05	 773 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 14:52:05	 775 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 15:43:05	 774 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 16:34:05	 774 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 17:25:05	 775 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 18:16:05	 773 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 19:07:05	 805 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 19:58:05	 777 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 20:49:05	 775 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 21:40:05	 773 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 22:31:05	 776 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-04 23:22:05	 784 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-05 00:13:05	 778 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-05 01:04:05	 806 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-05 01:55:05	 766 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-05 02:46:05	 768 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-05 03:37:05	 767 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-05 04:28:05	 768 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-05 05:19:05	 772 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-05 06:10:05	 769 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-05 07:01:05	 772 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-05 07:52:05	 803 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-05 08:43:05	 771 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-05 09:34:05	 776 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-05 10:17:28	 864 	c1252 	1283 	 133 	 10101000 	 168 	 6274328 	 116	 254	 184	 352	 43	 398	 
2019-05-05 10:17:37	 664 	c1252 	1284 	 141 	 10111000 	 184 	 6371600 	 116	 254	 184	 352	 44	 398	 
2019-05-05 10:17:39	 547 	c1252 	1285 	 147 	 10111000 	 184 	 6392432 	 116	 254	 184	 352	 45	 398	 
2019-05-05 10:17:41	 400 	c1252 	1288 	 159 	 01110100 	 116 	 6412952 	 116	 254	 185	 352	 45	 399	 
2019-05-05 10:19:52	  32 	c1252 	1289 	 166 	 10110100 	 180 	 7859432 	 116	 255	 185	 352	 45	 400	 
2019-05-05 10:20:05	 535 	c1252 	1291 	 174 	 01111000 	 120 	 8009072 	 116	 255	 185	 353	 45	 400	 
2019-05-05 10:21:54	 125 	c1252 	1293 	 182 	 01110100 	 116 	 9215312 	 116	 255	 186	 353	 45	 401	 
2019-05-05 10:21:54	 622 	c1252 	1294 	 186 	 10101000 	 168 	 9220712 	 117	 255	 186	 353	 45	 401	 
2019-05-05 10:22:04	 775 	c1252 	1296 	 194 	 01111000 	 120 	 9333584 	 117	 255	 186	 354	 45	 401	 
2019-05-05 10:22:54	 496 	c1252 	1297 	 198 	 01010100 	 84 	 9886880 	 118	 255	 186	 354	 45	 401	 
2019-05-05 10:22:57	 279 	c1252 	1301 	 212 	 01110100 	 116 	 9917936 	 118	 255	 187	 354	 45	 402	 
2019-05-05 10:25:06	 530 	c1252	1282 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-05 10:25:11	  25 	c1252 	1302 	 221 	 01111000 	 120 	 11408480 	 118	 255	 187	 355	 45	 402	 
2019-05-05 10:25:15	 568 	c1252 	1306 	 237 	 10110100 	 180 	 11459024 	 118	 256	 187	 355	 45	 403	 
2019-05-05 10:25:23	 448 	c1252 	1307 	 246 	 01111000 	 120 	 11546984 	 118	 256	 187	 356	 45	 403	 
2019-05-05 10:26:13	 574 	c1252 	1308 	 251 	 11110100 	 244 	 12106424 	 119	 256	 187	 356	 45	 403	 
2019-05-05 10:26:19	 465 	c1252 	1309 	 5 	 01111000 	 120 	 12172256 	 119	 256	 187	 357	 45	 403	 
2019-05-05 10:27:08	 889 	c1252 	1310 	 10 	 11110100 	 244 	 12724208 	 120	 256	 187	 357	 45	 403	 
2019-05-05 10:27:19	 363 	c1252 	1312 	 16 	 01010100 	 84 	 12841376 	 121	 256	 187	 357	 45	 403	 
2019-05-05 10:27:20	 550 	c1252 	1313 	 22 	 01111000 	 120 	 12854600 	 121	 256	 187	 358	 45	 403	 
2019-05-05 10:28:30	 786 	c1252 	1315 	 36 	 01110100 	 116 	 13639760 	 121	 256	 188	 358	 45	 404	 
2019-05-05 10:28:36	 566 	c1252 	1316 	 40 	 01010100 	 84 	 13704464 	 122	 256	 188	 358	 45	 404	 
2019-05-05 10:28:48	 483 	c1252 	1318 	 51 	 01111000 	 120 	 13837784 	 122	 256	 188	 359	 45	 404	 
2019-05-05 10:29:16	  46 	c1252 	1319 	 58 	 11110100 	 244 	 14146256 	 123	 256	 188	 359	 45	 404	 
2019-05-05 10:29:23	 697 	c1252 	1320 	 68 	 01111000 	 120 	 14231696 	 123	 256	 188	 360	 45	 404	 
2019-05-05 10:29:41	 636 	c1252 	1321 	 76 	 01110100 	 116 	 14432384 	 123	 256	 189	 360	 45	 405	 
2019-05-05 10:29:50	 371 	c1252 	1322 	 82 	 01111000 	 120 	 14530184 	 123	 256	 189	 361	 45	 405	 
2019-05-05 10:30:46	 332 	c1252 	1323 	 91 	 10110100 	 180 	 15156512 	 123	 257	 189	 361	 45	 406	 
2019-05-05 10:30:54	 451 	c1252 	1324 	 100 	 01111000 	 120 	 15247376 	 123	 257	 189	 362	 45	 406	 
2019-05-05 10:32:04	 814 	c1252 	1327 	 112 	 01110100 	 116 	 16035200 	 123	 257	 190	 362	 45	 407	 
2019-05-05 10:32:14	 246 	c1252 	1328 	 118 	 01111000 	 120 	 16140992 	 123	 257	 190	 363	 45	 407	 
2019-05-05 10:32:27	  19 	c1252 	1330 	 128 	 10110100 	 180 	 16284104 	 123	 258	 190	 363	 45	 408	 
2019-05-05 10:32:33	 436 	c1252 	1331 	 136 	 01111000 	 120 	 16355888 	 123	 258	 190	 364	 45	 408	 
2019-05-05 10:32:44	 244 	c1252 	1334 	 148 	 10110100 	 180 	 16477016 	 123	 259	 190	 364	 45	 409	 
2019-05-05 10:32:55	  73 	c1252 	1335 	 154 	 01111000 	 120 	 16598360 	 123	 259	 190	 365	 45	 409	 
2019-05-05 10:33:42	 694 	c1252 	1337 	 166 	 01110100 	 116 	 354400 	 123	 259	 191	 365	 45	 410	 
2019-05-05 10:33:53	 596 	c1252 	1338 	 173 	 01111000 	 120 	 476560 	 123	 259	 191	 366	 45	 410	 
2019-05-05 10:34:19	  35 	c1252 	1339 	 179 	 01110100 	 116 	 761776 	 123	 259	 192	 366	 45	 411	 
2019-05-05 10:34:25	 952 	c1252 	1341 	 187 	 01111000 	 120 	 839032 	 123	 259	 192	 367	 45	 411	 
2019-05-05 10:34:30	   6 	c1252 	1342 	 195 	 01110100 	 116 	 884704 	 123	 259	 193	 367	 45	 412	 
2019-05-05 10:34:41	 298 	c1252 	1343 	 202 	 01111000 	 120 	 1011160 	 123	 259	 193	 368	 45	 412	 
2019-05-05 10:35:11	 538 	c1252 	1344 	 211 	 10110100 	 180 	 1349968 	 123	 260	 193	 368	 45	 413	 
2019-05-05 10:35:25	 344 	c1252 	1345 	 221 	 01111000 	 120 	 1504768 	 123	 260	 193	 369	 45	 413	 
2019-05-05 10:36:33	 242 	c1252 	1347 	 231 	 01110100 	 116 	 2266000 	 123	 260	 194	 369	 45	 414	 
2019-05-05 10:38:22	 527 	c1252 	1349 	 246 	 10110100 	 180 	 3491584 	 123	 261	 194	 369	 45	 415	 
2019-05-05 10:38:26	 140 	c1252 	1350 	 255 	 01111000 	 120 	 3532240 	 123	 261	 194	 370	 45	 415	 
