Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-06 14:44:23	 350 	c1254 	938 	 197 	 10101000 	 168 	 11939080 	 297	 95	 109	 153	 35	 191	 
2019-05-06 15:18:19	  63 	c1254 	939 	 201 	 10101000 	 168 	 1031936 	 298	 95	 109	 153	 35	 191	 
2019-05-06 15:18:22	 598 	c1254 	940 	 205 	 10101000 	 168 	 1070504 	 299	 95	 109	 153	 35	 191	 
2019-05-06 15:18:30	 983 	c1254 	941 	 209 	 10101000 	 168 	 1163360 	 300	 95	 109	 153	 35	 191	 
2019-05-06 15:19:02	 778 	c1254 	942 	 213 	 10101000 	 168 	 1518080 	 301	 95	 109	 153	 35	 191	 
2019-05-06 15:29:03	1129 	c1254 	943 	 217 	 10101000 	 168 	 8220416 	 302	 95	 109	 153	 35	 191	 
2019-05-06 15:29:06	 117 	c1254 	944 	 221 	 10101000 	 168 	 8244152 	 303	 95	 109	 153	 35	 191	 
2019-05-06 23:06:21	 989 	c1254	862 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-07 07:36:21	 779 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-07 08:02:10	 470 	c1254 	945 	 225 	 10101000 	 168 	 2912216 	 304	 95	 109	 153	 35	 191	 
2019-05-07 08:02:32	 419 	c1254 	946 	 229 	 10101000 	 168 	 3147464 	 305	 95	 109	 153	 35	 191	 
2019-05-07 08:06:51	 520 	c1254 	947 	 233 	 10101000 	 168 	 5923832 	 306	 95	 109	 153	 35	 191	 
2019-05-07 09:57:41	 538 	c1254 	948 	 237 	 10101000 	 168 	 10368904 	 307	 95	 109	 153	 35	 191	 
2019-05-07 10:14:10	 522 	c1254 	949 	 241 	 10101000 	 168 	 4277424 	 308	 95	 109	 153	 35	 191	 
2019-05-07 10:14:21	 295 	c1254 	950 	 245 	 10101000 	 168 	 4394232 	 309	 95	 109	 153	 35	 191	 
2019-05-07 10:21:30	 308 	c1254 	951 	 249 	 10101000 	 168 	 9036648 	 310	 95	 109	 153	 35	 191	 
2019-05-07 10:29:47	 219 	c1254 	952 	 255 	 10111000 	 184 	 14425368 	 310	 95	 109	 153	 36	 191	 
2019-05-07 10:30:10	 889 	c1254 	953 	 5 	 01110100 	 116 	 14681376 	 310	 95	 110	 153	 36	 192	 
2019-05-07 10:53:29	   0 	c1254 	955 	 14 	 10111000 	 184 	 13148312 	 310	 95	 110	 153	 37	 192	 
2019-05-07 10:53:35	 382 	c1254 	956 	 20 	 10110100 	 180 	 13217504 	 310	 96	 110	 153	 37	 193	 
2019-05-07 10:53:49	 986 	c1254 	957 	 32 	 01111000 	 120 	 13376240 	 310	 96	 110	 154	 37	 193	 
2019-05-07 10:54:52	 448 	c1254 	959 	 40 	 10110100 	 180 	 14059688 	 310	 97	 110	 154	 37	 194	 
2019-05-07 10:55:05	 449 	c1254 	962 	 50 	 01111000 	 120 	 14201792 	 310	 97	 110	 155	 37	 194	 
2019-05-07 11:00:41	 325 	c1254 	965 	 62 	 01110100 	 116 	 1097776 	 310	 97	 111	 155	 37	 195	 
2019-05-07 11:00:52	1107 	c1254 	968 	 77 	 10111000 	 184 	 1225528 	 310	 97	 111	 155	 38	 195	 
2019-05-07 11:00:54	 547 	c1254 	970 	 86 	 01111000 	 120 	 1242112 	 310	 97	 111	 156	 38	 195	 
2019-05-07 11:02:33	1142 	c1254 	971 	 94 	 01110100 	 116 	 2330968 	 310	 97	 112	 156	 38	 196	 
2019-05-07 11:02:37	 344 	c1254 	972 	 100 	 10110100 	 180 	 2367184 	 310	 98	 112	 156	 38	 196	 
2019-05-07 11:02:47	 219 	c1254 	976 	 116 	 01111000 	 120 	 2475400 	 310	 98	 112	 157	 38	 196	 
