Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-13 15:01:54	 774 	c1254 	1942 	 123 	 10101000 	 168 	 5113672 	 123	 154	 145	 265	 18	 273	 
2019-05-13 15:02:22	 809 	c1254 	1943 	 127 	 10101000 	 168 	 5425480 	 124	 154	 145	 265	 18	 273	 
2019-05-13 23:12:13	 846 	c1254	365 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-14 07:42:13	 801 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-14 08:39:05	 833 	c1254 	1944 	 131 	 10101000 	 168 	 16542752 	 125	 154	 145	 265	 18	 273	 
2019-05-14 08:39:07	 811 	c1254 	1945 	 135 	 10101000 	 168 	 16564160 	 126	 154	 145	 265	 18	 273	 
2019-05-14 08:40:17	 318 	c1254 	1946 	 139 	 10101000 	 168 	 538768 	 127	 154	 145	 265	 18	 273	 
2019-05-14 10:56:26	1105 	c1254 	1947 	 143 	 10101000 	 168 	 5433656 	 128	 154	 145	 265	 18	 273	 
2019-05-14 10:56:29	 324 	c1254 	1948 	 147 	 10101000 	 168 	 5459072 	 129	 154	 145	 265	 18	 273	 
2019-05-14 10:56:34	 754 	c1254 	1949 	 153 	 10111000 	 184 	 5517800 	 129	 154	 145	 265	 19	 273	 
2019-05-14 10:56:46	 691 	c1254 	1950 	 157 	 01010100 	 84 	 5648432 	 130	 154	 145	 265	 19	 273	 
2019-05-14 11:26:54	 619 	c1254 	1951 	 163 	 01110100 	 116 	 8807608 	 130	 154	 146	 265	 19	 274	 
2019-05-14 11:26:58	 331 	c1254 	1952 	 169 	 01110100 	 116 	 8849200 	 130	 154	 147	 265	 19	 274	 
2019-05-14 11:27:02	 239 	c1254 	1953 	 175 	 10110100 	 180 	 8892664 	 130	 155	 147	 265	 19	 274	 
2019-05-14 11:27:25	 911 	c1254 	1955 	 187 	 01111000 	 120 	 9154000 	 130	 155	 147	 266	 19	 274	 
2019-05-14 11:39:54	 768 	c1254 	1956 	 191 	 01010100 	 84 	 687408 	 131	 155	 147	 266	 19	 274	 
2019-05-14 11:39:57	1051 	c1254 	1957 	 197 	 10110100 	 180 	 723432 	 131	 156	 147	 266	 19	 275	 
2019-05-14 11:40:10	 576 	c1254 	1958 	 203 	 01111000 	 120 	 863280 	 131	 156	 147	 267	 19	 275	 
2019-05-14 11:43:07	 301 	c1254 	1959 	 209 	 10110100 	 180 	 2826888 	 131	 157	 147	 267	 19	 276	 
2019-05-14 11:43:23	 816 	c1254 	1960 	 217 	 01111000 	 120 	 3009600 	 131	 157	 147	 268	 19	 276	 
2019-05-14 11:47:07	 996 	c1254 	1962 	 227 	 01110100 	 116 	 5500416 	 131	 157	 148	 268	 19	 277	 
2019-05-14 11:47:12	 354 	c1254 	1964 	 235 	 01110100 	 116 	 5549856 	 131	 157	 149	 268	 19	 277	 
2019-05-14 11:47:56	 137 	c1254 	1965 	 240 	 10101000 	 168 	 6036816 	 132	 157	 149	 268	 19	 277	 
2019-05-14 11:47:56	 796 	c1254 	1966 	 252 	 01111000 	 120 	 6043128 	 132	 157	 149	 269	 19	 277	 
2019-05-14 11:47:58	 168 	c1254 	1967 	 2 	 01110100 	 116 	 6059352 	 132	 157	 150	 269	 19	 278	 
2019-05-14 11:48:51	 405 	c1254 	1968 	 11 	 10111000 	 184 	 6650952 	 132	 157	 150	 269	 20	 278	 
2019-05-14 11:51:38	 378 	c1254 	1969 	 17 	 01110100 	 116 	 8507856 	 132	 157	 151	 269	 20	 279	 
2019-05-14 11:58:04	 584 	c1254 	1970 	 24 	 10110100 	 180 	 12806568 	 132	 158	 151	 269	 20	 280	 
2019-05-14 11:58:17	  89 	c1254 	1971 	 35 	 11111000 	 248 	 12946680 	 133	 158	 151	 269	 20	 280	 
2019-05-14 11:58:41	 421 	c1254 	1972 	 45 	 10110100 	 180 	 13217352 	 133	 159	 151	 269	 20	 281	 
2019-05-14 12:01:49	 396 	c1254 	1973 	 52 	 11111000 	 248 	 15313320 	 134	 159	 151	 269	 20	 281	 
2019-05-14 12:01:56	  23 	c1254 	1976 	 64 	 01110100 	 116 	 15387840 	 134	 159	 152	 269	 20	 282	 
2019-05-14 12:01:58	1036 	c1254 	1977 	 70 	 10110100 	 180 	 15419880 	 134	 160	 152	 269	 20	 282	 
2019-05-14 12:02:11	1130 	c1254 	1979 	 79 	 10111000 	 184 	 15565800 	 134	 160	 152	 269	 21	 282	 
2019-05-14 12:07:11	 602 	c1254 	1984 	 95 	 01110100 	 116 	 2131568 	 134	 160	 153	 269	 21	 283	 
2019-05-14 12:07:12	 619 	c1254 	1985 	 99 	 01010100 	 84 	 2142896 	 135	 160	 153	 269	 21	 283	 
2019-05-14 12:07:13	 201 	c1254 	1986 	 103 	 01010100 	 84 	 2150048 	 136	 160	 153	 269	 21	 283	 
2019-05-14 12:07:17	 261 	c1254 	1987 	 107 	 01010100 	 84 	 2195288 	 137	 160	 153	 269	 21	 283	 
2019-05-14 12:07:18	 133 	c1254 	1989 	 117 	 01010100 	 84 	 2205224 	 138	 160	 153	 269	 21	 283	 
2019-05-14 12:07:32	 596 	c1254 	1990 	 128 	 01111000 	 120 	 2366000 	 138	 160	 153	 270	 21	 283	 
2019-05-14 12:11:29	 109 	c1254 	1991 	 136 	 10110100 	 180 	 5007896 	 138	 161	 153	 270	 21	 284	 
2019-05-14 12:11:53	 337 	c1254 	1992 	 148 	 01111000 	 120 	 5278160 	 138	 161	 153	 271	 21	 284	 
2019-05-14 12:15:30	 817 	c1254 	1994 	 160 	 10110100 	 180 	 7707248 	 138	 162	 153	 271	 21	 285	 
2019-05-14 12:15:46	1022 	c1254 	1995 	 168 	 01111000 	 120 	 7887992 	 138	 162	 153	 272	 21	 285	 
2019-05-14 12:16:36	1120 	c1254 	1996 	 176 	 01110100 	 116 	 8447600 	 138	 162	 154	 272	 21	 286	 
2019-05-14 12:16:44	 230 	c1254 	1998 	 188 	 01111000 	 120 	 8528432 	 138	 162	 154	 273	 21	 286	 
2019-05-14 12:17:50	 529 	c1254 	2000 	 198 	 10110100 	 180 	 9268712 	 138	 163	 154	 273	 21	 287	 
2019-05-14 12:18:04	 522 	c1254 	2001 	 203 	 11111000 	 248 	 9425096 	 139	 163	 154	 273	 21	 287	 
2019-05-14 12:18:58	 705 	c1254 	2003 	 211 	 10110100 	 180 	 10030256 	 139	 164	 154	 273	 21	 288	 
2019-05-14 12:19:16	 797 	c1254 	2005 	 219 	 01111000 	 120 	 10232336 	 139	 164	 154	 274	 21	 288	 
2019-05-14 12:19:38	1042 	c1254 	2006 	 229 	 10110100 	 180 	 10480544 	 139	 165	 154	 274	 21	 289	 
2019-05-14 12:19:53	  59 	c1254 	2008 	 239 	 01111000 	 120 	 10638728 	 139	 165	 154	 275	 21	 289	 
2019-05-14 12:20:50	 475 	c1254 	2009 	 245 	 10110100 	 180 	 11279768 	 139	 166	 154	 275	 21	 290	 
2019-05-14 12:21:04	 905 	c1254 	2010 	 251 	 01111000 	 120 	 11440400 	 139	 166	 154	 276	 21	 290	 
2019-05-14 12:24:43	1037 	c1254 	2011 	 4 	 10110100 	 180 	 13889384 	 139	 167	 154	 276	 21	 291	 
2019-05-14 12:24:48	  56 	c1254 	2016 	 19 	 10110100 	 180 	 13935848 	 139	 168	 154	 276	 21	 292	 
2019-05-14 12:25:03	  19 	c1254 	2017 	 25 	 01111000 	 120 	 14103152 	 139	 168	 154	 277	 21	 292	 
2019-05-14 12:25:11	 558 	c1254 	2018 	 31 	 01111000 	 120 	 14197736 	 139	 168	 154	 278	 21	 292	 
2019-05-14 12:26:09	1095 	c1254 	2019 	 37 	 01110100 	 116 	 14851112 	 139	 168	 155	 278	 21	 293	 
2019-05-14 12:26:10	1072 	c1254 	2020 	 43 	 10110100 	 180 	 14862080 	 139	 169	 155	 278	 21	 293	 
2019-05-14 12:26:26	1061 	c1254 	2021 	 53 	 10111000 	 184 	 15040808 	 139	 169	 155	 278	 22	 293	 
2019-05-14 12:26:30	 272 	c1254 	2026 	 71 	 01110100 	 116 	 15077936 	 139	 169	 156	 278	 22	 294	 
2019-05-14 12:26:49	 424 	c1254 	2028 	 81 	 11111000 	 248 	 15291680 	 140	 169	 156	 278	 22	 294	 
2019-05-14 12:28:22	 872 	c1254 	2029 	 87 	 10110100 	 180 	 16334912 	 140	 170	 156	 278	 22	 295	 
2019-05-14 12:28:43	 200 	c1254 	2030 	 99 	 10111000 	 184 	 16563080 	 140	 170	 156	 278	 23	 295	 
2019-05-14 12:28:45	 415 	c1254 	2032 	 114 	 10110100 	 180 	 16587488 	 140	 171	 156	 278	 23	 296	 
2019-05-14 12:29:01	 385 	c1254 	2033 	 121 	 11111000 	 248 	 16765928 	 141	 171	 156	 278	 23	 296	 
2019-05-14 12:30:14	 799 	c1254 	2034 	 127 	 01110100 	 116 	 808432 	 141	 171	 157	 278	 23	 297	 
2019-05-14 12:30:15	 852 	c1254 	2035 	 133 	 10110100 	 180 	 820120 	 141	 172	 157	 278	 23	 297	 
2019-05-14 12:30:24	 219 	c1254	6782 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-14 12:30:27	1154 	c1254 	2036 	 139 	 01111000 	 120 	 957160 	 141	 172	 157	 279	 23	 297	 
2019-05-14 12:31:49	 702 	c1254 	2037 	 147 	 01110100 	 116 	 1869160 	 141	 172	 158	 279	 23	 298	 
2019-05-14 12:31:57	 860 	c1254 	2039 	 153 	 10101000 	 168 	 1960120 	 142	 172	 158	 279	 23	 298	 
2019-05-14 12:31:59	 741 	c1254 	2040 	 157 	 10101000 	 168 	 1981336 	 143	 172	 158	 279	 23	 298	 
2019-05-14 12:32:01	1140 	c1254 	2041 	 167 	 11111000 	 248 	 2007520 	 144	 172	 158	 279	 23	 298	 
2019-05-14 12:32:38	 252 	c1254 	2042 	 173 	 01110100 	 116 	 2412544 	 144	 172	 159	 279	 23	 299	 
2019-05-14 12:32:52	 914 	c1254 	2043 	 180 	 10111000 	 184 	 2575360 	 144	 172	 159	 279	 24	 299	 
2019-05-14 12:34:12	 857 	c1254 	2044 	 186 	 10110100 	 180 	 3468592 	 144	 173	 159	 279	 24	 300	 
2019-05-14 12:34:14	 353 	c1254 	2045 	 191 	 10110100 	 180 	 3486088 	 144	 174	 159	 279	 24	 301	 
2019-05-14 12:34:24	 310 	c1254 	2046 	 196 	 11111000 	 248 	 3597400 	 145	 174	 159	 279	 24	 301	 
2019-05-14 12:34:36	 245 	c1254 	2047 	 203 	 11110100 	 244 	 3730816 	 146	 174	 159	 279	 24	 301	 
2019-05-14 12:34:44	 369 	c1254 	2049 	 212 	 01111000 	 120 	 3821344 	 146	 174	 159	 280	 24	 301	 
2019-05-14 12:34:55	   8 	c1254 	2050 	 218 	 10110100 	 180 	 3940744 	 146	 175	 159	 280	 24	 302	 
2019-05-14 12:35:01	 896 	c1254 	2051 	 228 	 01111000 	 120 	 4016296 	 146	 175	 159	 281	 24	 302	 
2019-05-14 12:40:09	 654 	c1254 	2052 	 234 	 10110100 	 180 	 7453864 	 146	 176	 159	 281	 24	 303	 
2019-05-14 12:40:32	 647 	c1254 	2053 	 240 	 01111000 	 120 	 7710712 	 146	 176	 159	 282	 24	 303	 
2019-05-14 12:40:34	 984 	c1254 	2055 	 255 	 01110100 	 116 	 7736296 	 146	 176	 160	 282	 24	 304	 
2019-05-14 12:40:38	 200 	c1254 	2056 	 3 	 01010100 	 84 	 7773448 	 147	 176	 160	 282	 24	 304	 
2019-05-14 12:40:39	 493 	c1254 	2058 	 9 	 01010100 	 84 	 7787440 	 148	 176	 160	 282	 24	 304	 
2019-05-14 12:40:44	 458 	c1254 	2059 	 15 	 10111000 	 184 	 7842952 	 148	 176	 160	 282	 25	 304	 
2019-05-14 12:40:47	 796 	c1254 	2061 	 24 	 01111000 	 120 	 7879696 	 148	 176	 160	 283	 25	 304	 
2019-05-14 12:41:05	 690 	c1254 	2062 	 30 	 10110100 	 180 	 8079712 	 148	 177	 160	 283	 25	 305	 
2019-05-14 12:41:17	 403 	c1254 	2064 	 39 	 01111000 	 120 	 8210992 	 148	 177	 160	 284	 25	 305	 
2019-05-14 12:42:46	 463 	c1254 	2066 	 49 	 10110100 	 180 	 9205552 	 148	 178	 160	 284	 25	 306	 
2019-05-14 12:43:29	 749 	c1254 	2067 	 55 	 10110100 	 180 	 9688456 	 148	 179	 160	 284	 25	 307	 
2019-05-14 12:43:38	 876 	c1254 	2068 	 61 	 01111000 	 120 	 9790168 	 148	 179	 160	 285	 25	 307	 
2019-05-14 12:43:50	 850 	c1254 	2069 	 67 	 01111000 	 120 	 9923920 	 148	 179	 160	 286	 25	 307	 
2019-05-14 12:44:08	 161 	c1254 	2073 	 78 	 01110100 	 116 	 10118296 	 148	 179	 161	 286	 25	 308	 
2019-05-14 12:44:17	 902 	c1254 	2075 	 88 	 01111000 	 120 	 10225888 	 148	 179	 161	 287	 25	 308	 
2019-05-14 12:45:23	1118 	c1254 	2077 	 100 	 01110100 	 116 	 10964920 	 148	 179	 162	 287	 25	 309	 
2019-05-14 12:45:33	 234 	c1254 	2078 	 108 	 01110100 	 116 	 11068120 	 148	 179	 163	 287	 25	 309	 
2019-05-14 12:45:35	 442 	c1254 	2079 	 112 	 01010100 	 84 	 11092456 	 149	 179	 163	 287	 25	 309	 
2019-05-14 12:45:36	 666 	c1254 	2081 	 118 	 01010100 	 84 	 11105776 	 150	 179	 163	 287	 25	 309	 
2019-05-14 12:45:40	 880 	c1254 	2082 	 127 	 01111000 	 120 	 11152504 	 150	 179	 163	 288	 25	 309	 
2019-05-14 12:47:52	 316 	c1254 	2083 	 133 	 10110100 	 180 	 12621496 	 150	 180	 163	 288	 25	 310	 
2019-05-14 12:48:04	1022 	c1254 	2084 	 142 	 11111000 	 248 	 12762328 	 151	 180	 163	 288	 25	 310	 
2019-05-14 12:48:35	 777 	c1254 	2086 	 154 	 01110100 	 116 	 13106224 	 151	 180	 164	 288	 25	 311	 
2019-05-14 12:48:37	 319 	c1254 	2087 	 158 	 01010100 	 84 	 13124176 	 152	 180	 164	 288	 25	 311	 
2019-05-14 12:48:40	1064 	c1254 	2089 	 168 	 01010100 	 84 	 13164832 	 153	 180	 164	 288	 25	 311	 
2019-05-14 12:48:46	 530 	c1254 	2090 	 175 	 01111000 	 120 	 13226728 	 153	 180	 164	 289	 25	 311	 
2019-05-14 12:51:34	 909 	c1254 	2092 	 183 	 01110100 	 116 	 15106024 	 153	 180	 165	 289	 25	 312	 
2019-05-14 12:51:40	 397 	c1254 	2102 	 205 	 01010100 	 84 	 15168136 	 154	 180	 165	 289	 25	 312	 
2019-05-14 12:51:43	 544 	c1254 	2103 	 209 	 01010100 	 84 	 15203056 	 155	 180	 165	 289	 25	 312	 
2019-05-14 12:51:47	 943 	c1254 	2104 	 214 	 01010100 	 84 	 15251560 	 156	 180	 165	 289	 25	 312	 
2019-05-14 12:51:54	 112 	c1254 	2105 	 223 	 01111000 	 120 	 15321784 	 156	 180	 165	 290	 25	 312	 
2019-05-14 12:52:47	 799 	c1254 	2106 	 229 	 10110100 	 180 	 15920416 	 156	 181	 165	 290	 25	 313	 
2019-05-14 12:52:58	 867 	c1254 	2107 	 239 	 10111000 	 184 	 16043944 	 156	 181	 165	 290	 26	 313	 
2019-05-14 12:54:00	 949 	c1254 	2109 	 247 	 01110100 	 116 	 16737256 	 156	 181	 166	 290	 26	 314	 
2019-05-14 12:54:08	 863 	c1254 	2110 	 251 	 01010100 	 84 	 48552 	 157	 181	 166	 290	 26	 314	 
2019-05-14 12:54:13	 979 	c1254 	2111 	 0 	 01010100 	 84 	 105504 	 158	 181	 166	 290	 26	 314	 
2019-05-14 12:57:40	 730 	c1254 	2114 	 116 	 01110100 	 116 	 2410608 	 158	 181	 167	 290	 26	 315	 
2019-05-14 12:57:44	   6 	c1254 	2116 	 122 	 01010100 	 84 	 2448192 	 159	 181	 167	 290	 26	 315	 
2019-05-14 13:49:25	  23 	c1254 	2117 	 127 	 10101000 	 168 	 3493312 	 160	 181	 167	 290	 26	 315	 
2019-05-14 13:49:33	1019 	c1254	5556 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-14 13:49:36	 271 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-14 13:49:37	 273 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-14 13:49:38	 274 	c1254	161 bytes to file.
