Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-14 13:51:45	 616 	c1254 	2119 	 133 	 10101000 	 168 	 5056792 	 161	 181	 167	 290	 26	 315	 
2019-05-14 22:12:21	 819 	c1254	263 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-15 06:42:21	 796 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-15 07:11:57	 237 	c1254 	2120 	 137 	 10101000 	 168 	 10590752 	 162	 181	 167	 290	 26	 315	 
2019-05-15 07:16:07	 657 	c1254 	2121 	 141 	 10101000 	 168 	 13297160 	 163	 181	 167	 290	 26	 315	 
2019-05-15 07:22:24	1031 	c1254 	2122 	 145 	 10101000 	 168 	 598336 	 164	 181	 167	 290	 26	 315	 
2019-05-15 07:25:03	 371 	c1254 	2123 	 149 	 10101000 	 168 	 2310208 	 165	 181	 167	 290	 26	 315	 
2019-05-15 07:25:33	  42 	c1254 	2124 	 153 	 10101000 	 168 	 2631280 	 166	 181	 167	 290	 26	 315	 
2019-05-15 07:25:55	 326 	c1254 	2125 	 157 	 10101000 	 168 	 2871568 	 167	 181	 167	 290	 26	 315	 
2019-05-15 07:26:16	 308 	c1254 	2126 	 161 	 10101000 	 168 	 3098248 	 168	 181	 167	 290	 26	 315	 
2019-05-15 07:44:48	 391 	c1254 	2127 	 165 	 10101000 	 168 	 15103912 	 169	 181	 167	 290	 26	 315	 
2019-05-15 07:47:36	 594 	c1254 	2128 	 169 	 10101000 	 168 	 141816 	 170	 181	 167	 290	 26	 315	 
2019-05-15 08:05:58	 804 	c1254 	2129 	 173 	 10101000 	 168 	 12049056 	 171	 181	 167	 290	 26	 315	 
2019-05-15 08:14:51	 532 	c1254 	2130 	 177 	 10101000 	 168 	 1029848 	 172	 181	 167	 290	 26	 315	 
2019-05-15 10:25:44	 475 	c1254 	2132 	 183 	 10101000 	 168 	 2771544 	 173	 181	 167	 290	 26	 315	 
2019-05-15 10:25:49	 931 	c1254 	2133 	 195 	 10111000 	 184 	 2831784 	 173	 181	 167	 290	 27	 315	 
2019-05-15 10:25:53	 407 	c1254 	2136 	 203 	 10101000 	 168 	 2871432 	 174	 181	 167	 290	 27	 315	 
2019-05-15 10:26:04	 741 	c1254 	2137 	 207 	 10101000 	 168 	 2997504 	 175	 181	 167	 290	 27	 315	 
2019-05-15 10:42:24	 244 	c1254 	2140 	 215 	 10101000 	 168 	 13909848 	 176	 181	 167	 290	 27	 315	 
2019-05-15 10:42:26	  33 	c1254 	2141 	 219 	 10101000 	 168 	 13930056 	 177	 181	 167	 290	 27	 315	 
2019-05-15 11:31:07	 320 	c1254 	2142 	 223 	 10101000 	 168 	 12799816 	 178	 181	 167	 290	 27	 315	 
2019-05-15 11:31:11	 292 	c1254 	2143 	 229 	 10101000 	 168 	 12843904 	 179	 181	 167	 290	 27	 315	 
2019-05-15 11:32:32	 789 	c1254 	2145 	 243 	 01110100 	 116 	 13748824 	 179	 181	 168	 290	 27	 316	 
2019-05-15 12:18:30	 425 	c1254 	2147 	 254 	 10111000 	 184 	 10945208 	 179	 181	 168	 290	 28	 316	 
2019-05-15 12:18:31	 567 	c1254 	2149 	 6 	 01110100 	 116 	 10957736 	 179	 181	 169	 290	 28	 317	 
2019-05-15 12:18:48	1077 	c1254 	2151 	 19 	 01010100 	 84 	 11152544 	 180	 181	 169	 290	 28	 317	 
2019-05-15 12:19:38	  97 	c1254 	2152 	 23 	 10101000 	 168 	 11701232 	 181	 181	 169	 290	 28	 317	 
2019-05-15 12:34:39	 749 	c1254 	2153 	 31 	 10111000 	 184 	 5047624 	 181	 181	 169	 290	 29	 317	 
2019-05-15 13:13:40	 617 	c1254 	2154 	 219 	 10111000 	 184 	 14523288 	 181	 181	 169	 290	 30	 317	 
2019-05-15 13:18:51	 795 	c1254 	2155 	 223 	 10101000 	 168 	 1228040 	 182	 181	 169	 290	 30	 317	 
2019-05-15 13:45:02	 832 	c1254 	2156 	 227 	 10101000 	 168 	 2078848 	 183	 181	 169	 290	 30	 317	 
2019-05-15 13:45:05	 234 	c1254 	2157 	 231 	 10101000 	 168 	 2106760 	 184	 181	 169	 290	 30	 317	 
2019-05-15 13:49:33	 606 	c1254 	2158 	 235 	 10101000 	 168 	 5115496 	 185	 181	 169	 290	 30	 317	 
2019-05-15 14:30:26	 688 	c1254 	2161 	 243 	 10101000 	 168 	 15845736 	 186	 181	 169	 290	 30	 317	 
2019-05-15 14:30:42	 598 	c1254 	2162 	 247 	 10101000 	 168 	 16024176 	 187	 181	 169	 290	 30	 317	 
2019-05-15 14:30:46	 988 	c1254 	2164 	 253 	 10101000 	 168 	 16072752 	 188	 181	 169	 290	 30	 317	 
2019-05-15 14:31:56	 388 	c1254 	2165 	 1 	 10101000 	 168 	 74336 	 189	 181	 169	 290	 30	 317	 
2019-05-15 14:31:58	 855 	c1254 	2166 	 5 	 10101000 	 168 	 101240 	 190	 181	 169	 290	 30	 317	 
2019-05-15 14:32:06	 146 	c1254	3733 bytes to file.
