Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2019-05-14 13:51:43	 764 	c1254 	2117 	 129 	 10101010 	 170 	 5035960 
2019-05-14 13:51:44	 416 	c1254 	2118 	 130 	 10101000 	 168 	 5043760 
2019-05-14 13:51:44	 740 	c1254 	2118 	 131 	 10101010 	 170 	 5046856 
2019-05-14 13:51:45	 196 	c1254 	2119 	 132 	 10101000 	 168 	 5052784 
2019-05-14 13:51:45	 618 	c1254 	2119 	 134 	 00000000 	 0 	 5056792 
2019-05-14 22:12:21	756 	 c1254 	 304 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2019-05-15 06:42:21	767 	 c1254 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2019-05-15 07:11:52	 451 	c1254 	2119 	 135 	 10101010 	 170 	 10538696 
2019-05-15 07:11:56	 963 	c1254 	2120 	 136 	 10101000 	 168 	 10586744 
2019-05-15 07:11:57	 240 	c1254 	2120 	 138 	 00000000 	 0 	 10590752 
2019-05-15 07:12:09	 924 	c1254 	2120 	 139 	 10101010 	 170 	 10726904 
2019-05-15 07:16:07	 230 	c1254 	2121 	 140 	 10101000 	 168 	 13293152 
2019-05-15 07:16:07	 660 	c1254 	2121 	 142 	 00000000 	 0 	 13297160 
2019-05-15 07:16:18	 918 	c1254 	2121 	 143 	 10101010 	 170 	 13418504 
2019-05-15 07:22:24	 604 	c1254 	2122 	 144 	 10101000 	 168 	 594328 
2019-05-15 07:22:24	1034 	c1254 	2122 	 146 	 00000000 	 0 	 598336 
2019-05-15 07:22:40	 179 	c1254 	2122 	 147 	 10101010 	 170 	 763192 
2019-05-15 07:25:02	1095 	c1254 	2123 	 148 	 10101000 	 168 	 2306200 
2019-05-15 07:25:03	 373 	c1254 	2123 	 150 	 00000000 	 0 	 2310208 
2019-05-15 07:25:04	  86 	c1254 	2123 	 151 	 10101010 	 170 	 2318344 
2019-05-15 07:25:32	 767 	c1254 	2124 	 152 	 10101000 	 168 	 2627272 
2019-05-15 07:25:33	  45 	c1254 	2124 	 154 	 00000000 	 0 	 2631280 
2019-05-15 07:25:48	 953 	c1254 	2124 	 155 	 10101010 	 170 	 2801824 
2019-05-15 07:25:54	1050 	c1254 	2125 	 156 	 10101000 	 168 	 2867560 
2019-05-15 07:25:55	 329 	c1254 	2125 	 158 	 00000000 	 0 	 2871568 
2019-05-15 07:26:08	 648 	c1254 	2125 	 159 	 10101010 	 170 	 3015016 
2019-05-15 07:26:15	1032 	c1254 	2126 	 160 	 10101000 	 168 	 3094240 
2019-05-15 07:26:16	 310 	c1254 	2126 	 162 	 00000000 	 0 	 3098248 
2019-05-15 07:44:47	 582 	c1254 	2126 	 163 	 10101010 	 170 	 15094912 
