Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-17 12:34:37	 620 	c1254 	2348 	 210 	 10101000 	 168 	 2158744 	 237	 201	 197	 319	 38	 363	 
2019-05-17 20:52:40	 791 	c1254	263 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-18 05:22:40	 793 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-18 08:29:32	 194 	c1254 	2349 	 214 	 10101000 	 168 	 14641536 	 238	 201	 197	 319	 38	 363	 
2019-05-18 08:33:52	 940 	c1254 	2350 	 218 	 10101000 	 168 	 689120 	 239	 201	 197	 319	 38	 363	 
2019-05-18 09:10:56	 266 	c1254 	2351 	 222 	 10101000 	 168 	 8049400 	 240	 201	 197	 319	 38	 363	 
2019-05-18 09:48:58	 177 	c1254 	2352 	 230 	 10111000 	 184 	 16110480 	 240	 201	 197	 319	 39	 363	 
2019-05-18 10:07:51	 149 	c1254 	2353 	 234 	 01010100 	 84 	 11686472 	 241	 201	 197	 319	 39	 363	 
2019-05-18 10:07:54	1033 	c1254 	2354 	 240 	 01110100 	 116 	 11727560 	 241	 201	 198	 319	 39	 364	 
2019-05-18 10:07:58	 134 	c1254 	2358 	 255 	 01110100 	 116 	 11762720 	 241	 201	 199	 319	 39	 364	 
2019-05-18 10:13:00	 161 	c1254 	2359 	 9 	 01110100 	 116 	 15058544 	 241	 201	 200	 319	 39	 365	 
2019-05-18 10:13:46	 472 	c1254 	2360 	 14 	 01010100 	 84 	 15563456 	 242	 201	 200	 319	 39	 365	 
2019-05-18 10:13:49	 280 	c1254 	2361 	 18 	 01010100 	 84 	 15594392 	 243	 201	 200	 319	 39	 365	 
2019-05-18 10:13:53	 937 	c1254 	2362 	 24 	 01110100 	 116 	 15644240 	 243	 201	 201	 319	 39	 366	 
2019-05-18 10:13:56	 794 	c1254 	2363 	 28 	 01010100 	 84 	 15675632 	 244	 201	 201	 319	 39	 366	 
2019-05-18 10:13:58	1024 	c1254 	2364 	 32 	 01010100 	 84 	 15699632 	 245	 201	 201	 319	 39	 366	 
2019-05-18 10:14:01	 741 	c1254 	2365 	 36 	 01010100 	 84 	 15729704 	 246	 201	 201	 319	 39	 366	 
2019-05-18 10:14:05	 389 	c1254 	2366 	 41 	 01010100 	 84 	 15770024 	 247	 201	 201	 319	 39	 366	 
2019-05-18 10:14:06	 202 	c1254 	2367 	 45 	 01010100 	 84 	 15779168 	 248	 201	 201	 319	 39	 366	 
2019-05-18 10:14:18	 797 	c1254 	2368 	 49 	 01010100 	 84 	 15915752 	 249	 201	 201	 319	 39	 366	 
2019-05-18 10:14:19	 821 	c1254 	2369 	 53 	 01010100 	 84 	 15926888 	 250	 201	 201	 319	 39	 366	 
2019-05-18 10:14:29	 143 	c1254 	2370 	 57 	 01010100 	 84 	 16029632 	 251	 201	 201	 319	 39	 366	 
2019-05-18 10:14:33	 144 	c1254 	2371 	 61 	 01010100 	 84 	 16073312 	 252	 201	 201	 319	 39	 366	 
2019-05-18 10:14:35	 971 	c1254 	2372 	 65 	 01010100 	 84 	 16102952 	 253	 201	 201	 319	 39	 366	 
2019-05-18 10:14:40	 308 	c1254 	2373 	 73 	 01110100 	 116 	 16151264 	 253	 201	 202	 319	 39	 367	 
2019-05-18 10:14:42	 828 	c1254 	2374 	 79 	 01110100 	 116 	 16178000 	 253	 201	 203	 319	 39	 367	 
2019-05-18 10:14:46	 106 	c1254 	2375 	 85 	 01110100 	 116 	 16214840 	 253	 201	 204	 319	 39	 367	 
2019-05-18 10:14:48	1027 	c1254 	2377 	 97 	 01110100 	 116 	 16245368 	 253	 201	 205	 319	 39	 367	 
2019-05-18 10:15:38	 549 	c1254 	2379 	 108 	 01111000 	 120 	 9280 	 253	 201	 205	 320	 39	 367	 
2019-05-18 10:18:58	 818 	c1254 	2380 	 114 	 01110100 	 116 	 2194816 	 253	 201	 206	 320	 39	 368	 
2019-05-18 10:18:59	 203 	c1254 	2381 	 122 	 01110100 	 116 	 2199928 	 253	 201	 207	 320	 39	 368	 
2019-05-18 10:21:08	1103 	c1254 	2382 	 131 	 01111000 	 120 	 3616480 	 253	 201	 207	 321	 39	 368	 
2019-05-18 10:21:18	 202 	c1254 	2383 	 137 	 01110100 	 116 	 3717136 	 253	 201	 208	 321	 39	 369	 
2019-05-18 10:21:20	1087 	c1254 	2385 	 145 	 01110100 	 116 	 3747328 	 253	 201	 209	 321	 39	 369	 
2019-05-18 10:21:42	 145 	c1254 	2387 	 156 	 01111000 	 120 	 3978616 	 253	 201	 209	 322	 39	 369	 
2019-05-18 10:22:09	 682 	c1254 	2388 	 162 	 01110100 	 116 	 4278376 	 253	 201	 210	 322	 39	 370	 
2019-05-18 10:22:10	1107 	c1254 	2389 	 166 	 01010100 	 84 	 4293304 	 254	 201	 210	 322	 39	 370	 
2019-05-18 10:22:12	 668 	c1254 	2390 	 174 	 01110100 	 116 	 4310992 	 254	 201	 211	 322	 39	 370	 
