Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-03-29 16:34:57	   0 	c1272 	91 	 2 	 11111100 	 252 	 4056 	 1	 0	 0	 0	 0	 0	 
2019-03-29 16:34:57	   0 	c1272 	91 	 8 	 01110100 	 116 	 35928 	 1	 0	 1	 0	 0	 1	 
2019-03-29 16:34:57	   0 	c1272 	92 	 2 	 11111100 	 252 	 4080 	 1	 0	 0	 0	 0	 0	 
2019-03-29 16:35:00	 627 	c1272 	92 	 8 	 01010100 	 84 	 102648 	 2	 0	 0	 0	 0	 0	 
2019-03-29 16:53:56	1052 	c1272 	92 	 12 	 01010100 	 84 	 11890368 	 3	 0	 0	 0	 0	 0	 
2019-03-29 16:54:33	 175 	c1272 	93 	 16 	 10101000 	 168 	 12456240 	 4	 0	 0	 0	 0	 0	 
2019-03-29 16:54:38	 613 	c1272 	94 	 20 	 10101000 	 168 	 12512568 	 5	 0	 0	 0	 0	 0	 
2019-03-29 16:54:45	 510 	c1272 	95 	 24 	 10101000 	 168 	 12584160 	 6	 0	 0	 0	 0	 0	 
2019-03-29 16:54:53	 338 	c1272 	96 	 28 	 10101000 	 168 	 12665448 	 7	 0	 0	 0	 0	 0	 
2019-03-29 16:55:07	 498 	c1272 	98 	 34 	 10101000 	 168 	 12812328 	 8	 0	 0	 0	 0	 0	 
2019-04-05 15:31:08	1013 	c1272 	99 	 38 	 10101000 	 168 	 7854496 	 9	 0	 0	 0	 0	 0	 
2019-04-05 19:41:40	 398 	c1272 	100 	 42 	 10101000 	 168 	 11030224 	 10	 0	 0	 0	 0	 0	 
2019-04-18 14:36:53	 487 	c1272 	101 	 46 	 10101000 	 168 	 5263720 	 11	 0	 0	 0	 0	 0	 
2019-04-18 14:38:11	 778 	c1272 	102 	 56 	 10111000 	 184 	 6069544 	 11	 0	 0	 0	 1	 0	 
2019-04-18 14:38:33	 174 	c1272 	103 	 60 	 10101000 	 168 	 6289888 	 12	 0	 0	 0	 1	 0	 
2019-04-18 14:38:39	 343 	c1272 	105 	 66 	 10101000 	 168 	 6353344 	 13	 0	 0	 0	 1	 0	 
2019-04-18 15:28:27	 585 	c1272 	107 	 72 	 10101000 	 168 	 3527576 	 14	 0	 0	 0	 1	 0	 
2019-04-18 15:28:30	 577 	c1272 	108 	 76 	 10101000 	 168 	 3558152 	 15	 0	 0	 0	 1	 0	 
2019-04-18 15:30:42	1020 	c1272 	110 	 82 	 10101000 	 168 	 4910840 	 16	 0	 0	 0	 1	 0	 
2019-04-18 15:31:28	 953 	c1272 	111 	 88 	 01110100 	 116 	 5379608 	 16	 0	 1	 0	 1	 1	 
2019-04-18 15:31:31	 411 	c1272 	113 	 96 	 01110100 	 116 	 5404808 	 16	 0	 2	 0	 1	 1	 
2019-04-18 15:33:24	 622 	c1272 	114 	 101 	 01010100 	 84 	 6558032 	 17	 0	 2	 0	 1	 1	 
2019-04-18 15:33:42	 564 	c1272 	115 	 106 	 11111000 	 248 	 6740528 	 18	 0	 2	 0	 1	 1	 
