Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-23 15:18:42	   0 	c1254 	2894 	 2 	 11111100 	 252 	 4056 	 1	 0	 0	 0	 0	 0	 
2020-05-13 17:57:26	 164 	c1254 	2896 	 8 	 10101000 	 168 	 1443720 	 2	 0	 0	 0	 0	 0	 
2020-05-13 17:57:28	 831 	c1254 	2897 	 12 	 10101000 	 168 	 1472328 	 3	 0	 0	 0	 0	 0	 
2020-05-13 17:57:30	 955 	c1254 	2900 	 20 	 10101000 	 168 	 1495752 	 4	 0	 0	 0	 0	 0	 
2020-05-13 17:57:31	 964 	c1254 	2902 	 26 	 10101000 	 168 	 1506960 	 5	 0	 0	 0	 0	 0	 
2020-05-13 17:57:36	 648 	c1254 	2903 	 30 	 10101000 	 168 	 1559544 	 6	 0	 0	 0	 0	 0	 
2020-05-13 17:58:05	 728 	c1254 	2904 	 34 	 10101000 	 168 	 1882776 	 7	 0	 0	 0	 0	 0	 
2020-05-13 17:58:13	 641 	c1254 	2905 	 38 	 10101000 	 168 	 1970904 	 8	 0	 0	 0	 0	 0	 
2020-05-13 17:58:32	  64 	c1254 	2906 	 42 	 10101000 	 168 	 2176656 	 9	 0	 0	 0	 0	 0	 
2020-05-14 02:05:37	  25 	c1254	966 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-14 08:22:19	 665 	c1254 	2907 	 46 	 10101000 	 168 	 5057168 	 10	 0	 0	 0	 0	 0	 
2020-05-14 08:24:47	 930 	c1254 	2909 	 52 	 10101000 	 168 	 6667352 	 11	 0	 0	 0	 0	 0	 
2020-05-14 09:03:13	1104 	c1254 	2910 	 56 	 10101000 	 168 	 14942680 	 12	 0	 0	 0	 0	 0	 
2020-05-14 09:11:28	 982 	c1254 	2911 	 60 	 10101000 	 168 	 3539040 	 13	 0	 0	 0	 0	 0	 
2020-05-14 09:11:35	 101 	c1254 	2912 	 64 	 10101000 	 168 	 3606768 	 14	 0	 0	 0	 0	 0	 
2020-05-14 09:11:52	 501 	c1254 	2914 	 72 	 01110100 	 116 	 3795096 	 14	 0	 1	 0	 0	 1	 
2020-05-14 09:19:57	 651 	c1254 	2915 	 77 	 01010100 	 84 	 9061464 	 15	 0	 1	 0	 0	 1	 
2020-05-14 09:20:17	 794 	c1254 	2916 	 81 	 01010100 	 84 	 9280008 	 16	 0	 1	 0	 0	 1	 
2020-05-14 09:20:19	 339 	c1254 	2917 	 85 	 01010100 	 84 	 9297456 	 17	 0	 1	 0	 0	 1	 
2020-05-14 09:20:32	 384 	c1254 	2918 	 91 	 01110100 	 116 	 9439056 	 17	 0	 2	 0	 0	 2	 
2020-05-14 09:20:35	 615 	c1254 	2919 	 95 	 01010100 	 84 	 9473808 	 18	 0	 2	 0	 0	 2	 
2020-05-14 09:20:36	 732 	c1254 	2920 	 99 	 01010100 	 84 	 9485760 	 19	 0	 2	 0	 0	 2	 
2020-05-14 09:31:16	 689 	c1254 	2921 	 104 	 01010100 	 84 	 16437696 	 20	 0	 2	 0	 0	 2	 
2020-05-14 09:31:40	 548 	c1254 	2922 	 108 	 01010100 	 84 	 16697208 	 21	 0	 2	 0	 0	 2	 
2020-05-14 09:31:49	 911 	c1254 	2923 	 112 	 01010100 	 84 	 21224 	 22	 0	 2	 0	 0	 2	 
2020-05-14 09:32:10	1136 	c1254 	2924 	 116 	 01010100 	 84 	 251552 	 23	 0	 2	 0	 0	 2	 
2020-05-14 09:47:36	  93 	c1254 	2925 	 120 	 01010100 	 84 	 10334408 	 24	 0	 2	 0	 0	 2	 
2020-05-14 09:47:41	 212 	c1254 	2926 	 124 	 01010100 	 84 	 10390088 	 25	 0	 2	 0	 0	 2	 
2020-05-14 09:47:43	1075 	c1254 	2927 	 128 	 01010100 	 84 	 10420064 	 26	 0	 2	 0	 0	 2	 
2020-05-14 09:47:47	 476 	c1254 	2928 	 132 	 01010100 	 84 	 10458056 	 27	 0	 2	 0	 0	 2	 
2020-05-14 09:47:49	  73 	c1254 	2929 	 136 	 01010100 	 84 	 10476080 	 28	 0	 2	 0	 0	 2	 
2020-05-14 09:48:09	 721 	c1254 	2930 	 140 	 01010100 	 84 	 10700384 	 29	 0	 2	 0	 0	 2	 
2020-05-14 09:48:10	 740 	c1254 	2931 	 144 	 01010100 	 84 	 10711472 	 30	 0	 2	 0	 0	 2	 
2020-05-14 09:48:12	 208 	c1254 	2932 	 150 	 01110100 	 116 	 10728272 	 30	 0	 3	 0	 0	 3	 
2020-05-14 09:48:14	 527 	c1254 	2933 	 156 	 01110100 	 116 	 10753112 	 30	 0	 4	 0	 0	 3	 
2020-05-14 09:48:19	 985 	c1254 	2934 	 160 	 01010100 	 84 	 10811984 	 31	 0	 4	 0	 0	 3	 
2020-05-14 09:48:21	 939 	c1254 	2935 	 164 	 01010100 	 84 	 10833368 	 32	 0	 4	 0	 0	 3	 
2020-05-14 09:48:33	 178 	c1254 	2938 	 173 	 01010100 	 84 	 10957088 	 33	 0	 4	 0	 0	 3	 
2020-05-14 09:48:43	 280 	c1254 	2939 	 177 	 01010100 	 84 	 11067152 	 34	 0	 4	 0	 0	 3	 
2020-05-14 09:48:52	 563 	c1254 	2940 	 181 	 01010100 	 84 	 11167976 	 35	 0	 4	 0	 0	 3	 
2020-05-14 09:48:54	 893 	c1254 	2942 	 187 	 01010100 	 84 	 11192912 	 36	 0	 4	 0	 0	 3	 
2020-05-14 09:48:56	 372 	c1254 	2943 	 191 	 01010100 	 84 	 11209808 	 37	 0	 4	 0	 0	 3	 
2020-05-14 09:49:02	 443 	c1254 	2944 	 195 	 01010100 	 84 	 11275928 	 38	 0	 4	 0	 0	 3	 
2020-05-14 09:49:13	 984 	c1254 	2945 	 199 	 01010100 	 84 	 11401016 	 39	 0	 4	 0	 0	 3	 
2020-05-14 09:49:16	 430 	c1254 	2946 	 203 	 01010100 	 84 	 11428520 	 40	 0	 4	 0	 0	 3	 
2020-05-14 09:49:18	 932 	c1254 	2947 	 209 	 01110100 	 116 	 11455064 	 40	 0	 5	 0	 0	 4	 
2020-05-14 09:49:19	 883 	c1254 	2948 	 213 	 01010100 	 84 	 11465504 	 41	 0	 5	 0	 0	 4	 
2020-05-14 09:49:22	 975 	c1254 	2950 	 225 	 01110100 	 116 	 11499104 	 41	 0	 6	 0	 0	 4	 
2020-05-14 09:49:26	 916 	c1254 	2951 	 229 	 01010100 	 84 	 11542184 	 42	 0	 6	 0	 0	 4	 
2020-05-14 09:49:31	  88 	c1254 	2952 	 235 	 01110100 	 116 	 11588912 	 42	 0	 7	 0	 0	 4	 
2020-05-14 09:49:32	1087 	c1254 	2953 	 239 	 01010100 	 84 	 11609240 	 43	 0	 7	 0	 0	 4	 
2020-05-14 09:49:38	 936 	c1254 	2954 	 243 	 01010100 	 84 	 11673272 	 44	 0	 7	 0	 0	 4	 
2020-05-14 09:49:43	 343 	c1254 	2955 	 250 	 01110100 	 116 	 11722232 	 44	 0	 8	 0	 0	 5	 
2020-05-14 09:49:45	 883 	c1254 	2956 	 254 	 01010100 	 84 	 11749136 	 45	 0	 8	 0	 0	 5	 
2020-05-14 09:50:04	  91 	c1254 	2958 	 7 	 01110100 	 116 	 11948912 	 45	 0	 9	 0	 0	 6	 
2020-05-14 09:50:08	 204 	c1254 	2959 	 14 	 11110100 	 244 	 11993600 	 46	 0	 9	 0	 0	 6	 
2020-05-14 09:50:14	  15 	c1254 	2960 	 22 	 01111000 	 120 	 12057248 	 46	 0	 9	 1	 0	 6	 
2020-05-14 10:02:31	 132 	c1254 	2961 	 26 	 01010100 	 84 	 3312280 	 47	 0	 9	 1	 0	 6	 
2020-05-14 10:02:33	 751 	c1254 	2962 	 30 	 01010100 	 84 	 3339880 	 48	 0	 9	 1	 0	 6	 
2020-05-14 10:02:34	 991 	c1254 	2963 	 38 	 01110100 	 116 	 3353032 	 48	 0	 10	 1	 0	 7	 
2020-05-14 10:02:36	 792 	c1254 	2964 	 44 	 01110100 	 116 	 3372952 	 48	 0	 11	 1	 0	 7	 
2020-05-14 10:02:38	1063 	c1254 	2965 	 52 	 01110100 	 116 	 3397288 	 48	 0	 12	 1	 0	 7	 
2020-05-14 10:02:41	 466 	c1254 	2967 	 60 	 01110100 	 116 	 3424336 	 48	 0	 13	 1	 0	 7	 
2020-05-14 10:02:43	 323 	c1254 	2968 	 64 	 01010100 	 84 	 3444760 	 49	 0	 13	 1	 0	 7	 
2020-05-14 10:02:44	 704 	c1254 	2969 	 68 	 01010100 	 84 	 3459232 	 50	 0	 13	 1	 0	 7	 
2020-05-14 10:02:45	 340 	c1254 	2970 	 74 	 01010100 	 84 	 3466696 	 51	 0	 13	 1	 0	 7	 
2020-05-14 10:02:49	 889 	c1254 	2971 	 82 	 01110100 	 116 	 3515416 	 51	 0	 14	 1	 0	 7	 
