Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 18:10:53	 870 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 19:01:53	 899 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 19:52:53	 896 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 20:43:53	 899 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 21:34:53	 900 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 22:25:53	 901 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 23:16:53	 896 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 00:07:53	 935 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 00:58:53	 899 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 01:49:53	 907 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 02:40:53	 873 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 03:31:53	 874 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 04:22:53	 875 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 05:13:53	 879 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 06:04:53	 915 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 06:55:53	 876 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 07:46:53	 879 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 08:37:53	 876 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 09:28:53	 879 	c1272	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 09:31:13	 249 	c1272 	3385 	 107 	 10111000 	 184 	 984368 	 121	 70	 75	 81	 26	 104	 
2020-05-16 09:32:05	 758 	c1272 	3387 	 116 	 10111000 	 184 	 1515464 	 121	 70	 75	 81	 27	 104	 
2020-05-16 09:32:06	 725 	c1272 	3389 	 124 	 01110100 	 116 	 1525304 	 121	 70	 76	 81	 27	 105	 
2020-05-16 09:32:08	 561 	c1272 	3390 	 128 	 01010100 	 84 	 1544144 	 122	 70	 76	 81	 27	 105	 
2020-05-16 09:38:30	1038 	c1272 	3391 	 135 	 01010100 	 84 	 5407784 	 123	 70	 76	 81	 27	 105	 
2020-05-16 09:38:34	 322 	c1272 	3393 	 144 	 10110100 	 180 	 5441936 	 123	 71	 76	 81	 27	 106	 
2020-05-16 09:38:46	 678 	c1272 	3394 	 156 	 10111000 	 184 	 5565920 	 123	 71	 76	 81	 28	 106	 
2020-05-16 09:41:32	 543 	c1272 	3398 	 169 	 10110100 	 180 	 7235672 	 123	 72	 76	 81	 28	 107	 
2020-05-16 09:44:02	 614 	c1272 	3399 	 175 	 01111000 	 120 	 8744000 	 123	 72	 76	 82	 28	 107	 
2020-05-16 09:47:48	 204 	c1272 	3400 	 183 	 01110100 	 116 	 11010104 	 123	 72	 77	 82	 28	 108	 
2020-05-16 09:47:51	 585 	c1272 	3402 	 191 	 10110100 	 180 	 11043488 	 123	 73	 77	 82	 28	 108	 
2020-05-16 09:48:03	1004 	c1272 	3403 	 199 	 01111000 	 120 	 11167544 	 123	 73	 77	 83	 28	 108	 
2020-05-16 09:49:29	  34 	c1272 	3404 	 209 	 10110100 	 180 	 12022184 	 123	 74	 77	 83	 28	 109	 
2020-05-16 09:49:37	 588 	c1272 	3405 	 215 	 01111000 	 120 	 12107192 	 123	 74	 77	 84	 28	 109	 
2020-05-16 09:49:50	 329 	c1272 	3406 	 221 	 01110100 	 116 	 12235400 	 123	 74	 78	 84	 28	 110	 
2020-05-16 09:49:51	 793 	c1272 	3407 	 227 	 01110100 	 116 	 12249416 	 123	 74	 79	 84	 28	 110	 
2020-05-16 09:49:55	 840 	c1272 	3408 	 231 	 01010100 	 84 	 12289952 	 124	 74	 79	 84	 28	 110	 
2020-05-16 09:49:56	 828 	c1272 	3409 	 237 	 01110100 	 116 	 12299888 	 124	 74	 80	 84	 28	 110	 
2020-05-16 09:50:02	 530 	c1272 	3410 	 243 	 01110100 	 116 	 12357536 	 124	 74	 81	 84	 28	 110	 
2020-05-16 09:50:03	 992 	c1272 	3411 	 247 	 01010100 	 84 	 12371528 	 125	 74	 81	 84	 28	 110	 
2020-05-16 09:50:04	 600 	c1272 	3412 	 251 	 01010100 	 84 	 12378200 	 126	 74	 81	 84	 28	 110	 
2020-05-16 09:50:08	 515 	c1272 	3413 	 1 	 01110100 	 116 	 12417608 	 126	 74	 82	 84	 28	 110	 
2020-05-16 09:50:17	 379 	c1272 	3414 	 5 	 01010100 	 84 	 12506768 	 127	 74	 82	 84	 28	 110	 
2020-05-16 09:50:53	1096 	c1272 	3415 	 12 	 01110100 	 116 	 12874064 	 127	 74	 83	 84	 28	 111	 
2020-05-16 09:50:57	1087 	c1272 	3416 	 17 	 11110100 	 244 	 12914120 	 128	 74	 83	 84	 28	 111	 
2020-05-16 09:51:12	   5 	c1272 	3418 	 26 	 01111000 	 120 	 13055312 	 128	 74	 83	 85	 28	 111	 
2020-05-16 09:51:17	 184 	c1272 	3422 	 42 	 10110100 	 180 	 13106984 	 128	 75	 83	 85	 28	 112	 
2020-05-16 09:52:20	 190 	c1272 	3423 	 48 	 10111000 	 184 	 13738712 	 128	 75	 83	 85	 29	 112	 
2020-05-16 09:52:21	 914 	c1272 	3425 	 60 	 01111000 	 120 	 13754936 	 128	 75	 83	 86	 29	 112	 
2020-05-16 09:52:28	 518 	c1272 	3426 	 64 	 01010100 	 84 	 13821728 	 129	 75	 83	 86	 29	 112	 
2020-05-16 09:52:31	 514 	c1272 	3427 	 70 	 01110100 	 116 	 13851776 	 129	 75	 84	 86	 29	 113	 
2020-05-16 09:52:33	  89 	c1272 	3428 	 78 	 01110100 	 116 	 13868192 	 129	 75	 85	 86	 29	 113	 
2020-05-16 09:52:35	1070 	c1272 	3429 	 84 	 10110100 	 180 	 13896656 	 129	 76	 85	 86	 29	 113	 
2020-05-16 09:52:46	 654 	c1272 	3430 	 92 	 01111000 	 120 	 14003408 	 129	 76	 85	 87	 29	 113	 
2020-05-16 09:55:59	1070 	c1272 	3431 	 100 	 10110100 	 180 	 15941936 	 129	 77	 85	 87	 29	 114	 
