Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-15 18:21:24	 794 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-15 19:12:24	 853 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-15 20:03:24	 858 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-15 20:54:24	 847 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-15 21:45:24	 847 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-15 22:36:24	 845 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-15 23:27:24	 849 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 00:18:24	 853 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 01:09:24	 841 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 02:00:24	 847 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 02:51:24	 837 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 03:42:24	 840 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 04:33:24	 841 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 05:24:24	 847 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 06:15:24	 857 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 07:06:24	 839 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 07:57:24	 847 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 08:48:24	 850 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 09:39:24	 937 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 09:44:46	1128 	c1256 	2987 	232 	 130 	107704 	 11373 	 311 	0 	1 	0300030EFF
2020-05-16 09:45:10	 185 	c1256 	2988 	241 	1186 	111104 	129079 	   1 	0 	0 	
2020-05-16 09:45:13	 478 	c1256 	2989 	247 	  28 	 14336 	    56 	   0 	0 	0 	
2020-05-16 10:04:54	1051 	c1256 	2991 	255 	  76 	103904 	  5416 	 133 	0 	1 	01103FE022
2020-05-16 10:05:08	 329 	c1256 	2995 	 16 	  76 	103640 	  5415 	 133 	0 	1 	01103FE022
2020-05-16 10:05:21	 583 	c1256 	2997 	 27 	  76 	103656 	  5416 	 134 	0 	1 	01103FE022
2020-05-16 10:05:22	 477 	c1256 	2998 	 33 	  76 	103904 	  5416 	 134 	0 	1 	01103FE022
2020-05-16 10:05:24	 638 	c1256 	2999 	 39 	  76 	103904 	  5416 	 134 	0 	1 	01103FE022
2020-05-16 10:30:25	 556 	c1256						 846 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 10:46:01	 588 	c1256 	3001 	 51 	  28 	 17344 	    72 	   1 	0 	0 	
2020-05-16 10:46:02	 355 	c1256 	3002 	 55 	 871 	110952 	 93941 	2008 	0 	1 	01103FE022
2020-05-16 10:55:14	 309 	c1256 	3003 	 61 	  91 	105520 	  7072 	 197 	0 	1 	0300030EFF
2020-05-16 11:21:25	 284 	c1256						 416 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 12:12:24	 849 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 12:17:11	 770 	c1256 	3015 	112 	  93 	105704 	  7226 	 199 	0 	1 	0300030EFF
2020-05-16 12:17:34	 316 	c1256 	3016 	120 	1256 	111280 	137079 	   1 	0 	0 	
2020-05-16 12:30:43	 583 	c1256 	3017 	124 	  76 	103904 	  5416 	 138 	0 	1 	011016E61D
2020-05-16 12:46:46	1089 	c1256 	3019 	135 	  76 	103880 	  5415 	 139 	0 	1 	011016E61D
2020-05-16 12:46:48	 774 	c1256 	3019 	187 	 335 	110136 	 34243 	 840 	0 	1 	011016E61D
2020-05-16 12:48:56	 135 	c1256 	3023 	211 	  76 	103864 	  5414 	 139 	0 	1 	011016E61D
2020-05-16 12:49:47	1124 	c1256 	3024 	218 	  76 	103816 	  5424 	 138 	0 	1 	011016E61D
2020-05-16 12:49:49	 401 	c1256 	3025 	223 	 151 	108400 	 13723 	 345 	0 	1 	011016E61D
2020-05-16 12:50:00	 150 	c1256 	3026 	229 	  76 	104000 	  5421 	 139 	0 	1 	011016E61D
2020-05-16 12:51:22	 263 	c1256 	3027 	235 	  76 	104040 	  5423 	 139 	0 	1 	011016E61D
2020-05-16 12:51:41	 546 	c1256 	3028 	244 	  76 	103944 	  5418 	 139 	0 	1 	011016E61D
2020-05-16 12:51:41	1083 	c1256 	3028 	252 	  26 	     0 	     0 	   1 	0 	0 	
2020-05-16 12:52:11	 633 	c1256 	3029 	  0 	  76 	103880 	  5415 	 130 	0 	1 	011016E055
2020-05-16 12:52:48	 105 	c1256 	3034 	 21 	  76 	104072 	  5412 	 129 	0 	1 	011016E055
2020-05-16 12:52:52	 278 	c1256 	3035 	 33 	  76 	103944 	  5418 	 139 	0 	1 	011016E61D
2020-05-16 12:53:04	 445 	c1256 	3036 	 39 	  76 	104248 	  5396 	 129 	0 	1 	011016E055
2020-05-16 12:53:14	  85 	c1256 	3037 	 45 	  76 	103944 	  5418 	 139 	0 	1 	011016E61D
2020-05-16 12:56:22	 568 	c1256 	3039 	 55 	  76 	104048 	  5411 	 131 	0 	1 	011016E055
2020-05-16 12:56:33	 743 	c1256 	3040 	 61 	  76 	104032 	  5410 	 129 	0 	1 	011016E055
2020-05-16 12:59:15	 508 	c1256 	3041 	 67 	  76 	104088 	  5413 	 129 	0 	1 	011016E055
2020-05-16 12:59:24	  63 	c1256 	3042 	 77 	  76 	104008 	  5409 	 129 	0 	1 	011016E055
2020-05-16 13:02:26	 745 	c1256 	3043 	 83 	  76 	103880 	  5415 	 131 	0 	1 	011016E055
2020-05-16 13:02:34	 554 	c1256 	3044 	 89 	  76 	104088 	  5413 	 129 	0 	1 	011016E055
2020-05-16 13:03:27	 262 	c1256						 2166 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-16 13:05:25	 618 	c1256 	3045 	 95 	  76 	104312 	  5412 	 130 	0 	1 	011016E055
2020-05-16 13:05:33	  77 	c1256 	3046 	101 	  76 	104072 	  5412 	 129 	0 	1 	011016E055
