Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-15 17:34:48	1136 	c1254 	3582 	 225 	 10101000 	 168 	 15370592 	 203	 71	 165	 121	 14	 158	 
2020-05-16 01:56:08	 811 	c1254	263 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 09:47:51	 745 	c1254 	3583 	 229 	 10101000 	 168 	 8824328 	 204	 71	 165	 121	 14	 158	 
2020-05-16 09:49:00	 968 	c1254 	3588 	 251 	 10111000 	 184 	 9586448 	 204	 71	 165	 121	 15	 158	 
2020-05-16 09:49:20	  41 	c1254 	3589 	 255 	 10101000 	 168 	 9797912 	 205	 71	 165	 121	 15	 158	 
2020-05-16 09:59:50	1102 	c1254 	3590 	 3 	 01010100 	 84 	 16741976 	 206	 71	 165	 121	 15	 158	 
2020-05-16 09:59:52	 184 	c1254 	3591 	 7 	 01010100 	 84 	 16755272 	 207	 71	 165	 121	 15	 158	 
2020-05-16 09:59:57	 494 	c1254 	3592 	 13 	 01110100 	 116 	 36040 	 207	 71	 166	 121	 15	 159	 
2020-05-16 10:00:00	 196 	c1254 	3593 	 21 	 01110100 	 116 	 66232 	 207	 71	 167	 121	 15	 159	 
2020-05-16 10:00:05	1019 	c1254 	3595 	 27 	 01010100 	 84 	 129088 	 208	 71	 167	 121	 15	 159	 
2020-05-16 10:00:17	 210 	c1254 	3596 	 34 	 01110100 	 116 	 253480 	 208	 71	 168	 121	 15	 160	 
2020-05-16 10:00:21	 349 	c1254 	3597 	 42 	 01110100 	 116 	 298816 	 208	 71	 169	 121	 15	 160	 
2020-05-16 10:00:22	 493 	c1254 	3598 	 48 	 01110100 	 116 	 311200 	 208	 71	 170	 121	 15	 160	 
2020-05-16 10:00:25	1156 	c1254 	3599 	 55 	 11110100 	 244 	 350536 	 209	 71	 170	 121	 15	 160	 
2020-05-16 10:00:54	 183 	c1254 	3600 	 65 	 11111000 	 248 	 660472 	 210	 71	 170	 121	 15	 160	 
2020-05-16 10:06:03	 663 	c1254 	3602 	 71 	 01010100 	 84 	 4066768 	 211	 71	 170	 121	 15	 160	 
2020-05-16 10:06:07	1021 	c1254 	3604 	 79 	 10110100 	 180 	 4114216 	 211	 72	 170	 121	 15	 161	 
2020-05-16 10:10:30	1082 	c1254 	3605 	 85 	 10111000 	 184 	 7010248 	 211	 72	 170	 121	 16	 161	 
2020-05-16 10:10:43	 116 	c1254 	3606 	 91 	 01110100 	 116 	 7144216 	 211	 72	 171	 121	 16	 162	 
2020-05-16 10:10:46	 765 	c1254 	3608 	 101 	 01110100 	 116 	 7183432 	 211	 72	 172	 121	 16	 162	 
2020-05-16 10:11:07	   0 	c1254 	3609 	 110 	 11111000 	 248 	 7407424 	 212	 72	 172	 121	 16	 162	 
2020-05-16 10:25:41	 876 	c1254 	3610 	 118 	 10110100 	 180 	 266400 	 212	 73	 172	 121	 16	 163	 
2020-05-16 10:26:01	1101 	c1254 	3611 	 126 	 11111000 	 248 	 488952 	 213	 73	 172	 121	 16	 163	 
2020-05-16 10:26:10	  70 	c1254	2252 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 10:33:38	 957 	c1254 	3612 	 140 	 01110100 	 116 	 5526336 	 213	 73	 173	 121	 16	 164	 
2020-05-16 10:34:52	 987 	c1254 	3613 	 147 	 10110100 	 180 	 6342792 	 213	 74	 173	 121	 16	 165	 
2020-05-16 10:34:58	 634 	c1254 	3614 	 158 	 01111000 	 120 	 6405624 	 213	 74	 173	 122	 16	 165	 
2020-05-16 10:37:12	 271 	c1254 	3615 	 164 	 10111000 	 184 	 7880640 	 213	 74	 173	 122	 17	 165	 
2020-05-16 10:37:15	 500 	c1254 	3616 	 172 	 01111000 	 120 	 7915920 	 213	 74	 173	 123	 17	 165	 
2020-05-16 10:39:44	  45 	c1254 	3617 	 182 	 10110100 	 180 	 9555936 	 213	 75	 173	 123	 17	 166	 
2020-05-16 10:40:37	 677 	c1254 	3618 	 188 	 10111000 	 184 	 10146864 	 213	 75	 173	 123	 18	 166	 
2020-05-16 10:40:49	 153 	c1254 	3619 	 202 	 10111000 	 184 	 10274352 	 213	 75	 173	 123	 19	 166	 
2020-05-16 10:40:52	 136 	c1254 	3620 	 210 	 01111000 	 120 	 10307328 	 213	 75	 173	 124	 19	 166	 
2020-05-16 10:40:53	 174 	c1254 	3621 	 218 	 10110100 	 180 	 10318728 	 213	 76	 173	 124	 19	 167	 
2020-05-16 10:40:54	1086 	c1254 	3622 	 222 	 10101000 	 168 	 10338456 	 214	 76	 173	 124	 19	 167	 
2020-05-16 10:41:01	1063 	c1254 	3623 	 228 	 01111000 	 120 	 10415496 	 214	 76	 173	 125	 19	 167	 
2020-05-16 10:44:25	 537 	c1254 	3624 	 234 	 01110100 	 116 	 12662304 	 214	 76	 174	 125	 19	 168	 
2020-05-16 10:44:27	 100 	c1254 	3625 	 240 	 10110100 	 180 	 12680232 	 214	 77	 174	 125	 19	 168	 
2020-05-16 10:44:34	 461 	c1254 	3626 	 249 	 11111000 	 248 	 12760944 	 215	 77	 174	 125	 19	 168	 
2020-05-16 10:46:55	 865 	c1254 	3627 	 255 	 10110100 	 180 	 14320968 	 215	 78	 174	 125	 19	 169	 
2020-05-16 10:47:12	 110 	c1254 	3628 	 11 	 10111000 	 184 	 14501448 	 215	 78	 174	 125	 20	 169	 
2020-05-16 10:50:13	 725 	c1254 	3630 	 20 	 01111000 	 120 	 16504944 	 215	 78	 174	 126	 20	 169	 
2020-05-16 10:50:48	 670 	c1254 	3631 	 24 	 10101000 	 168 	 113456 	 216	 78	 174	 126	 20	 169	 
2020-05-16 10:51:18	 764 	c1254 	3632 	 28 	 10101000 	 168 	 445376 	 217	 78	 174	 126	 20	 169	 
2020-05-16 10:56:27	1027 	c1254 	3634 	 56 	 10111000 	 184 	 3853784 	 217	 78	 174	 126	 21	 169	 
2020-05-16 10:56:37	  48 	c1254 	3636 	 62 	 10101000 	 168 	 3954584 	 218	 78	 174	 126	 21	 169	 
2020-05-16 12:15:24	 807 	c1254 	3638 	 68 	 10101000 	 168 	 5621984 	 219	 78	 174	 126	 21	 169	 
2020-05-16 12:53:31	 483 	c1254 	3639 	 72 	 10101000 	 168 	 13984696 	 220	 78	 174	 126	 21	 169	 
2020-05-16 12:57:41	 246 	c1254 	3640 	 76 	 10101000 	 168 	 16726816 	 221	 78	 174	 126	 21	 169	 
2020-05-16 13:22:54	 795 	c1254 	3641 	 80 	 10101000 	 168 	 16551288 	 222	 78	 174	 126	 21	 169	 
2020-05-16 13:37:50	 441 	c1254 	3642 	 84 	 10101000 	 168 	 9603920 	 223	 78	 174	 126	 21	 169	 
2020-05-16 13:37:52	 505 	c1254 	3643 	 88 	 10101000 	 168 	 9626480 	 224	 78	 174	 126	 21	 169	 
2020-05-16 13:40:25	1047 	c1254 	3646 	 96 	 10101000 	 168 	 11311328 	 225	 78	 174	 126	 21	 169	 
2020-05-16 13:40:26	1135 	c1254 	3647 	 100 	 10101000 	 168 	 11323136 	 226	 78	 174	 126	 21	 169	 
2020-05-16 13:40:45	 776 	c1254 	3648 	 106 	 10111000 	 184 	 11528288 	 226	 78	 174	 126	 22	 169	 
2020-05-16 13:41:09	 927 	c1254 	3649 	 110 	 10101000 	 168 	 11793200 	 227	 78	 174	 126	 22	 169	 
2020-05-16 13:41:17	 237 	c1254 	3650 	 116 	 01110100 	 116 	 11874512 	 227	 78	 175	 126	 22	 170	 
2020-05-16 13:48:27	 231 	c1254 	3652 	 123 	 01010100 	 84 	 16595096 	 228	 78	 175	 126	 22	 170	 
2020-05-16 13:49:44	 490 	c1254 	3653 	 127 	 01010100 	 84 	 665560 	 229	 78	 175	 126	 22	 170	 
2020-05-16 13:51:46	 415 	c1254 	3654 	 131 	 01010100 	 84 	 2003920 	 230	 78	 175	 126	 22	 170	 
2020-05-16 13:51:58	 697 	c1254 	3655 	 135 	 01010100 	 84 	 2138272 	 231	 78	 175	 126	 22	 170	 
2020-05-16 13:52:03	  51 	c1254 	3656 	 139 	 01010100 	 84 	 2187016 	 232	 78	 175	 126	 22	 170	 
2020-05-16 13:53:34	 323 	c1254 	3657 	 143 	 01010100 	 84 	 3187984 	 233	 78	 175	 126	 22	 170	 
2020-05-16 13:53:36	1048 	c1254 	3658 	 147 	 01010100 	 84 	 3216808 	 234	 78	 175	 126	 22	 170	 
2020-05-16 13:53:39	 761 	c1254 	3660 	 153 	 01010100 	 84 	 3247000 	 235	 78	 175	 126	 22	 170	 
2020-05-16 13:53:42	 362 	c1254 	3661 	 159 	 10110100 	 180 	 3276136 	 235	 79	 175	 126	 22	 171	 
2020-05-16 13:59:18	 576 	c1254 	3662 	 163 	 01010100 	 84 	 6963160 	 236	 79	 175	 126	 22	 171	 
2020-05-16 13:59:22	 734 	c1254 	3663 	 167 	 01010100 	 84 	 7008520 	 237	 79	 175	 126	 22	 171	 
2020-05-16 14:02:12	 674 	c1254 	3664 	 171 	 01010100 	 84 	 8872024 	 238	 79	 175	 126	 22	 171	 
2020-05-16 14:02:15	 665 	c1254 	3666 	 181 	 01110100 	 116 	 8904832 	 238	 79	 176	 126	 22	 172	 
2020-05-16 14:02:21	 729 	c1254 	3667 	 189 	 01110100 	 116 	 8971240 	 238	 79	 177	 126	 22	 172	 
2020-05-16 14:17:28	 515 	c1254 	3668 	 196 	 01111000 	 120 	 2135592 	 238	 79	 177	 127	 22	 172	 
2020-05-16 14:17:35	 221 	c1254 	3669 	 200 	 01010100 	 84 	 2209560 	 239	 79	 177	 127	 22	 172	 
2020-05-16 14:17:45	 115 	c1254 	3670 	 204 	 01010100 	 84 	 2318184 	 240	 79	 177	 127	 22	 172	 
2020-05-16 14:21:18	1069 	c1254 	3672 	 211 	 11110100 	 244 	 4662336 	 241	 79	 177	 127	 22	 172	 
2020-05-16 14:24:43	  16 	c1254 	3673 	 217 	 01111000 	 120 	 6900912 	 241	 79	 177	 128	 22	 172	 
2020-05-16 14:26:07	 447 	c1254 	3674 	 223 	 01110100 	 116 	 7826712 	 241	 79	 178	 128	 22	 173	 
