Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2020-05-15 17:34:48	 391 	c1254 	3581 	 223 	 10101010 	 170 	 15363464 
2020-05-15 17:34:48	 717 	c1254 	3582 	 224 	 10101000 	 168 	 15366584 
2020-05-15 17:34:48	1139 	c1254 	3582 	 226 	 00000000 	 0 	 15370592 
2020-05-16 01:56:08	749 	 c1254 	 228 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2020-05-16 09:47:50	 475 	c1254 	3582 	 227 	 10101010 	 170 	 8810744 
2020-05-16 09:47:51	 324 	c1254 	3583 	 228 	 10101000 	 168 	 8820320 
2020-05-16 09:47:51	 748 	c1254 	3583 	 230 	 00000000 	 0 	 8824328 
2020-05-16 09:48:59	 890 	c1254 	3583 	 231 	 10101010 	 170 	 9574688 
2020-05-16 09:48:59	 897 	c1254 	3584 	 232 	 10101000 	 168 	 9574760 
2020-05-16 09:48:59	 907 	c1254 	3584 	 233 	 01111001 	 121 	 9574856 
2020-05-16 09:48:59	 923 	c1254 	3585 	 234 	 01111000 	 120 	 9575000 
2020-05-16 09:48:59	 955 	c1254 	3585 	 235 	 10111010 	 186 	 9575312 
2020-05-16 09:48:59	 971 	c1254 	3586 	 236 	 11111011 	 251 	 9575456 
2020-05-16 09:48:59	 973 	c1254 	3586 	 237 	 01111001 	 121 	 9575480 
2020-05-16 09:48:59	1003 	c1254 	3586 	 238 	 01111000 	 120 	 9575768 
2020-05-16 09:48:59	1099 	c1254 	3586 	 239 	 10111010 	 186 	 9576680 
2020-05-16 09:48:59	1137 	c1254 	3587 	 240 	 11111011 	 251 	 9577040 
2020-05-16 09:49:00	 420 	c1254 	3587 	 241 	 10111010 	 186 	 9581240 
2020-05-16 09:49:00	 430 	c1254 	3587 	 242 	 10111000 	 184 	 9581336 
2020-05-16 09:49:00	 468 	c1254 	3587 	 243 	 01111001 	 121 	 9581696 
2020-05-16 09:49:00	 491 	c1254 	3588 	 244 	 11111011 	 251 	 9581912 
2020-05-16 09:49:00	 496 	c1254 	3588 	 245 	 10111010 	 186 	 9581960 
2020-05-16 09:49:00	 509 	c1254 	3588 	 246 	 10111000 	 184 	 9582080 
2020-05-16 09:49:00	 531 	c1254 	3588 	 247 	 01111001 	 121 	 9582296 
2020-05-16 09:49:00	 536 	c1254 	3588 	 248 	 01111000 	 120 	 9582344 
2020-05-16 09:49:00	 542 	c1254 	3588 	 249 	 10111010 	 186 	 9582392 
2020-05-16 09:49:00	 547 	c1254 	3588 	 250 	 10111000 	 184 	 9582440 
2020-05-16 09:49:00	 971 	c1254 	3588 	 252 	 00000000 	 0 	 9586448 
2020-05-16 09:49:19	 450 	c1254 	3588 	 253 	 10101010 	 170 	 9790784 
2020-05-16 09:49:19	 778 	c1254 	3589 	 254 	 10101000 	 168 	 9793904 
2020-05-16 09:49:20	  44 	c1254 	3589 	 0 	 00000000 	 0 	 9797912 
2020-05-16 09:59:49	 879 	c1254 	3589 	 1 	 01010101 	 85 	 16728848 
2020-05-16 09:59:50	 680 	c1254 	3590 	 2 	 01010100 	 84 	 16737968 
2020-05-16 09:59:50	1105 	c1254 	3590 	 4 	 00000000 	 0 	 16741976 
2020-05-16 09:59:51	 744 	c1254 	3590 	 5 	 01010101 	 85 	 16749584 
2020-05-16 09:59:51	 921 	c1254 	3591 	 6 	 01010100 	 84 	 16751264 
2020-05-16 09:59:52	 187 	c1254 	3591 	 8 	 00000000 	 0 	 16755272 
2020-05-16 09:59:55	 233 	c1254 	3591 	 9 	 01010101 	 85 	 11536 
2020-05-16 09:59:55	 713 	c1254 	3592 	 10 	 11110111 	 247 	 16096 
2020-05-16 09:59:57	  36 	c1254 	3592 	 11 	 01110101 	 117 	 31696 
2020-05-16 09:59:57	  72 	c1254 	3592 	 12 	 01110100 	 116 	 32032 
2020-05-16 09:59:57	 496 	c1254 	3592 	 14 	 00000000 	 0 	 36040 
2020-05-16 09:59:58	1084 	c1254 	3592 	 15 	 01010101 	 85 	 52648 
2020-05-16 09:59:59	 284 	c1254 	3593 	 16 	 11110111 	 247 	 56056 
2020-05-16 09:59:59	 354 	c1254 	3593 	 17 	 01110101 	 117 	 56728 
2020-05-16 09:59:59	 688 	c1254 	3593 	 18 	 11110111 	 247 	 59896 
2020-05-16 09:59:59	 900 	c1254 	3593 	 19 	 01110101 	 117 	 61912 
2020-05-16 09:59:59	 932 	c1254 	3593 	 20 	 01110100 	 116 	 62224 
2020-05-16 10:00:00	 198 	c1254 	3593 	 22 	 00000000 	 0 	 66232 
2020-05-16 10:00:02	 643 	c1254 	3593 	 23 	 01010101 	 85 	 92488 
2020-05-16 10:00:03	 312 	c1254 	3594 	 24 	 01010100 	 84 	 100360 
2020-05-16 10:00:03	 381 	c1254 	3594 	 25 	 01010101 	 85 	 101008 
2020-05-16 10:00:05	 597 	c1254 	3595 	 26 	 01010100 	 84 	 125080 
2020-05-16 10:00:05	1021 	c1254 	3595 	 28 	 00000000 	 0 	 129088 
2020-05-16 10:00:11	  81 	c1254 	3595 	 29 	 00000000 	 0 	 186208 
2020-05-16 10:00:16	 763 	c1254 	3595 	 30 	 01010101 	 85 	 247720 
2020-05-16 10:00:16	 801 	c1254 	3596 	 31 	 11110111 	 247 	 248080 
2020-05-16 10:00:16	 917 	c1254 	3596 	 32 	 01110101 	 117 	 249184 
2020-05-16 10:00:16	 948 	c1254 	3596 	 33 	 01110100 	 116 	 249472 
2020-05-16 10:00:17	 213 	c1254 	3596 	 35 	 00000000 	 0 	 253480 
