Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 17:08:34	 979 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 17:59:34	 827 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 18:50:34	 820 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 19:41:34	 824 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 20:32:34	 826 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 21:23:34	 810 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 22:14:34	 813 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 23:05:34	 831 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-16 23:56:34	 825 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 00:47:34	 809 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 01:38:34	 811 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 02:29:34	 816 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 03:20:34	 814 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 04:11:34	 810 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 05:02:34	 826 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 05:53:34	 819 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 06:44:34	 813 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 07:35:34	 815 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 08:26:34	 821 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 09:17:34	 921 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 09:20:43	1021 	c1256 	3223 	 95 	 10111000 	 184 	 6856952 	 210	 115	 114	 158	 38	 208	 
2020-05-17 09:22:12	 875 	c1256 	3224 	 101 	 01110100 	 116 	 7867064 	 210	 115	 115	 158	 38	 209	 
2020-05-17 09:33:37	1066 	c1256 	3225 	 106 	 01010100 	 84 	 15648632 	 211	 115	 115	 158	 38	 209	 
2020-05-17 09:33:39	 732 	c1256 	3227 	 114 	 01110100 	 116 	 15668072 	 211	 115	 116	 158	 38	 210	 
2020-05-17 09:33:43	 546 	c1256 	3228 	 124 	 01110100 	 116 	 15711656 	 211	 115	 117	 158	 38	 210	 
2020-05-17 09:33:47	 730 	c1256 	3229 	 136 	 10110100 	 180 	 15758864 	 211	 116	 117	 158	 38	 210	 
2020-05-17 09:33:59	 824 	c1256 	3230 	 144 	 10111000 	 184 	 15895976 	 211	 116	 117	 158	 39	 210	 
2020-05-17 09:34:01	 878 	c1256 	3232 	 153 	 01111000 	 120 	 15919208 	 211	 116	 117	 159	 39	 210	 
2020-05-17 09:51:47	 716 	c1256 	3233 	 157 	 01010100 	 84 	 11225824 	 212	 116	 117	 159	 39	 210	 
2020-05-17 09:51:49	 383 	c1256 	3234 	 163 	 01110100 	 116 	 11245240 	 212	 116	 118	 159	 39	 211	 
2020-05-17 09:51:52	 721 	c1256 	3236 	 173 	 10110100 	 180 	 11282536 	 212	 117	 118	 159	 39	 211	 
2020-05-17 09:52:04	 290 	c1256 	3237 	 181 	 01111000 	 120 	 11414344 	 212	 117	 118	 160	 39	 211	 
2020-05-17 09:56:41	 252 	c1256 	3238 	 187 	 10110100 	 180 	 14553208 	 212	 118	 118	 160	 39	 212	 
2020-05-17 09:56:46	 161 	c1256 	3239 	 193 	 10111000 	 184 	 14608984 	 212	 118	 118	 160	 40	 212	 
2020-05-17 09:56:47	 916 	c1256 	3240 	 197 	 10101000 	 168 	 14627704 	 213	 118	 118	 160	 40	 212	 
2020-05-17 09:56:49	  72 	c1256 	3241 	 205 	 01111000 	 120 	 14642128 	 213	 118	 118	 161	 40	 212	 
2020-05-17 09:57:26	 255 	c1256 	3243 	 215 	 10110100 	 180 	 15063376 	 213	 119	 118	 161	 40	 213	 
2020-05-17 09:57:34	 814 	c1256 	3249 	 236 	 11111000 	 248 	 15159544 	 214	 119	 118	 161	 40	 213	 
2020-05-17 10:08:36	  29 	c1256	2010 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 10:18:42	 990 	c1256 	3252 	 252 	 10110100 	 180 	 12776712 	 214	 120	 118	 161	 40	 214	 
2020-05-17 10:18:54	 776 	c1256 	3254 	 8 	 01111000 	 120 	 12910944 	 214	 120	 118	 162	 40	 214	 
2020-05-17 10:20:33	 270 	c1256 	3255 	 16 	 10110100 	 180 	 14030976 	 214	 121	 118	 162	 40	 215	 
2020-05-17 10:20:39	 889 	c1256 	3256 	 23 	 11111000 	 248 	 14105232 	 215	 121	 118	 162	 40	 215	 
2020-05-17 10:23:14	1048 	c1256 	3257 	 29 	 01110100 	 116 	 15868536 	 215	 121	 119	 162	 40	 216	 
2020-05-17 10:36:36	 502 	c1256 	3258 	 34 	 01010100 	 84 	 8198720 	 216	 121	 119	 162	 40	 216	 
2020-05-17 10:36:40	  25 	c1256 	3259 	 42 	 10110100 	 180 	 8239520 	 216	 122	 119	 162	 40	 217	 
2020-05-17 10:37:00	 400 	c1256 	3260 	 48 	 01111000 	 120 	 8470448 	 216	 122	 119	 163	 40	 217	 
2020-05-17 10:37:37	 330 	c1256 	3261 	 52 	 01010100 	 84 	 8890184 	 217	 122	 119	 163	 40	 217	 
2020-05-17 10:37:40	 222 	c1256 	3262 	 56 	 01010100 	 84 	 8923208 	 218	 122	 119	 163	 40	 217	 
2020-05-17 10:37:47	 165 	c1256 	3263 	 64 	 01110100 	 116 	 9002192 	 218	 122	 120	 163	 40	 218	 
2020-05-17 10:37:51	  28 	c1256 	3264 	 68 	 01010100 	 84 	 9046304 	 219	 122	 120	 163	 40	 218	 
2020-05-17 10:37:55	 341 	c1256 	3265 	 77 	 01110100 	 116 	 9094832 	 219	 122	 121	 163	 40	 218	 
2020-05-17 10:42:38	 852 	c1256 	3266 	 90 	 01111000 	 120 	 12316496 	 219	 122	 121	 164	 40	 218	 
2020-05-17 10:47:54	 899 	c1256 	3267 	 94 	 01010100 	 84 	 15911048 	 220	 122	 121	 164	 40	 218	 
2020-05-17 10:47:57	 369 	c1256 	3269 	 100 	 01010100 	 84 	 15939968 	 221	 122	 121	 164	 40	 218	 
2020-05-17 10:48:05	 643 	c1256 	3271 	 108 	 10110100 	 180 	 16033640 	 221	 123	 121	 164	 40	 219	 
2020-05-17 10:48:16	 769 	c1256 	3273 	 116 	 01111000 	 120 	 16159976 	 221	 123	 121	 165	 40	 219	 
2020-05-17 10:51:37	 872 	c1256 	3275 	 126 	 10110100 	 180 	 1670296 	 221	 124	 121	 165	 40	 220	 
2020-05-17 10:55:39	1106 	c1256 	3276 	 132 	 01111000 	 120 	 4424776 	 221	 124	 121	 166	 40	 220	 
2020-05-17 10:57:38	   8 	c1256 	3281 	 148 	 01110100 	 116 	 5767408 	 221	 124	 122	 166	 40	 221	 
2020-05-17 10:57:43	 231 	c1256 	3282 	 154 	 01111000 	 120 	 5826472 	 221	 124	 122	 167	 40	 221	 
2020-05-17 10:59:37	 346 	c1256	2394 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-17 11:01:33	 229 	c1256 	3283 	 158 	 01010100 	 84 	 8443024 	 222	 124	 122	 167	 40	 221	 
2020-05-17 11:01:36	1124 	c1256 	3284 	 164 	 01110100 	 116 	 8485936 	 222	 124	 123	 167	 40	 222	 
2020-05-17 11:01:41	 168 	c1256 	3285 	 168 	 01010100 	 84 	 8533456 	 223	 124	 123	 167	 40	 222	 
2020-05-17 11:01:43	 418 	c1256 	3286 	 172 	 01010100 	 84 	 8558656 	 224	 124	 123	 167	 40	 222	 
2020-05-17 11:01:48	 988 	c1256 	3287 	 183 	 01110100 	 116 	 8621128 	 224	 124	 124	 167	 40	 223	 
2020-05-17 11:01:59	 109 	c1256 	3288 	 189 	 01111000 	 120 	 8737672 	 224	 124	 124	 168	 40	 223	 
2020-05-17 11:05:59	  71 	c1256 	3289 	 199 	 01110100 	 116 	 11468056 	 224	 124	 125	 168	 40	 224	 
2020-05-17 11:06:06	  39 	c1256 	3290 	 207 	 10111000 	 184 	 11547424 	 224	 124	 125	 168	 41	 224	 
2020-05-17 11:10:18	  44 	c1256 	3291 	 217 	 10110100 	 180 	 14415448 	 224	 125	 125	 168	 41	 225	 
2020-05-17 11:10:28	 857 	c1256 	3292 	 225 	 01111000 	 120 	 14537272 	 224	 125	 125	 169	 41	 225	 
2020-05-17 11:13:36	 981 	c1256 	3295 	 237 	 10110100 	 180 	 16679320 	 224	 126	 125	 169	 41	 226	 
2020-05-17 11:13:43	 184 	c1256 	3296 	 243 	 01111000 	 120 	 16751200 	 224	 126	 125	 170	 41	 226	 
2020-05-17 11:14:04	  99 	c1256 	3297 	 247 	 01010100 	 84 	 212256 	 225	 126	 125	 170	 41	 226	 
2020-05-17 11:14:06	 722 	c1256 	3298 	 251 	 01010100 	 84 	 241128 	 226	 126	 125	 170	 41	 226	 
2020-05-17 11:14:08	1050 	c1256 	3299 	 255 	 01010100 	 84 	 267120 	 227	 126	 125	 170	 41	 226	 
2020-05-17 11:14:12	 439 	c1256 	3300 	 5 	 01110100 	 116 	 306696 	 227	 126	 126	 170	 41	 227	 
2020-05-17 11:14:15	1069 	c1256 	3301 	 13 	 10110100 	 180 	 347040 	 227	 127	 126	 170	 41	 227	 
2020-05-17 11:14:26	1140 	c1256 	3302 	 19 	 01111000 	 120 	 472992 	 227	 127	 126	 171	 41	 227	 
2020-05-17 11:17:08	 856 	c1256 	3303 	 25 	 10110100 	 180 	 2315088 	 227	 128	 126	 171	 41	 228	 
2020-05-17 11:17:18	 496 	c1256 	3305 	 35 	 01111000 	 120 	 2425464 	 227	 128	 126	 172	 41	 228	 
