Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-17 15:05:44	 872 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-17 15:56:44	 852 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-17 16:47:44	 853 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-17 17:38:44	 855 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-17 18:29:44	 849 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-17 19:20:44	 850 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-17 20:11:44	 853 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-17 21:02:44	 872 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-17 21:53:44	 848 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-17 22:44:44	 849 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-17 23:35:44	 852 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 00:26:44	 851 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 01:17:44	 839 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 02:08:44	 845 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 02:59:44	 861 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 03:50:44	 841 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 04:41:44	 842 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 05:32:44	 844 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 06:23:44	 852 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 07:14:44	 845 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 08:05:44	 846 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 08:56:44	 851 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 09:47:44	 868 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 10:38:44	 852 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 11:29:44	 852 	c1256						 162 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 12:03:50	 958 	c1256 	3475 	198 	  93 	105472 	  7223 	 199 	0 	1 	0300030EFF
2020-05-18 12:10:42	 576 	c1256 	3476 	204 	  77 	103496 	  5420 	 139 	0 	1 	01103F5E08
2020-05-18 12:10:48	 468 	c1256 	3477 	210 	  76 	103736 	  5420 	 139 	0 	1 	01103F5E08
2020-05-18 12:12:07	 285 	c1256 	3483 	235 	  76 	103720 	  5419 	 139 	0 	1 	01103F5E08
2020-05-18 12:12:35	 240 	c1256 	3484 	241 	  76 	103672 	  5404 	 139 	0 	1 	01103F5E08
2020-05-18 12:12:41	 754 	c1256 	3492 	  7 	  76 	103864 	  5414 	 139 	0 	1 	01103F5E08
2020-05-18 12:16:01	 995 	c1256 	3493 	 13 	  76 	103560 	  5411 	 139 	0 	1 	01103F5E08
2020-05-18 12:16:06	 687 	c1256 	3494 	 19 	  76 	103880 	  5415 	 139 	0 	1 	01103F5E08
2020-05-18 12:16:24	1001 	c1256 	3496 	 70 	 412 	110272 	 42753 	 805 	0 	1 	01103F5E08
2020-05-18 12:20:46	 185 	c1256						 954 bytes to file.
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Dur[ms] 	Freq[Hz] 	RFCycles 	RFID_Edges 	RFID_Tag_Reads 	TagType 	TagID_1 	TagID_2[hex] 
2020-05-18 12:28:02	 628 	c1256 	3497 	 78 	  76 	103712 	  5406 	 139 	0 	1 	01103F5E08
2020-05-18 12:28:07	  35 	c1256 	3498 	 84 	  76 	103624 	  5414 	 139 	0 	1 	01103F5E08
2020-05-18 12:28:08	 309 	c1256 	3499 	 90 	  76 	103584 	  5412 	 139 	0 	1 	01103F5E08
2020-05-18 12:28:24	 206 	c1256 	3500 	 99 	  40 	 86104 	  1356 	   1 	0 	0 	
2020-05-18 12:28:27	 536 	c1256 	3502 	105 	  84 	104720 	  6277 	 154 	0 	1 	01103F5E08
2020-05-18 12:28:28	 368 	c1256 	3503 	110 	   7 	     0 	     0 	   1 	0 	0 	
2020-05-18 12:30:04	 185 	c1256 	3504 	114 	  76 	103904 	  5416 	 138 	0 	1 	01103F5E08
2020-05-18 12:30:05	 331 	c1256 	3505 	120 	  76 	103696 	  5418 	 139 	0 	1 	01103F5E08
2020-05-18 12:30:06	 164 	c1256 	3505 	126 	  21 	     0 	     0 	   1 	0 	0 	
2020-05-18 12:31:18	 201 	c1256 	3507 	135 	  76 	103736 	  5420 	 138 	0 	1 	01103F5E08
2020-05-18 12:32:27	 781 	c1256 	3508 	141 	  76 	103712 	  5406 	 139 	0 	1 	01103F5E08
2020-05-18 12:32:32	1071 	c1256 	3510 	151 	  76 	103904 	  5416 	 139 	0 	1 	01103F5E08
2020-05-18 12:32:55	 525 	c1256 	3511 	159 	  77 	103456 	  5418 	 139 	0 	1 	01103F5E08
2020-05-18 12:34:04	 612 	c1256 	3513 	174 	 113 	107064 	  9554 	 227 	0 	1 	01103F5952
2020-05-18 12:34:05	 223 	c1256 	3514 	177 	  76 	103728 	  5407 	 127 	0 	1 	01103F5952
2020-05-18 12:36:43	 418 	c1256 	3515 	183 	 113 	107056 	  9553 	 226 	0 	1 	01103F5952
2020-05-18 12:36:44	 344 	c1256 	3515 	192 	   4 	     0 	     0 	   1 	0 	0 	
2020-05-18 12:36:45	1053 	c1256 	3516 	196 	  76 	103624 	  5414 	 138 	0 	1 	01103F5E08
2020-05-18 12:36:56	 587 	c1256 	3517 	203 	  76 	103696 	  5418 	 139 	0 	1 	01103F5E08
2020-05-18 12:41:50	 485 	c1256 	3518 	211 	  76 	103752 	  5408 	 127 	0 	1 	01103F5952
2020-05-18 12:41:52	 652 	c1256 	3519 	217 	  76 	104072 	  5412 	 127 	0 	1 	01103F5952
2020-05-18 12:42:34	 104 	c1256 	3520 	226 	  81 	104208 	  5877 	 135 	0 	1 	01103F5952
2020-05-18 12:42:34	1000 	c1256 	3521 	232 	   7 	     0 	     0 	   1 	0 	0 	
2020-05-18 12:42:36	 561 	c1256 	3522 	236 	  76 	103864 	  5414 	 138 	0 	1 	01103F5E08
2020-05-18 12:43:05	  47 	c1256 	3523 	244 	  76 	103680 	  5417 	 139 	0 	1 	01103F5E08
2020-05-18 12:43:05	1113 	c1256 	3523 	249 	   2 	     0 	     0 	   1 	0 	0 	
2020-05-18 12:43:08	1058 	c1256 	3524 	253 	  76 	103784 	  5410 	 126 	0 	1 	01103F5952
2020-05-18 12:43:10	 422 	c1256 	3525 	  3 	  76 	103784 	  5410 	 127 	0 	1 	01103F5952
2020-05-18 12:44:06	1091 	c1256 	3526 	 11 	  76 	103824 	  5412 	 127 	0 	1 	01103F5952
2020-05-18 12:50:20	 511 	c1256 	3528 	 19 	  76 	103848 	  5413 	 139 	0 	1 	01103F5E08
2020-05-18 12:50:23	 652 	c1256 	3529 	 25 	  76 	103768 	  5409 	 139 	0 	1 	01103F5E08
2020-05-18 12:50:36	 715 	c1256 	3530 	 32 	  76 	103696 	  5418 	 139 	0 	1 	01103F5E08
2020-05-18 12:50:37	1082 	c1256 	3531 	 38 	  75 	103216 	  5204 	 135 	0 	1 	01103F5E08
2020-05-18 12:51:34	1073 	c1256 	3532 	 44 	  76 	103784 	  5410 	 127 	0 	1 	01103F5952
2020-05-18 12:51:36	1084 	c1256 	3533 	 50 	  76 	103728 	  5407 	 127 	0 	1 	01103F5952
2020-05-18 12:51:53	 660 	c1256 	3536 	 66 	  14 	     0 	     0 	   1 	0 	0 	
2020-05-18 12:51:53	1076 	c1256 	3537 	 68 	 100 	106096 	  8004 	 192 	0 	1 	01103F5952
2020-05-18 12:51:54	 745 	c1256 	3537 	 73 	   7 	     0 	     0 	   1 	0 	0 	
2020-05-18 12:56:49	 625 	c1256 	3538 	 77 	  76 	103976 	  5407 	 126 	0 	1 	01103F5952
2020-05-18 12:56:51	 704 	c1256 	3539 	 83 	  76 	103752 	  5408 	 127 	0 	1 	01103F5952
2020-05-18 13:03:01	  67 	c1256 	3540 	 91 	  84 	104728 	  6239 	 145 	0 	1 	01103F5952
2020-05-18 13:03:02	 143 	c1256 	3541 	 96 	  11 	     0 	     0 	   1 	0 	0 	
2020-05-18 13:03:06	 941 	c1256 	3542 	100 	  76 	103904 	  5416 	 138 	0 	1 	01103F5E08
2020-05-18 13:03:13	 633 	c1256 	3543 	106 	  76 	103656 	  5416 	 139 	0 	1 	01103F5E08
2020-05-18 13:03:37	 366 	c1256 	3545 	114 	  76 	103880 	  5415 	 139 	0 	1 	01103F5E08
2020-05-18 13:05:25	 783 	c1256 	3547 	132 	 167 	108472 	 15532 	 423 	0 	1 	0300030EFF
2020-05-18 13:11:49	 292 	c1256						 4120 bytes to file.
