Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-19 01:16:35	 760 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-19 09:38:54	 163 	c1254 	4122 	 135 	 10101000 	 168 	 14354672 	 312	 183	 234	 257	 33	 324	 
2020-05-19 09:38:55	 809 	c1254 	4123 	 139 	 10101000 	 168 	 14371952 	 313	 183	 234	 257	 33	 324	 
2020-05-19 09:38:57	  20 	c1254 	4125 	 149 	 01110100 	 116 	 14386616 	 313	 183	 235	 257	 33	 325	 
2020-05-19 09:39:15	 903 	c1254 	4126 	 156 	 01110100 	 116 	 14594912 	 313	 183	 236	 257	 33	 326	 
2020-05-19 09:46:35	1072 	c1254	573 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2020-05-19 09:48:31	 200 	c1254 	4127 	 165 	 01110100 	 116 	 3977032 	 313	 183	 237	 257	 33	 327	 
2020-05-19 09:49:26	 852 	c1254 	4128 	 172 	 01111000 	 120 	 4592632 	 313	 183	 237	 258	 33	 327	 
2020-05-19 09:53:08	 137 	c1254 	4129 	 180 	 01110100 	 116 	 7045360 	 313	 183	 238	 258	 33	 328	 
2020-05-19 09:53:25	 541 	c1254 	4130 	 185 	 10101000 	 168 	 7237504 	 314	 183	 238	 258	 33	 328	 
2020-05-19 09:53:28	 199 	c1254 	4131 	 193 	 01111000 	 120 	 7267480 	 314	 183	 238	 259	 33	 328	 
2020-05-19 09:56:08	 589 	c1254 	4133 	 201 	 01110100 	 116 	 9043384 	 314	 183	 239	 259	 33	 329	 
2020-05-19 09:56:09	 712 	c1254 	4134 	 207 	 01110100 	 116 	 9055624 	 314	 183	 240	 259	 33	 329	 
2020-05-19 09:56:10	1085 	c1254 	4135 	 214 	 11110100 	 244 	 9070264 	 315	 183	 240	 259	 33	 329	 
2020-05-19 09:56:39	   4 	c1254 	4137 	 225 	 01111000 	 120 	 9381136 	 315	 183	 240	 260	 33	 329	 
2020-05-19 09:59:35	 155 	c1254 	4138 	 229 	 01010100 	 84 	 11331328 	 316	 183	 240	 260	 33	 329	 
2020-05-19 09:59:36	 904 	c1254 	4139 	 237 	 01110100 	 116 	 11349544 	 316	 183	 241	 260	 33	 330	 
2020-05-19 10:00:01	1098 	c1254 	4140 	 244 	 01111000 	 120 	 11628160 	 316	 183	 241	 261	 33	 330	 
2020-05-19 10:00:16	 141 	c1254 	4141 	 248 	 01010100 	 84 	 11785048 	 317	 183	 241	 261	 33	 330	 
2020-05-19 10:00:20	 535 	c1254 	4143 	 2 	 01110100 	 116 	 11833096 	 317	 183	 242	 261	 33	 331	 
2020-05-19 10:00:47	1038 	c1254 	4144 	 9 	 01110100 	 116 	 12136816 	 317	 183	 243	 261	 33	 332	 
2020-05-19 10:00:55	 853 	c1254 	4146 	 17 	 01111000 	 120 	 12223624 	 317	 183	 243	 262	 33	 332	 
2020-05-19 10:01:03	 353 	c1254 	4147 	 21 	 01010100 	 84 	 12307408 	 318	 183	 243	 262	 33	 332	 
2020-05-19 10:01:04	 619 	c1254 	4148 	 27 	 01110100 	 116 	 12321016 	 318	 183	 244	 262	 33	 333	 
2020-05-19 10:01:05	1141 	c1254 	4149 	 31 	 01010100 	 84 	 12337072 	 319	 183	 244	 262	 33	 333	 
2020-05-19 10:01:09	 658 	c1254 	4150 	 36 	 11110100 	 244 	 12376744 	 320	 183	 244	 262	 33	 333	 
2020-05-19 10:04:15	 205 	c1254 	4151 	 53 	 01111000 	 120 	 14431384 	 320	 183	 244	 263	 33	 333	 
2020-05-19 10:17:21	 835 	c1254 	4152 	 59 	 01110100 	 116 	 6359448 	 320	 183	 245	 263	 33	 334	 
2020-05-19 10:17:23	 151 	c1254 	4153 	 65 	 01110100 	 116 	 6375048 	 320	 183	 246	 263	 33	 334	 
2020-05-19 10:17:30	 896 	c1254 	4154 	 71 	 01111000 	 120 	 6459576 	 320	 183	 246	 264	 33	 334	 
2020-05-19 10:22:32	 801 	c1254 	4155 	 79 	 01111000 	 120 	 9798312 	 320	 183	 246	 265	 33	 334	 
2020-05-19 10:22:47	 939 	c1254 	4157 	 88 	 11110100 	 244 	 9965424 	 321	 183	 246	 265	 33	 334	 
2020-05-19 10:25:56	 267 	c1254 	4158 	 92 	 01010100 	 84 	 12047448 	 322	 183	 246	 265	 33	 334	 
2020-05-19 10:25:58	 139 	c1254 	4160 	 100 	 01110100 	 116 	 12068328 	 322	 183	 247	 265	 33	 335	 
