Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2020-05-18 16:53:25	 506 	c1254 	4121 	 133 	 10101010 	 170 	 10457616 
2020-05-19 01:16:35	712 	 c1254 	 152 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2020-05-19 09:38:53	 905 	c1254 	4122 	 134 	 10101000 	 168 	 14350664 
2020-05-19 09:38:54	 166 	c1254 	4122 	 136 	 00000000 	 0 	 14354672 
2020-05-19 09:38:54	 515 	c1254 	4122 	 137 	 10101010 	 170 	 14358032 
2020-05-19 09:38:55	 390 	c1254 	4123 	 138 	 10101000 	 168 	 14367944 
2020-05-19 09:38:55	 812 	c1254 	4123 	 140 	 00000000 	 0 	 14371952 
2020-05-19 09:38:56	 509 	c1254 	4123 	 141 	 01010101 	 85 	 14380184 
2020-05-19 09:38:56	 524 	c1254 	4124 	 142 	 01010100 	 84 	 14380328 
2020-05-19 09:38:56	 526 	c1254 	4124 	 143 	 10110110 	 182 	 14380352 
2020-05-19 09:38:56	 544 	c1254 	4124 	 144 	 10110100 	 180 	 14380520 
2020-05-19 09:38:56	 694 	c1254 	4124 	 145 	 10110110 	 182 	 14381960 
2020-05-19 09:38:56	 719 	c1254 	4125 	 146 	 10110100 	 180 	 14382200 
2020-05-19 09:38:56	 727 	c1254 	4125 	 147 	 01110101 	 117 	 14382272 
2020-05-19 09:38:56	 762 	c1254 	4125 	 148 	 01110100 	 116 	 14382608 
2020-05-19 09:38:57	  23 	c1254 	4125 	 150 	 00000000 	 0 	 14386616 
2020-05-19 09:39:07	 955 	c1254 	4125 	 151 	 00000000 	 0 	 14506592 
2020-05-19 09:39:14	1086 	c1254 	4125 	 152 	 01010101 	 85 	 14585552 
2020-05-19 09:39:14	1108 	c1254 	4126 	 153 	 11110111 	 247 	 14585768 
2020-05-19 09:39:15	 464 	c1254 	4126 	 154 	 01110101 	 117 	 14590712 
2020-05-19 09:39:15	 484 	c1254 	4126 	 155 	 01110100 	 116 	 14590904 
2020-05-19 09:39:15	 906 	c1254 	4126 	 157 	 00000000 	 0 	 14594912 
2020-05-19 09:39:26	 678 	c1254 	4126 	 158 	 00000000 	 0 	 14714888 
2020-05-19 09:46:35	985 	 c1254 	 912 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2020-05-19 09:48:29	 390 	c1254 	4126 	 159 	 01010101 	 85 	 3956680 
2020-05-19 09:48:29	 432 	c1254 	4127 	 160 	 11110111 	 247 	 3957088 
2020-05-19 09:48:30	 888 	c1254 	4127 	 161 	 10110110 	 182 	 3972520 
2020-05-19 09:48:30	 906 	c1254 	4127 	 162 	 11110111 	 247 	 3972688 
2020-05-19 09:48:30	 931 	c1254 	4127 	 163 	 01110101 	 117 	 3972928 
2020-05-19 09:48:30	 941 	c1254 	4127 	 164 	 01110100 	 116 	 3973024 
2020-05-19 09:48:31	 202 	c1254 	4127 	 166 	 00000000 	 0 	 3977032 
2020-05-19 09:48:41	1158 	c1254 	4127 	 167 	 00000000 	 0 	 4097008 
2020-05-19 09:49:24	 815 	c1254 	4127 	 168 	 10101010 	 170 	 4570120 
2020-05-19 09:49:24	 833 	c1254 	4128 	 169 	 11111011 	 251 	 4570288 
2020-05-19 09:49:26	 417 	c1254 	4128 	 170 	 01111001 	 121 	 4588480 
2020-05-19 09:49:26	 432 	c1254 	4128 	 171 	 01111000 	 120 	 4588624 
2020-05-19 09:49:26	 855 	c1254 	4128 	 173 	 00000000 	 0 	 4592632 
2020-05-19 09:53:06	1146 	c1254 	4128 	 174 	 01010101 	 85 	 7032832 
2020-05-19 09:53:07	  28 	c1254 	4129 	 175 	 11110111 	 247 	 7033240 
2020-05-19 09:53:07	 820 	c1254 	4129 	 176 	 10110110 	 182 	 7040800 
2020-05-19 09:53:07	 848 	c1254 	4129 	 177 	 11110111 	 247 	 7041064 
2020-05-19 09:53:07	 868 	c1254 	4129 	 178 	 01110101 	 117 	 7041256 
2020-05-19 09:53:07	 878 	c1254 	4129 	 179 	 01110100 	 116 	 7041352 
