Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-15 19:40:35	  83 	c1252 	5098 	 53 	 10101010 	 170 	 6591272 
2021-05-15 19:40:35	 184 	c1252 	5099 	 54 	 10101000 	 168 	 6592280 
2021-05-15 19:40:35	 592 	c1252 	5099 	 56 	 00000000 	 0 	 6596288 
2021-05-15 20:28:06	924 	 c1252 	 228 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-15 21:19:06	799 	 c1252 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-15 22:10:06	795 	 c1252 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-15 23:01:06	811 	 c1252 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-15 23:52:06	811 	 c1252 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-16 00:43:06	803 	 c1252 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-16 01:34:06	801 	 c1252 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-16 02:25:06	844 	 c1252 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-16 03:16:06	809 	 c1252 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-16 04:07:06	806 	 c1252 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-16 04:58:06	804 	 c1252 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-16 05:49:06	845 	 c1252 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-16 06:40:06	809 	 c1252 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-16 07:31:06	809 	 c1252 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-16 07:46:38	1003 	c1252 	5099 	 57 	 10101010 	 170 	 16562256 
2021-05-16 07:46:38	1109 	c1252 	5100 	 58 	 11111011 	 251 	 16563288 
2021-05-16 07:46:39	 408 	c1252 	5100 	 59 	 10111010 	 186 	 16567752 
2021-05-16 07:46:39	 432 	c1252 	5100 	 60 	 10111000 	 184 	 16567992 
2021-05-16 07:46:39	 845 	c1252 	5100 	 62 	 00000000 	 0 	 16572000 
2021-05-16 07:47:15	 731 	c1252 	5100 	 63 	 10101010 	 170 	 200840 
2021-05-16 07:47:15	 839 	c1252 	5101 	 64 	 10101000 	 168 	 201896 
2021-05-16 07:47:16	  94 	c1252 	5101 	 66 	 00000000 	 0 	 205904 
2021-05-16 07:47:18	 386 	c1252 	5101 	 67 	 01010101 	 85 	 231392 
2021-05-16 07:47:18	 619 	c1252 	5102 	 68 	 01010100 	 84 	 233672 
2021-05-16 07:47:18	 843 	c1252 	5102 	 69 	 01010101 	 85 	 235856 
2021-05-16 07:47:18	 900 	c1252 	5103 	 70 	 11110111 	 247 	 236408 
2021-05-16 07:47:18	1035 	c1252 	5103 	 71 	 01110101 	 117 	 237728 
2021-05-16 07:47:18	1047 	c1252 	5103 	 72 	 01110100 	 116 	 237848 
2021-05-16 07:47:19	 302 	c1252 	5103 	 74 	 00000000 	 0 	 241856 
2021-05-16 07:47:22	  38 	c1252 	5103 	 75 	 01010101 	 85 	 273224 
2021-05-16 07:47:24	 133 	c1252 	5104 	 76 	 01010100 	 84 	 296768 
2021-05-16 07:47:24	 288 	c1252 	5104 	 77 	 01010101 	 85 	 298280 
2021-05-16 07:47:24	 344 	c1252 	5105 	 78 	 01010100 	 84 	 298832 
2021-05-16 07:47:24	 757 	c1252 	5105 	 80 	 00000000 	 0 	 302840 
2021-05-16 07:47:29	1007 	c1252 	5105 	 81 	 00000000 	 0 	 361832 
2021-05-16 07:49:37	1155 	c1252 	5105 	 82 	 01010101 	 85 	 1808672 
2021-05-16 07:49:38	  31 	c1252 	5106 	 83 	 11110111 	 247 	 1809008 
2021-05-16 07:49:38	 541 	c1252 	5106 	 84 	 10110110 	 182 	 1813976 
2021-05-16 07:49:38	 543 	c1252 	5106 	 85 	 10110100 	 180 	 1814000 
2021-05-16 07:49:38	 957 	c1252 	5106 	 87 	 00000000 	 0 	 1818008 
2021-05-16 07:49:38	 987 	c1252 	5106 	 88 	 01010101 	 85 	 1818320 
2021-05-16 07:49:38	1006 	c1252 	5107 	 89 	 01010100 	 84 	 1818512 
2021-05-16 07:49:39	 263 	c1252 	5107 	 91 	 00000000 	 0 	 1822520 
2021-05-16 07:49:49	 410 	c1252 	5107 	 92 	 10101010 	 170 	 1936760 
2021-05-16 07:49:49	 438 	c1252 	5108 	 93 	 11111011 	 251 	 1937024 
2021-05-16 07:49:49	1013 	c1252 	5108 	 94 	 01111001 	 121 	 1942640 
2021-05-16 07:49:49	1030 	c1252 	5108 	 95 	 01111000 	 120 	 1942808 
2021-05-16 07:49:50	 287 	c1252 	5108 	 97 	 00000000 	 0 	 1946816 
2021-05-16 07:51:00	 906 	c1252 	5108 	 98 	 01010101 	 85 	 2741816 
2021-05-16 07:51:00	 933 	c1252 	5109 	 99 	 11110111 	 247 	 2742080 
2021-05-16 07:51:01	  39 	c1252 	5109 	 100 	 01110101 	 117 	 2744648 
2021-05-16 07:51:01	  42 	c1252 	5109 	 101 	 01110100 	 116 	 2744672 
2021-05-16 07:51:01	 229 	c1252 	5109 	 102 	 10110110 	 182 	 2746496 
2021-05-16 07:51:01	 266 	c1252 	5110 	 103 	 10110100 	 180 	 2746856 
2021-05-16 07:51:01	 276 	c1252 	5110 	 104 	 01110101 	 117 	 2746952 
2021-05-16 07:51:01	 308 	c1252 	5110 	 105 	 01110100 	 116 	 2747264 
2021-05-16 07:51:01	 723 	c1252 	5110 	 107 	 00000000 	 0 	 2751272 
2021-05-16 07:51:08	 691 	c1252 	5110 	 108 	 11111111 	 255 	 2829824 
2021-05-16 07:51:08	 693 	c1252 	5111 	 109 	 10111110 	 190 	 2829848 
2021-05-16 07:51:08	 721 	c1252 	5111 	 110 	 11111111 	 255 	 2830112 
2021-05-16 07:51:08	 950 	c1252 	5111 	 111 	 01111101 	 125 	 2832344 
2021-05-16 07:51:08	 962 	c1252 	5111 	 112 	 01111100 	 124 	 2832464 
2021-05-16 07:51:08	 986 	c1252 	5111 	 113 	 01111101 	 125 	 2832704 
2021-05-16 07:51:08	 989 	c1252 	5111 	 114 	 10111110 	 190 	 2832728 
2021-05-16 07:51:08	 991 	c1252 	5111 	 115 	 10111100 	 188 	 2832752 
2021-05-16 07:51:09	 249 	c1252 	5111 	 117 	 00000000 	 0 	 2836760 
2021-05-16 07:51:12	 318 	c1252 	5111 	 118 	 00000000 	 0 	 2871248 
2021-05-16 07:51:26	 687 	c1252 	5111 	 119 	 01010101 	 85 	 3032480 
2021-05-16 07:51:27	  50 	c1252 	5112 	 120 	 01010100 	 84 	 3037544 
2021-05-16 07:51:27	 465 	c1252 	5112 	 122 	 00000000 	 0 	 3041552 
2021-05-16 07:52:57	 378 	c1252 	5112 	 123 	 01010101 	 85 	 4053416 
