Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-18 17:37:34	 990 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-18 18:28:34	 843 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-18 19:19:34	 839 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-18 20:10:34	 851 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-18 21:01:34	 854 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-18 21:52:34	 853 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-18 22:43:34	 852 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-18 23:34:34	 899 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 00:25:34	 857 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 01:16:34	 850 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 02:07:34	 850 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 02:58:34	 851 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 03:49:34	 851 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 04:40:34	 854 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 05:31:34	 898 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 06:22:34	 855 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 07:13:34	 857 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 08:04:34	 856 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 08:55:34	 857 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 09:46:34	 862 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 09:55:41	 298 	c1252 	5528 	 1 	 10101000 	 168 	 7828840 	 213	 294	 215	 355	 61	 452	 
2021-05-19 10:11:20	 394 	c1252 	5529 	 7 	 10111000 	 184 	 1675992 	 213	 294	 215	 355	 62	 452	 
2021-05-19 10:11:23	 491 	c1252 	5530 	 13 	 10111000 	 184 	 1710936 	 213	 294	 215	 355	 63	 452	 
2021-05-19 10:11:29	 628 	c1252 	5531 	 19 	 10110100 	 180 	 1780200 	 213	 295	 215	 355	 63	 453	 
2021-05-19 10:13:02	 457 	c1252 	5532 	 25 	 01110100 	 116 	 2831664 	 213	 295	 216	 355	 63	 454	 
2021-05-19 10:13:21	 222 	c1252 	5533 	 30 	 01010100 	 84 	 3044472 	 214	 295	 216	 355	 63	 454	 
2021-05-19 10:13:26	 264 	c1252 	5534 	 34 	 01010100 	 84 	 3101496 	 215	 295	 216	 355	 63	 454	 
2021-05-19 10:13:30	 927 	c1252 	5535 	 40 	 01110100 	 116 	 3153264 	 215	 295	 217	 355	 63	 455	 
2021-05-19 10:13:37	 334 	c1252 	5536 	 46 	 01111000 	 120 	 3226704 	 215	 295	 217	 356	 63	 455	 
2021-05-19 10:15:07	 391 	c1252 	5537 	 52 	 01110100 	 116 	 4245792 	 215	 295	 218	 356	 63	 456	 
2021-05-19 10:15:10	 353 	c1252 	5538 	 58 	 10110100 	 180 	 4279368 	 215	 296	 218	 356	 63	 456	 
2021-05-19 10:15:15	 843 	c1252 	5539 	 66 	 01111000 	 120 	 4340736 	 215	 296	 218	 357	 63	 456	 
2021-05-19 10:17:03	   3 	c1252 	5540 	 74 	 01110100 	 116 	 5554200 	 215	 296	 219	 357	 63	 457	 
2021-05-19 10:17:07	 716 	c1252 	5541 	 82 	 01111000 	 120 	 5606400 	 215	 296	 219	 358	 63	 457	 
2021-05-19 10:20:35	 739 	c1252 	5543 	 90 	 01110100 	 116 	 7958136 	 215	 296	 220	 358	 63	 458	 
2021-05-19 10:20:47	 220 	c1252 	5544 	 97 	 01111000 	 120 	 8088696 	 215	 296	 220	 359	 63	 458	 
2021-05-19 10:21:26	  44 	c1252 	5546 	 105 	 01110100 	 116 	 8527704 	 215	 296	 221	 359	 63	 459	 
2021-05-19 10:21:32	1101 	c1252 	5547 	 116 	 01111000 	 120 	 8605824 	 215	 296	 221	 360	 63	 459	 
2021-05-19 10:22:24	 640 	c1252 	5548 	 122 	 10110100 	 180 	 9188832 	 215	 297	 221	 360	 63	 460	 
2021-05-19 10:22:33	1049 	c1252 	5549 	 128 	 01111000 	 120 	 9294504 	 215	 297	 221	 361	 63	 460	 
2021-05-19 10:28:54	 407 	c1252 	5550 	 134 	 01110100 	 116 	 13591416 	 215	 297	 222	 361	 63	 461	 
2021-05-19 10:29:02	 424 	c1252 	5552 	 144 	 01111000 	 120 	 13681920 	 215	 297	 222	 362	 63	 461	 
2021-05-19 10:29:16	 307 	c1252 	5553 	 150 	 10110100 	 180 	 13838832 	 215	 298	 222	 362	 63	 462	 
2021-05-19 10:30:38	  38 	c1252 	5554 	 155 	 11110100 	 244 	 14761968 	 216	 298	 222	 362	 63	 462	 
2021-05-19 10:30:41	 506 	c1252 	5555 	 162 	 11111000 	 248 	 14800392 	 217	 298	 222	 362	 63	 462	 
2021-05-19 10:31:41	 348 	c1252 	5556 	 172 	 01110100 	 116 	 15476304 	 217	 298	 223	 362	 63	 463	 
2021-05-19 10:31:48	 290 	c1252 	5557 	 180 	 01111000 	 120 	 15554784 	 217	 298	 223	 363	 63	 463	 
2021-05-19 10:32:41	 841 	c1252 	5560 	 190 	 10110100 	 180 	 16158624 	 217	 299	 223	 363	 63	 464	 
2021-05-19 10:32:45	1008 	c1252 	5561 	 196 	 01111000 	 120 	 16205424 	 217	 299	 223	 364	 63	 464	 
2021-05-19 10:32:55	 451 	c1252 	5562 	 204 	 01111000 	 120 	 16312896 	 217	 299	 223	 365	 63	 464	 
2021-05-19 10:34:45	 390 	c1252 	5563 	 210 	 01110100 	 116 	 777200 	 217	 299	 224	 365	 63	 465	 
2021-05-19 10:34:52	1018 	c1252 	5564 	 216 	 01111000 	 120 	 862376 	 217	 299	 224	 366	 63	 465	 
2021-05-19 10:35:42	  42 	c1252 	5566 	 226 	 10110100 	 180 	 1417472 	 217	 300	 224	 366	 63	 466	 
2021-05-19 10:35:50	 496 	c1252 	5567 	 232 	 01111000 	 120 	 1512248 	 217	 300	 224	 367	 63	 466	 
2021-05-19 10:37:36	1053 	c1252	3617 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 10:37:42	 994 	c1252 	5568 	 238 	 10110100 	 180 	 2781992 	 217	 301	 224	 367	 63	 467	 
2021-05-19 10:37:53	 317 	c1252 	5570 	 248 	 01111000 	 120 	 2899592 	 217	 301	 224	 368	 63	 467	 
2021-05-19 10:38:20	 177 	c1252 	5571 	 254 	 10110100 	 180 	 3203120 	 217	 302	 224	 368	 63	 468	 
2021-05-19 10:38:36	 836 	c1252 	5573 	 6 	 01110100 	 116 	 3390248 	 217	 302	 225	 368	 63	 469	 
2021-05-19 10:39:04	1091 	c1252 	5574 	 13 	 10111000 	 184 	 3708992 	 217	 302	 225	 368	 64	 469	 
2021-05-19 10:39:49	1126 	c1252 	5576 	 21 	 10110100 	 180 	 4217552 	 217	 303	 225	 368	 64	 470	 
2021-05-19 10:40:02	 321 	c1252 	5577 	 27 	 01111000 	 120 	 4356512 	 217	 303	 225	 369	 64	 470	 
2021-05-19 10:41:05	 846 	c1252 	5578 	 33 	 01110100 	 116 	 5073176 	 217	 303	 226	 369	 64	 471	 
2021-05-19 10:41:17	 513 	c1252 	5579 	 40 	 01111000 	 120 	 5205464 	 217	 303	 226	 370	 64	 471	 
2021-05-19 10:44:29	1145 	c1252 	5581 	 48 	 01110100 	 116 	 7380056 	 217	 303	 227	 370	 64	 472	 
2021-05-19 10:44:40	 604 	c1252 	5582 	 54 	 01111000 	 120 	 7499024 	 217	 303	 227	 371	 64	 472	 
2021-05-19 10:44:44	 801 	c1252 	5583 	 62 	 01111000 	 120 	 7546136 	 217	 303	 227	 372	 64	 472	 
