Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 14:53:45	 997 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 15:44:45	 857 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 16:35:45	 856 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 17:26:45	 868 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 18:17:45	 880 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 19:08:45	 880 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 19:59:45	 848 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 20:50:45	 888 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 21:41:45	 852 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 22:32:45	 850 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-19 23:23:45	 847 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-20 00:14:45	 848 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-20 01:05:45	 842 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-20 01:56:45	 845 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-20 02:47:45	 888 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-20 03:38:45	 845 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-20 04:29:45	 847 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-20 05:20:45	 846 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-20 06:11:45	 846 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-20 07:02:45	 847 	c1252	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-20 07:38:26	 593 	c1252 	5726 	 36 	 01111000 	 120 	 11578496 	 227	 337	 255	 429	 64	 530	 
2021-05-20 07:38:27	 981 	c1252 	5727 	 40 	 10101000 	 168 	 11593616 	 228	 337	 255	 429	 64	 530	 
2021-05-20 07:38:44	 777 	c1252 	5728 	 44 	 01010100 	 84 	 11784056 	 229	 337	 255	 429	 64	 530	 
2021-05-20 07:52:45	 394 	c1252 	5729 	 48 	 01010100 	 84 	 4464280 	 230	 337	 255	 429	 64	 530	 
2021-05-20 07:52:53	1040 	c1252 	5730 	 52 	 01010100 	 84 	 4560112 	 231	 337	 255	 429	 64	 530	 
2021-05-20 07:52:54	1147 	c1252 	5731 	 56 	 01010100 	 84 	 4572328 	 232	 337	 255	 429	 64	 530	 
2021-05-20 07:52:56	 305 	c1252 	5732 	 60 	 01010100 	 84 	 4586560 	 233	 337	 255	 429	 64	 530	 
2021-05-20 07:53:18	1028 	c1252 	5733 	 64 	 01010100 	 84 	 4839856 	 234	 337	 255	 429	 64	 530	 
2021-05-20 07:53:20	  31 	c1252 	5734 	 68 	 01010100 	 84 	 4852576 	 235	 337	 255	 429	 64	 530	 
2021-05-20 07:53:28	 843 	c1252 	5735 	 72 	 01010100 	 84 	 4949992 	 236	 337	 255	 429	 64	 530	 
2021-05-20 07:53:29	 944 	c1252 	5736 	 76 	 01010100 	 84 	 4962160 	 237	 337	 255	 429	 64	 530	 
2021-05-20 07:53:35	 880 	c1252 	5737 	 82 	 01110100 	 116 	 5028688 	 237	 337	 256	 429	 64	 531	 
2021-05-20 07:53:39	 122 	c1252 	5738 	 88 	 01110100 	 116 	 5066104 	 237	 337	 257	 429	 64	 531	 
2021-05-20 07:53:40	 357 	c1252 	5739 	 92 	 01010100 	 84 	 5079568 	 238	 337	 257	 429	 64	 531	 
2021-05-20 07:53:41	 490 	c1252 	5740 	 98 	 01110100 	 116 	 5092048 	 238	 337	 258	 429	 64	 531	 
2021-05-20 07:53:43	 738 	c1252 	5741 	 104 	 01110100 	 116 	 5116840 	 238	 337	 259	 429	 64	 531	 
2021-05-20 07:53:46	 240 	c1252 	5742 	 110 	 01110100 	 116 	 5145592 	 238	 337	 260	 429	 64	 531	 
2021-05-20 07:53:47	 827 	c1252 	5744 	 118 	 01110100 	 116 	 5162464 	 238	 337	 261	 429	 64	 531	 
2021-05-20 07:53:50	  71 	c1252 	5745 	 126 	 10110100 	 180 	 5188720 	 238	 338	 261	 429	 64	 531	 
2021-05-20 07:53:55	 696 	c1252	2077 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-20 07:53:58	1040 	c1252 	5746 	 132 	 01111000 	 120 	 5287624 	 238	 338	 261	 430	 64	 531	 
2021-05-20 07:57:10	 426 	c1252 	5747 	 136 	 01010100 	 84 	 7428544 	 239	 338	 261	 430	 64	 531	 
2021-05-20 07:59:17	 960 	c1252 	5748 	 142 	 01110100 	 116 	 8852656 	 239	 338	 262	 430	 64	 532	 
2021-05-20 07:59:20	 483 	c1252 	5749 	 148 	 01110100 	 116 	 8881552 	 239	 338	 263	 430	 64	 532	 
2021-05-20 07:59:32	 326 	c1252 	5751 	 157 	 01110100 	 116 	 9014032 	 239	 338	 264	 430	 64	 533	 
2021-05-20 08:01:28	 273 	c1252 	5752 	 166 	 01110100 	 116 	 10308232 	 239	 338	 265	 430	 64	 534	 
2021-05-20 08:03:21	 637 	c1252 	5753 	 173 	 01110100 	 116 	 11572648 	 239	 338	 266	 430	 64	 535	 
2021-05-20 08:03:24	 976 	c1252 	5754 	 181 	 01110100 	 116 	 11609392 	 239	 338	 267	 430	 64	 535	 
2021-05-20 08:03:36	 950 	c1252 	5755 	 190 	 10110100 	 180 	 11743000 	 239	 339	 267	 430	 64	 536	 
2021-05-20 08:03:40	  24 	c1252 	5756 	 197 	 11111000 	 248 	 11778664 	 240	 339	 267	 430	 64	 536	 
2021-05-20 08:10:39	 473 	c1252 	5757 	 201 	 01010100 	 84 	 16454272 	 241	 339	 267	 430	 64	 536	 
2021-05-20 08:10:41	 611 	c1252 	5759 	 209 	 01110100 	 116 	 16477912 	 241	 339	 268	 430	 64	 537	 
2021-05-20 08:10:44	  49 	c1252 	5760 	 215 	 01111000 	 120 	 16505896 	 241	 339	 268	 431	 64	 537	 
2021-05-20 08:10:52	 641 	c1252 	5761 	 226 	 01111000 	 120 	 16600768 	 241	 339	 268	 432	 64	 537	 
2021-05-20 08:11:51	 205 	c1252 	5762 	 230 	 01010100 	 84 	 476760 	 242	 339	 268	 432	 64	 537	 
2021-05-20 08:11:52	 845 	c1252 	5763 	 238 	 01110100 	 116 	 494088 	 242	 339	 269	 432	 64	 538	 
2021-05-20 08:12:53	1074 	c1252 	5765 	 248 	 10110100 	 180 	 1175904 	 242	 340	 269	 432	 64	 539	 
2021-05-20 08:13:03	 180 	c1252 	5767 	 0 	 01111000 	 120 	 1278672 	 242	 340	 269	 433	 64	 539	 
2021-05-20 08:13:21	 136 	c1252 	5768 	 6 	 01111000 	 120 	 1478808 	 242	 340	 269	 434	 64	 539	 
2021-05-20 08:14:09	 978 	c1252 	5769 	 16 	 10110100 	 180 	 2021688 	 242	 341	 269	 434	 64	 540	 
2021-05-20 08:14:20	1138 	c1252 	5771 	 31 	 01111000 	 120 	 2145768 	 242	 341	 269	 435	 64	 540	 
2021-05-20 08:14:22	 976 	c1252 	5772 	 35 	 01010100 	 84 	 2166480 	 243	 341	 269	 435	 64	 540	 
2021-05-20 08:14:24	 579 	c1252 	5774 	 43 	 01110100 	 116 	 2184912 	 243	 341	 270	 435	 64	 541	 
2021-05-20 08:14:26	 188 	c1252 	5776 	 57 	 10110100 	 180 	 2203416 	 243	 342	 270	 435	 64	 541	 
2021-05-20 08:14:35	 240 	c1252 	5777 	 66 	 01111000 	 120 	 2304168 	 243	 342	 270	 436	 64	 541	 
2021-05-20 08:15:47	 664 	c1252 	5778 	 72 	 01110100 	 116 	 3110160 	 243	 342	 271	 436	 64	 542	 
2021-05-20 08:17:04	 564 	c1252 	5779 	 81 	 10110100 	 180 	 3966648 	 243	 343	 271	 436	 64	 543	 
2021-05-20 08:17:08	 929 	c1252 	5781 	 91 	 01111000 	 120 	 4014720 	 243	 343	 271	 437	 64	 543	 
2021-05-20 08:17:35	 648 	c1252 	5782 	 104 	 10110100 	 180 	 4312632 	 243	 344	 271	 437	 64	 544	 
2021-05-20 08:17:37	 182 	c1252 	5783 	 110 	 01111000 	 120 	 4330392 	 243	 344	 271	 438	 64	 544	 
2021-05-20 08:18:00	 311 	c1252 	5784 	 118 	 10110100 	 180 	 4587768 	 243	 345	 271	 438	 64	 545	 
2021-05-20 08:18:14	1001 	c1252 	5785 	 124 	 01111000 	 120 	 4750344 	 243	 345	 271	 439	 64	 545	 
2021-05-20 08:21:04	1091 	c1252 	5786 	 132 	 10110100 	 180 	 6643824 	 243	 346	 271	 439	 64	 546	 
2021-05-20 08:21:11	 788 	c1252 	5787 	 138 	 01111000 	 120 	 6718800 	 243	 346	 271	 440	 64	 546	 
2021-05-20 08:21:14	  84 	c1252 	5788 	 148 	 10111000 	 184 	 6745392 	 243	 346	 271	 440	 65	 546	 
2021-05-20 08:21:35	 654 	c1252 	5791 	 158 	 10110100 	 180 	 6984648 	 243	 347	 271	 440	 65	 547	 
2021-05-20 08:21:45	 299 	c1252 	5792 	 166 	 01111000 	 120 	 7092528 	 243	 347	 271	 441	 65	 547	 
2021-05-20 08:22:27	 568 	c1252 	5793 	 172 	 10110100 	 180 	 7562640 	 243	 348	 271	 441	 65	 548	 
