Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-24 13:42:42	 929 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-24 14:33:42	 813 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-24 15:24:42	 809 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-24 16:15:42	 819 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-24 17:06:42	 813 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-24 17:57:42	 744 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-24 18:48:42	 744 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-24 19:39:42	 762 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-24 20:30:42	 824 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-24 21:21:42	 820 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-24 22:12:42	 819 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-24 23:03:42	 817 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-24 23:54:42	 814 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-25 00:45:42	 811 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-25 01:36:42	 870 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-25 02:27:42	 806 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-25 03:18:42	 812 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-25 04:09:42	 809 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-25 05:00:42	 811 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-25 05:51:42	 813 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-25 06:42:42	 806 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-25 07:33:42	 809 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-25 08:24:42	 754 	c1256	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-25 08:28:48	 527 	c1256 	7439 	 103 	 01110100 	 116 	 5649096 	 525	 470	 362	 581	 51	 714	 
2021-05-25 08:42:53	 172 	c1256 	7440 	 110 	 01110100 	 116 	 15188280 	 525	 470	 363	 581	 51	 715	 
2021-05-25 08:49:57	 675 	c1256 	7442 	 121 	 01111000 	 120 	 3164960 	 525	 470	 363	 582	 51	 715	 
2021-05-25 08:52:35	 264 	c1256 	7443 	 125 	 01010100 	 84 	 4926848 	 526	 470	 363	 582	 51	 715	 
2021-05-25 08:52:47	1027 	c1256 	7444 	 137 	 01110100 	 116 	 5068232 	 526	 470	 364	 582	 51	 716	 
2021-05-25 08:52:55	 533 	c1256 	7445 	 147 	 01111000 	 120 	 5152808 	 526	 470	 364	 583	 51	 716	 
2021-05-25 08:54:38	 998 	c1256 	7446 	 152 	 11110100 	 244 	 6307448 	 527	 470	 364	 583	 51	 716	 
2021-05-25 08:54:43	 464 	c1256 	7447 	 159 	 11111000 	 248 	 6358136 	 528	 470	 364	 583	 51	 716	 
2021-05-25 08:55:33	 926 	c1256 	7448 	 165 	 01110100 	 116 	 6920744 	 528	 470	 365	 583	 51	 717	 
2021-05-25 08:55:40	 323 	c1256 	7450 	 178 	 01111000 	 120 	 6993080 	 528	 470	 365	 584	 51	 717	 
2021-05-25 08:56:15	 208 	c1256 	7451 	 184 	 01110100 	 116 	 7382720 	 528	 470	 366	 584	 51	 718	 
2021-05-25 08:56:16	 501 	c1256 	7452 	 190 	 10110100 	 180 	 7396712 	 528	 471	 366	 584	 51	 718	 
2021-05-25 08:56:21	 830 	c1256 	7453 	 196 	 01111000 	 120 	 7455704 	 528	 471	 366	 585	 51	 718	 
2021-05-25 08:56:53	 784 	c1256 	7454 	 202 	 10110100 	 180 	 7812488 	 528	 472	 366	 585	 51	 719	 
2021-05-25 08:56:58	 472 	c1256 	7455 	 210 	 01111000 	 120 	 7865288 	 528	 472	 366	 586	 51	 719	 
2021-05-25 08:58:42	 661 	c1256 	7457 	 222 	 10110100 	 180 	 9027704 	 528	 473	 366	 586	 51	 720	 
2021-05-25 08:58:57	1062 	c1256 	7458 	 233 	 01111000 	 120 	 9198944 	 528	 473	 366	 587	 51	 720	 
2021-05-25 08:59:27	 916 	c1256 	7459 	 239 	 01110100 	 116 	 9532184 	 528	 473	 367	 587	 51	 721	 
2021-05-25 08:59:35	 575 	c1256 	7461 	 247 	 01111000 	 120 	 9618128 	 528	 473	 367	 588	 51	 721	 
2021-05-25 08:59:37	 761 	c1256 	7462 	 253 	 01110100 	 116 	 9642224 	 528	 473	 368	 588	 51	 722	 
2021-05-25 09:00:39	 466 	c1256 	7463 	 6 	 01110100 	 116 	 10330856 	 528	 473	 369	 588	 51	 723	 
2021-05-25 09:00:41	 817 	c1256 	7464 	 12 	 01110100 	 116 	 10356536 	 528	 473	 370	 588	 51	 723	 
2021-05-25 09:00:42	1126 	c1256 	7465 	 18 	 01111000 	 120 	 10370648 	 528	 473	 370	 589	 51	 723	 
2021-05-25 09:01:36	 647 	c1256 	7466 	 22 	 01010100 	 84 	 10968152 	 529	 473	 370	 589	 51	 723	 
2021-05-25 09:01:37	 436 	c1256 	7467 	 28 	 01110100 	 116 	 10977272 	 529	 473	 371	 589	 51	 724	 
2021-05-25 09:01:39	  52 	c1256 	7468 	 34 	 01111000 	 120 	 10995872 	 529	 473	 371	 590	 51	 724	 
2021-05-25 09:01:54	 817 	c1256 	7469 	 44 	 01111000 	 120 	 11170472 	 529	 473	 371	 591	 51	 724	 
2021-05-25 09:03:00	 174 	c1256 	7470 	 52 	 10110100 	 180 	 11900072 	 529	 474	 371	 591	 51	 725	 
2021-05-25 09:03:07	 985 	c1256 	7471 	 58 	 01111000 	 120 	 11985896 	 529	 474	 371	 592	 51	 725	 
2021-05-25 09:03:10	   3 	c1256 	7472 	 64 	 01110100 	 116 	 12009896 	 529	 474	 372	 592	 51	 726	 
2021-05-25 09:05:35	 178 	c1256 	7474 	 76 	 10110100 	 180 	 13627592 	 529	 475	 372	 592	 51	 727	 
2021-05-25 09:05:36	 519 	c1256 	7475 	 86 	 01111000 	 120 	 13642016 	 529	 475	 372	 593	 51	 727	 
2021-05-25 09:07:08	 461 	c1256 	7476 	 91 	 11110100 	 244 	 14666552 	 530	 475	 372	 593	 51	 727	 
2021-05-25 09:07:10	 445 	c1256 	7477 	 97 	 01111000 	 120 	 14688680 	 530	 475	 372	 594	 51	 727	 
2021-05-25 09:08:44	 220 	c1256 	7479 	 105 	 10110100 	 180 	 15733496 	 530	 476	 372	 594	 51	 728	 
2021-05-25 09:08:46	 491 	c1256 	7482 	 117 	 01111000 	 120 	 15758384 	 530	 476	 372	 595	 51	 728	 
2021-05-25 09:08:55	 938 	c1256 	7483 	 123 	 01111000 	 120 	 15862928 	 530	 476	 372	 596	 51	 728	 
2021-05-25 09:10:56	 247 	c1256 	7484 	 129 	 10110100 	 180 	 426496 	 530	 477	 372	 596	 51	 729	 
2021-05-25 09:11:00	 607 	c1256 	7485 	 137 	 01111000 	 120 	 474496 	 530	 477	 372	 597	 51	 729	 
2021-05-25 09:11:17	 991 	c1256 	7486 	 143 	 01110100 	 116 	 667480 	 530	 477	 373	 597	 51	 730	 
2021-05-25 09:11:24	 656 	c1256 	7487 	 151 	 01111000 	 120 	 742192 	 530	 477	 373	 598	 51	 730	 
2021-05-25 09:11:57	 294 	c1256 	7489 	 161 	 10110100 	 180 	 1106128 	 530	 478	 373	 598	 51	 731	 
2021-05-25 09:12:03	 597 	c1256 	7490 	 171 	 11111000 	 248 	 1175848 	 531	 478	 373	 598	 51	 731	 
