Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-24 13:15:16	 843 	c1254 	6319 	 30 	 10101010 	 170 	 10131424 
2021-05-24 13:15:18	 946 	c1254 	6320 	 31 	 10101000 	 168 	 10154872 
2021-05-24 13:15:19	 200 	c1254 	6320 	 33 	 00000000 	 0 	 10158880 
2021-05-24 13:39:31	 193 	c1254 	6320 	 34 	 10101010 	 170 	 9638520 
2021-05-24 21:31:07	735 	 c1254 	 266 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-25 06:01:07	827 	 c1254 	 114 bytes to file. 
Date 	Hmsec 	CounterID 	EventID 	CounterMsgID 	Status(bin) 	Status(dec) 	Timer[s/12000] 
2021-05-25 08:29:21	 922 	c1254 	6321 	 35 	 10101000 	 168 	 11454720 
2021-05-25 08:29:22	 184 	c1254 	6321 	 37 	 00000000 	 0 	 11458728 
2021-05-25 08:32:06	 321 	c1254 	6321 	 38 	 01010101 	 85 	 13277520 
2021-05-25 08:32:06	 341 	c1254 	6322 	 39 	 01010100 	 84 	 13277712 
2021-05-25 08:32:06	 764 	c1254 	6322 	 41 	 00000000 	 0 	 13281720 
2021-05-25 08:32:28	 327 	c1254 	6322 	 42 	 01010101 	 85 	 13521072 
2021-05-25 08:32:28	 438 	c1254 	6323 	 43 	 11110111 	 247 	 13522128 
2021-05-25 08:32:28	 498 	c1254 	6323 	 44 	 10110110 	 182 	 13522704 
2021-05-25 08:32:28	 500 	c1254 	6323 	 45 	 11110111 	 247 	 13522728 
2021-05-25 08:32:28	 503 	c1254 	6323 	 46 	 10110110 	 182 	 13522752 
2021-05-25 08:32:28	 518 	c1254 	6323 	 47 	 11110111 	 247 	 13522896 
2021-05-25 08:32:28	 521 	c1254 	6323 	 48 	 10110110 	 182 	 13522920 
2021-05-25 08:32:28	 526 	c1254 	6323 	 49 	 10110100 	 180 	 13522968 
2021-05-25 08:32:28	 949 	c1254 	6323 	 51 	 00000000 	 0 	 13526976 
2021-05-25 08:32:28	1125 	c1254 	6323 	 52 	 10101010 	 170 	 13528680 
2021-05-25 08:32:28	1145 	c1254 	6324 	 53 	 11111011 	 251 	 13528872 
