Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-25 23:01:09	 744 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-26 07:31:09	 842 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2021-05-26 07:41:15	 124 	c1254 	6356 	 42 	 10101000 	 168 	 8367728 	 296	 337	 266	 375	 70	 507	 
2021-05-26 07:41:22	 497 	c1254 	6357 	 46 	 10101000 	 168 	 8448296 	 297	 337	 266	 375	 70	 507	 
2021-05-26 08:40:27	 676 	c1254 	6358 	 54 	 10111000 	 184 	 13822632 	 297	 337	 266	 375	 71	 507	 
2021-05-26 08:40:38	 771 	c1254 	6359 	 62 	 01110100 	 116 	 13943976 	 297	 337	 267	 375	 71	 508	 
2021-05-26 08:42:36	 247 	c1254 	6360 	 69 	 01110100 	 116 	 15230064 	 297	 337	 268	 375	 71	 509	 
2021-05-26 08:42:38	  96 	c1254 	6361 	 73 	 01010100 	 84 	 15250512 	 298	 337	 268	 375	 71	 509	 
2021-05-26 08:42:39	 732 	c1254 	6362 	 79 	 01110100 	 116 	 15267456 	 298	 337	 269	 375	 71	 509	 
2021-05-26 08:42:42	 361 	c1254 	6363 	 83 	 01010100 	 84 	 15296760 	 299	 337	 269	 375	 71	 509	 
2021-05-26 08:42:44	1058 	c1254 	6365 	 91 	 01110100 	 116 	 15325224 	 299	 337	 270	 375	 71	 509	 
2021-05-26 08:42:47	1028 	c1254 	6366 	 99 	 01110100 	 116 	 15357744 	 299	 337	 271	 375	 71	 509	 
2021-05-26 08:42:58	 103 	c1254 	6367 	 105 	 01111000 	 120 	 15469248 	 299	 337	 271	 376	 71	 509	 
2021-05-26 08:43:49	 328 	c1254 	6368 	 111 	 01110100 	 116 	 16028616 	 299	 337	 272	 376	 71	 510	 
2021-05-26 08:43:51	 472 	c1254 	6370 	 118 	 11110100 	 244 	 16051824 	 300	 337	 272	 376	 71	 510	 
2021-05-26 08:44:00	 944 	c1254 	6371 	 125 	 01111000 	 120 	 16154592 	 300	 337	 272	 377	 71	 510	 
2021-05-26 08:45:33	 758 	c1254 	6372 	 129 	 01010100 	 84 	 390944 	 301	 337	 272	 377	 71	 510	 
2021-05-26 08:45:35	 414 	c1254 	6373 	 135 	 10110100 	 180 	 409520 	 301	 338	 272	 377	 71	 511	 
2021-05-26 08:45:38	 228 	c1254 	6374 	 141 	 01111000 	 120 	 440504 	 301	 338	 272	 378	 71	 511	 
2021-05-26 08:46:46	 400 	c1254 	6375 	 147 	 01110100 	 116 	 1183736 	 301	 338	 273	 378	 71	 512	 
2021-05-26 08:46:50	 616 	c1254 	6376 	 153 	 01111000 	 120 	 1229384 	 301	 338	 273	 379	 71	 512	 
2021-05-26 08:47:45	  72 	c1254 	6377 	 159 	 01110100 	 116 	 1823720 	 301	 338	 274	 379	 71	 513	 
2021-05-26 08:47:55	 114 	c1254 	6378 	 167 	 01111000 	 120 	 1933064 	 301	 338	 274	 380	 71	 513	 
2021-05-26 08:49:56	 553 	c1254 	6379 	 173 	 10110100 	 180 	 3254744 	 301	 339	 274	 380	 71	 514	 
2021-05-26 08:50:01	 155 	c1254 	6380 	 182 	 11111000 	 248 	 3305408 	 302	 339	 274	 380	 71	 514	 
2021-05-26 08:51:10	 604 	c1254 	6382 	 190 	 01110100 	 116 	 4060448 	 302	 339	 275	 380	 71	 515	 
2021-05-26 08:51:16	 640 	c1254 	6383 	 196 	 01111000 	 120 	 4126064 	 302	 339	 275	 381	 71	 515	 
2021-05-26 08:52:38	 131 	c1254 	6384 	 204 	 10110100 	 180 	 5012816 	 302	 340	 275	 381	 71	 516	 
2021-05-26 08:52:47	 150 	c1254 	6385 	 212 	 01111000 	 120 	 5110832 	 302	 340	 275	 382	 71	 516	 
2021-05-26 08:53:56	 606 	c1254 	6387 	 220 	 10110100 	 180 	 5865008 	 302	 341	 275	 382	 71	 517	 
2021-05-26 08:54:01	 348 	c1254 	6388 	 226 	 01111000 	 120 	 5916896 	 302	 341	 275	 383	 71	 517	 
