FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,Antenna PIT tag ID 1,BTO ring derived from Antenna ID 1,Bird Sex derived from Antenna ID 1,Antenna Pit tag ID 2,BTO ring derived from Antenna ID 2,Bird Sex derived from Antenna ID 2,numberTrapAttemptsF,numberTrapAttemptsM,Female Ring number from trapping,Feacal sample female?,Male ring number from trapping,Feacal sample male?,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,Feacal sample?,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
,MW,1,1,BLUTI,cleaned/EN2,16/06/2020,,74,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN2/CO/BLUTI,,,,,NP/EN2/CO/OLD/ABANDONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,3,1,GRETI,cleaned/EN0/YX0,16/06/2020,,UNK,UNK,,,,,,,,,,71,0,,82,82,,,01103F5C20,ABL3835,,unk,,,,1,,,AKL0614,Y,85,84,5,0,N,,,,,,108,MW3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/FX/YN?(5?)/GRETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,4,1,,cleaned,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YX?(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,5,1,BLUTI,N0,16/06/2020,,,,,,,,,,,,,74,0,,84,na,na,,,,,,,,,,,,,,86,na,,,,0,,,,,78,MW5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/FX/YN?(2)/BLUTI,,,YX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,6,1,,cleaned,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,7,1,GRETI,cleaned/EN5,16/06/2020,,71,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/EN5/CO/GRETI,,,,,NP/EN7/CO/OLD/ABANDONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,8,,,N0,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,9,1,GRETI,cleaned/EN5/YX0,16/06/2020,,,,,,,,,,,,,60,0,1,71,na,na,,011016F437,"
Z066346",F,01103F7A32,Z066321,M,,,,,,,74,77,6,0,N,,,,,,108,MW9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN6(12?)/GRETI/VC1/8:38-10:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN5/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,10,,,N0,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YX7(2)/EN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,11,1,GRETI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,73,0,,84,84,84,,01103F5F62,Y584492,,01101706A5,Z066611,M,,,Y584492,Y,Z066611,Y,87,87,5,0,Y,,,,,,108,MW11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/FX/YN?(3)/GRETI/NDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
