FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,Antenna PIT tag ID 1,BTO ring derived from Antenna ID 1,Bird Sex derived from Antenna ID 1,Antenna Pit tag ID 2,BTO ring derived from Antenna ID 2,Bird Sex derived from Antenna ID 2,numberTrapAttemptsF,numberTrapAttemptsM,Female Ring number from trapping,Feacal sample female?,Male ring number from trapping,Feacal sample male?,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,Feacal sample?,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
,MW,1,1,BLUTI,EMPTY,25/06/2021,,55,65,0,,,,,9,1,68,79,81,1,0,91,,,,01103F9169,,,NA,,,1,,AKL0744,N,,,95,95,4,0,,9,,,,,117,MW1,N1,,,,,,,,,,,,,,,,N3,,,,,,N5,,,,,N5,,,,,N5,,,,,N5,,,,,EN3/CO/NP/BLUTI/12:45,,,,,EN6\CO\NP\BLUTI\11:11,,,,,EN9/CO/NP/BLUTI/11:07,,,,EN7/FP/NDX/FX/BLUTI/16:54,,,,,,,,,EN9/NP/WA/12:05,EN6/YN3(1)/NP/BLUTI/9:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MW,3,1,BLUTI,YX5/EN1/11:00/ABANDONED/CLEANED,18/05/2021,,52,58,1,,,,,7,1,58,69,73,1,1,NA,,,,,,,,,,,,,,,,NA,,,,,0,5,,,,79,MW3,N0,,,,,,,,,,,,,,,,N3,,,,,,N3,,,,,N4,,,,,N5,,,,,N5/EN1/CO/NP/11:23/BLUTI?,,,,,EN6/CO/NP/BLUTI/12:55,,,,,EN7\FP\NDX\FX\BLUTI\11:25,,,,,INC,,,EN7/yn0/FP/NDX/FL/12:49,EN7/YN0/FP/NDX/FL/BLUTI/17:01,,FP/FX/YN2(1)/EN2+/BLUTI/12:35,,,,,,YX5/EN1/11:00/ABANDONED/CLEANED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,4,1,GRETI,EMPTY,25/06/2021,,61,63,1,,,,,3,1,68,79,79,1,,90,90,NA,,01103FE30A,,,01103F68B8,,,,1,,,,Y,93,93,2,0,,3,,,,,117,MW4,N0,,,,,,,,,,,,,,,,N0,,,,,,NC,,,,,N1/BLUTI?,,,,,N2/3,,,,,N4,,,,,N5,,,,,EN2\CO\NP\GRETI\10:35,,,,,EN3/CO/NP/GRETI/10:30,,,,EN3/FP/NDX/FX/GRETI/16:25,,,,,,,,,FP/FX/YN2+(2)/GRETI/12:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MW,5,1,BLUTI,EMPTY/BATS (brown long-eared),25/06/2021,,59,63,1,,,,,5,1,63,74,78,1,0,NA,,,,01103FA5B7,,,01103FB191,,,,,,,,,92,93,5,0,,5,,,,,117,MW5,N0,,,,,,,,,,,,,,,,N1,,,,,,N2,,,,,N2,,,,,N4,,,,,N4,,,,,N5,,,,,EN4\CO\NP\BLUTI\10:37,,,,,EN5/FP/NDX/FL/WA/10:32,,,,INC,,,,EN5/YN0/NP/WA/11:01,EN5/YN0/FP/NDX/FL/BLUTI/13:00,,EN0/YN5(1)/NP/11:55 1 runt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY/BATS (brown long-eared),,,,,,,,,,,,,,,,,,,,
,MW,6,1,BLUTI,EN1,25/06/2021,,41,58,0,,,,,11,1,58,69,75,1,2,85,NA,NA,,01103F969B,,,01103F615B,,,,,,,,,89,89,3,0,,9,,,,,117,MW6,N0,,,,,,,,,,,,,,,,N3,,,,,,N4,,,,,N5/EN2/CO/NP/11:25,,,,,N5/EN3/CO/NP/10:25,,,,,N5/EN5/CO/NP/10:40,,,,,EN10/CO/NP/BLUTI/11:05 DIDNT LAY CONTINUOUSLY,,,,,EN11\FP\NDX\FL\BLUTI\10:35,,,,,INC,,,EN11/YN0/FP/NDX/FL/12:45,EN11/YN0/FP/NDX/FL/BLUTI/16:27,,NP/EN11/WA/BLUTI/12:37,,EN4/YN0/YN7(1)/NP/BLUTI/11:00,,,,,VC2/10:10/NP-12:37/NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN1,,,,,,,,,,,,,,,,,,,,
,MW,7,1,,NC (old),10/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW7,N0,,,,,,,,,,,,,,,,NC,,,,,,NC,,,,,NC,,,,,NC,,,,,NC,,,,,NC,,,,,NC,,,,,NC (OLD),,,,NC (old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,8,1,GRETI,EN0/YNX3(?)/ all ringed ,25/06/2021,,48,,,,,,,6,1,53,64,68,0,,79,,80,,01103FCE5C,,,,,,,,AAJ5726,,,,82,81,3,1,NA,3,,,3,,117,MW8,N0,,,,,,,,,,,,,,,,N0,,,,,,N1,,,,,N3,,,,,N4,,,,,N4/EN5/CO/NP/10:30,,,,,EN6/FP/FL/ND/GRETI/11:52,,,,,,,EN5/CO/NP/ABANDONED/10:15,,,,,,,,,,,,,,,YN5?(12?),VC1/10:00/FP-12:45/NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN0/YNX3(?)/ all ringed ,,,,,,,,,,,,,,,,,,,,
,MW,9,1,GRETI,EN13,25/06/2021,Possibly abandoned - eggs cold - layed more eggs and reincubated,47,83,0,,,,,13,1,83,NA,,,,NA,,,,,,,,,,,,,,,,NA,,,,,,,,,,117,MW9,N0,,,,,,,,,,,,,,,,N1,,,,,,N3,,,,,N4/FP/GRETI/EN0/NDX/FX,,,,,N4/EN1/CO/NP/10:01,,,,,N5/EN6/CO/NP/10:20,,,,,EN8/FP/FX/NDX/GRETI/11:45,,,,,,,,,EN8/FP/NDX/FX/10:55,EN8/FP/ND/FX/GRETI/10:20,FP/FX/EN6+/YN0/GRETI/11:20,,EN8/YN0/FP/NDX/FX/12:37,EN8/YN0/NP/WA/GRETI/15:02,,FP/FX/EN6/YN0/12:40,,EN8/YN0/NP/CO/11:07,EN8/YN0/CO/NP/GRETI/13:10,,EN8/NP/CO/11:47,,,,,,,,,,EN13/WA/NP/GRETI/11:15,,,,,,,,,,,,EN13/FP/ND/FX/11:20,EN13/NP/CO/12 Abandonded again - eggs not developed (could see yolks),,,,,,,,,,,,,,,,EN13,,,,,,,,,,,,,,,,,,,,
,MW,10,1,,EMPTY,25/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,MW10,N0,,,,,,,,,,,,,,,,N1,,,,,,N1,,,,,N1,,,,,N1,,,,,N5,,,,,N5,,,,,N5,,,,,N5 (OLD),,,,N5 (OLD),,,,,N5,,,,,N5,,,,,,,,,N5 (OLD),,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
,MW,11,1,BLUTI,EMPTY,25/06/2021,,60,66,1,,,,,7,1,67,78,80,1,0,90,NA,NA,,01103F93A1,,,01103FC730,,,,,,,,,94,93,7,0,,7,,,,,117,MW11,N0,,,,,,,,,,,,,,,,NC,,,,,,N2,,,,,N2,,,,,N3,,,,,N3/Dead BLUTI in box AKL0731,,,,,N3,,,,,N5\EN3\CO\NP\GRETI?\10:35,,,,,EN7/CO/NP/BLUTI?/10:15,,,,EN7/FP/ND/FL/BLUTI/15:00,,,,,,,EN7/YN0/NP/WA/BLUTI/11:45,,EN1/YN6(1)/FA/BLUTI/13:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,,
