"","RFID","Row.names","X","Date","Hmsec","CounterID","nestbox","year","latency","repeat_birds","age","sex","Age2019BreedingSeason","Age2020BreedingSeason","Age2021BreedingSeason"
"1","011016C265","5",1,"2019-05-03 08:05:05",796,"c1272 ","mw102",2019,452,FALSE,"1","","juvenile","adult","adult"
"2","011016E3A5","1",1,"2019-05-03 08:07:45",500,"c1252 ","mw10",2019,209,FALSE,"3","F","juvenile","adult","adult"
"3","011016ED44","27",1,"2019-05-05 12:14:18",739,"c1252 ","mw140",2019,315,FALSE,"1","","juvenile","adult","adult"
"4","011016F437","130",1,"2019-04-19 15:44:25",899,"c1272 ","mw9",2019,663,FALSE,NA,NA,NA,NA,NA
"5","011016F4AD","94",1,"2019-05-15 10:55:15",374,"c1252 ","mw52",2019,1681,FALSE,"1","","juvenile","adult","adult"
"6","011016F4AD","112",1,"2020-05-17 10:49:37",668,"c1272 ","mw66",2020,787,TRUE,"1","","juvenile","adult","adult"
"7","011016F9DA","99",1,"2019-05-14 12:10:41",187,"c1256 ","mw56",2019,614,FALSE,NA,NA,NA,NA,NA
"8","011016FA36","115",1,"2019-05-22 09:58:45",695,"c1254 ","mw73",2019,395,FALSE,NA,NA,NA,NA,NA
"9","011016FA48","33",1,"2019-05-18 08:52:39",230,"c1252 ","mw15",2019,522,FALSE,NA,NA,NA,NA,NA
"10","011016FB0C","102",1,"2019-05-09 13:26:57",964,"c1256 ","mw6",2019,755,TRUE,NA,NA,NA,NA,NA
"11","011016FB0C","36",1,"2020-05-15 10:08:30",556,"c1272 ","mw15",2020,199,FALSE,NA,NA,NA,NA,NA
"12","011016FB39","110",1,"2019-05-18 11:03:56",879,"c1252 ","mw66",2019,398,FALSE,NA,NA,NA,NA,NA
"13","011016FBDD","127",1,"2020-05-20 09:04:42",282,"c1254 ","mw89",2020,688,TRUE,"3","","juvenile","adult","adult"
"14","011016FBDD","69",1,"2019-05-09 10:17:44",744,"c1256 ","mw34",2019,568,FALSE,"3","","juvenile","adult","adult"
"15","011016FD16","122",1,"2021-05-16 09:25:25",585,"c1252 ","mw78",2021,352,TRUE,"3","","juvenile","adult","adult"
"16","011016FD16","105",1,"2020-05-17 10:37:45",1057,"c1256 ","mw60",2020,871,TRUE,"3","","juvenile","adult","adult"
"17","011016FD16","95",2,"2019-05-15 10:31:59",926,"c1252 ","mw52",2019,285,FALSE,"3","","juvenile","adult","adult"
"18","011016FE22","124",1,"2019-05-05 10:19:50",945,"c1252 ","mw8",2019,130,FALSE,NA,NA,NA,NA,NA
"19","011016FE28","8",1,"2019-05-15 13:01:21",1087,"c1252 ","mw106",2019,528,FALSE,"3","F","juvenile","adult","adult"
"20","01101701B5","19",1,"2020-05-15 12:27:03",207,"c1254 ","mw113",2020,1526,TRUE,"3","F","juvenile","adult","adult"
"21","01101701B5","16",1,"2019-05-10 09:38:05",1009,"c1252 ","mw113",2019,1777,FALSE,"3","F","juvenile","adult","adult"
"22","01101706A5","13",1,"2020-05-17 09:18:14",653,"c1272 ","mw11",2020,898,TRUE,NA,NA,NA,NA,NA
"23","01101706A5","9",2,"2019-05-15 12:55:45",112,"c1252 ","mw106",2019,192,FALSE,NA,NA,NA,NA,NA
"24","0110170740","118",1,"2019-05-15 11:58:01",514,"c1252 ","mw75",2019,2353,FALSE,NA,NA,NA,NA,NA
"25","0110170740","120",1,"2020-05-20 12:38:46",1019,"c1256 ","mw75",2020,1469,TRUE,NA,NA,NA,NA,NA
"26","0110170A4E","67",1,"2020-05-19 10:56:27",340,"c1254 ","mw30",2020,844,FALSE,NA,NA,NA,NA,NA
"27","0110170AED","34",2,"2019-05-18 08:53:32",1035,"c1252 ","mw15",2019,575,FALSE,NA,NA,NA,NA,NA
"28","0110170C32","11",1,"2020-05-20 11:19:37",231,"c1256 ","mw106",2020,2234,FALSE,"3J","","adult","adult","adult"
"29","0110170C32","45",1,"2019-05-22 12:36:23",926,"c1254 ","mw25",2019,1019,TRUE,"3J","","adult","adult","adult"
"30","0110170C32","48",1,"2020-05-20 11:19:37",231,"c1256 ","mw25",2020,2234,TRUE,"3J","","adult","adult","adult"
"31","01101715AA","17",2,"2019-05-10 09:16:53",330,"c1252 ","mw113",2019,505,FALSE,"3J","","juvenile","adult","adult"
"32","01101715AF","2",2,"2019-05-03 08:07:07",914,"c1252 ","mw10",2019,171,FALSE,"3J","","adult","adult","adult"
"33","01101717C8","38",1,"2020-05-15 10:24:22",35,"c1252 ","mw19",2020,848,FALSE,NA,NA,NA,NA,NA
"34","011017193C","128",2,"2020-05-20 09:06:12",1021,"c1254 ","mw89",2020,778,FALSE,"3","F","notBornYet","juvenile","adult"
"35","01101719EF","116",2,"2019-05-22 09:52:10",237,"c1254 ","mw73",2019,0,FALSE,NA,NA,NA,NA,NA
"36","0110171B3A","21",1,"2019-05-01 12:07:09",113,"c1272 ","mw115",2019,1127,FALSE,"1","","juvenile","adult","adult"
"37","0110172636","24",1,"2019-05-10 09:26:38",220,"c1256 ","mw129",2019,682,FALSE,NA,NA,NA,NA,NA
"38","0110172A7D","79",1,"2019-05-14 10:59:38",413,"c1256 ","mw41",2019,484,FALSE,"3J","","adult","adult","adult"
"39","011017319D","28",2,"2019-05-05 12:23:20",746,"c1252 ","mw140",2019,857,FALSE,"1","","juvenile","adult","adult"
"40","01101737FA","6",2,"2019-05-03 08:05:19",722,"c1272 ","mw102",2019,466,FALSE,"3","","juvenile","adult","adult"
"41","01101738A7","80",2,"2019-05-14 10:58:37",891,"c1256 ","mw41",2019,423,FALSE,NA,NA,NA,NA,NA
"42","01101738AB","103",2,"2019-05-09 13:23:10",853,"c1256 ","mw6",2019,528,FALSE,NA,NA,NA,NA,NA
"43","0110173AAF","97",1,"2019-05-09 09:24:32",491,"c1252 ","mw55",2019,1237,FALSE,"3J","","adult","adult","adult"
"44","0110174603","46",2,"2019-05-22 12:28:57",766,"c1254 ","mw25",2019,573,FALSE,"3","M","juvenile","adult","adult"
"45","011017483B","22",2,"2019-05-01 11:56:17",416,"c1272 ","mw115",2019,475,FALSE,"3J","","adult","adult","adult"
"46","0110174D11","108",1,"2019-05-17 10:59:51",473,"c1254 ","mw64",2019,304,FALSE,"3J","","adult","adult","adult"
"47","0110174D6C","84",1,"2019-05-07 11:38:59",532,"c1256 ","mw45",2019,437,FALSE,"3","M","juvenile","adult","adult"
"48","0110174FC8","58",1,"2020-05-15 12:23:46",978,"c1256 ","mw27",2020,781,TRUE,NA,NA,NA,NA,NA
"49","0110174FC8","55",1,"2019-05-10 10:19:33",4,"c1252 ","mw27",2019,1258,FALSE,NA,NA,NA,NA,NA
"50","0110174FC8","60",1,"2021-05-16 09:28:50",185,"c1272 ","mw28",2021,773,TRUE,NA,NA,NA,NA,NA
"51","01101750E1","133",1,"2019-05-04 08:41:38",23,"c1254 ","mw93",2019,438,FALSE,"5","F","juvenile","adult","adult"
"52","01103F4609","25",2,"2019-05-10 09:19:14",285,"c1256 ","mw129",2019,238,FALSE,"6","M","adult","adult","adult"
"53","01103F502D","31",1,"2020-05-17 09:33:38",1068,"c1256 ","mw142",2020,686,FALSE,"5","M","juvenile","adult","adult"
"54","01103F51E9","89",1,"2021-05-07 10:25:42",101,"c1252 ","mw45",2021,798,TRUE,"3","M","notBornYet","juvenile","adult"
"55","01103F51E9","86",1,"2020-05-19 12:19:40",397,"c1252 ","mw45",2020,355,FALSE,"3","M","notBornYet","juvenile","adult"
"56","01103F52F9","90",2,"2021-05-07 10:29:41",858,"c1252 ","mw45",2021,1037,FALSE,"5","F","notBornYet","juvenile","adult"
"57","01103F5952","52",1,"2020-05-19 10:00:19",392,"c1254 ","mw26",2020,1264,TRUE,"5","F","notBornYet","juvenile","adult"
"58","01103F5952","50",1,"2021-05-20 09:59:20",1104,"c1252 ","mw25",2021,1580,FALSE,"5","F","notBornYet","juvenile","adult"
"59","01103F5B01","70",2,"2019-05-09 10:17:33",958,"c1256 ","mw34",2019,557,FALSE,"5","F","juvenile","adult","adult"
"60","01103F5C20","65",1,"2020-05-16 10:06:06",576,"c1254 ","mw3",2020,1026,FALSE,"5","F","notBornYet","juvenile","adult"
"61","01103F5E04","106",2,"2020-05-17 10:36:38",838,"c1256 ","mw60",2020,804,FALSE,"3","M","notBornYet","juvenile","adult"
"62","01103F5E08","53",2,"2020-05-19 09:48:29",510,"c1254 ","mw26",2020,554,FALSE,"3","M","notBornYet","juvenile","adult"
"63","01103F5F62","14",2,"2020-05-17 09:05:45",85,"c1272 ","mw11",2020,149,FALSE,"5","F","notBornYet","juvenile","adult"
