,RFID,Row.names,X,Date,Hmsec,CounterID,nestbox,year,latency,repeat_birds,sex,Age2019BreedingSeason,Age2020BreedingSeason,Age2021BreedingSeason,ageFinal
14,011016FD16,112,1,16/05/2021 09:25,585,c1252 ,mw78,2021,352,TRUE,F,juvenile,adult,adult,adult
49,01103F51E9,82,1,07/05/2021 10:25,101,c1252 ,mw45,2021,798,TRUE,M,notBornYet,juvenile,adult,adult
51,01103F52F9,83,2,07/05/2021 10:29,858,c1252 ,mw45,2021,1037,FALSE,F,notBornYet,juvenile,adult,adult
52,01103F5952,49,1,20/05/2021 09:59,1104,c1252 ,mw25,2021,1580,TRUE,F,notBornYet,juvenile,adult,adult
58,01103F68B8,72,1,24/05/2021 11:16,348,c1252 ,mw4,2021,2521,FALSE,M,notBornYet,juvenile,adult,adult
67,01103FE30A,73,2,24/05/2021 11:04,292,c1252 ,mw4,2021,1782,FALSE,F,notBornYet,notBornYet,juvenile,juvenile
5,011016F4AD,98,1,17/05/2020 10:49,668,c1272 ,mw60,2020,787,TRUE,M,juvenile,adult,adult,adult
10,011016FB0C,35,1,15/05/2020 10:08,556,c1272 ,mw15,2020,199,TRUE,F,NA,NA,NA,adult
12,011016FBDD,117,1,20/05/2020 09:04,282,c1254 ,mw89,2020,688,TRUE,M,juvenile,adult,adult,adult
19,01101701B5,19,1,15/05/2020 12:27,207,c1254 ,mw113,2020,1526,TRUE,F,juvenile,adult,adult,adult
20,01101706A5,13,1,17/05/2020 09:18,653,c1272 ,mw11,2020,898,TRUE,M,NA,NA,NA,adult
23,110170740,110,1,20/05/2020 12:38,1019,c1256 ,mw75,2020,1469,TRUE,F,NA,NA,NA,adult
24,0110170A4E,63,1,19/05/2020 10:56,340,c1254 ,mw30,2020,844,FALSE,F,NA,NA,NA,juvenile
26,0110170C32,11,1,20/05/2020 11:19,231,c1256 ,mw106,2020,2234,TRUE,F,adult,adult,adult,adult
28,0110170C32,47,1,20/05/2020 11:19,231,c1256 ,mw25,2020,2234,TRUE,F,adult,adult,adult,adult
31,01101717C8,37,1,15/05/2020 10:24,35,c1252 ,mw19,2020,848,FALSE,M,NA,NA,NA,adult
32,011017193C,118,2,20/05/2020 09:06,1021,c1254 ,mw89,2020,778,FALSE,F,notBornYet,juvenile,adult,juvenile
45,0110174FC8,57,1,15/05/2020 12:23,978,c1256 ,mw27,2020,781,TRUE,F,NA,NA,NA,adult
48,01103F502D,30,1,17/05/2020 09:33,1068,c1256 ,mw142,2020,686,FALSE,M,juvenile,adult,adult,adult
50,01103F51E9,79,1,19/05/2020 12:19,397,c1252 ,mw45,2020,355,TRUE,M,notBornYet,juvenile,adult,juvenile
