"","site","box_number","site_box_number","species","antenna_pit_tag_id_1","antenna_pit_tag_id_2","number_fledged","year"
"1","MW","3","MW3","GRETI","01103F5C20","unk",NA,"2020"
"2","MW","7","MW7","GRETI","","",NA,"2020"
"3","MW","9","MW9","GRETI","011016F437","01103F7A32",NA,"2020"
"4","MW","11","MW11","GRETI","01103F5F62","01101706A5",NA,"2020"
"5","MW","15","MW15","GRETI","011016FB0C","unk",NA,"2020"
"6","MW","17","MW17","GRETI","","",NA,"2020"
"7","MW","19","MW19","GRETI","01103FE1F3","01101717C8",NA,"2020"
"8","MW","22","MW22","GRETI","01103FDB47","01103FE413",NA,"2020"
"9","MW","25","MW25","GRETI","0110170C32","unk",0,"2020"
"10","MW","26","MW26","GRETI","01103F5E08","01103F5952",NA,"2020"
"11","MW","27","MW27","GRETI","0110174FC8","unk/no visits?",NA,"2020"
"12","MW","29","MW29","GRETI","01103FE70C","unk",0,"2020"
"13","MW","30","MW30","GRETI","0110170A4E","",NA,"2020"
"14","MW","36","MW36","GRETI","01103FE319","unk",NA,"2020"
"15","MW","45","MW45","GRETI","01103F51E9","01103F9A3A",NA,"2020"
"16","MW","49","MW49","GRETI","01103FD262","unk",NA,"2020"
"17","MW","59","MW59","GRETI","01103FE558","01103F8D8E",NA,"2020"
"18","MW","60","MW60","GRETI","011016FD16","01103F5E04",NA,"2020"
"19","MW","64","MW64","GRETI","","",NA,"2020"
"20","MW","66","MW66","GRETI","011016F4AD","01103FDC8F",NA,"2020"
"21","MW","73","MW73","GRETI","011016FB74","unk",NA,"2020"
"22","MW","75","MW75","GRETI","01103FDF3E","110170740",2,"2020"
"23","MW","89","MW89","GRETI","011017193C","011016FBDD",NA,"2020"
"24","MW","106","MW106","GRETI","011016FA48","unk",NA,"2020"
"25","MW","113","MW113","GRETI","01101701B5","unk",NA,"2020"
"26","MW","140","MW140","GRETI","unk","unk",NA,"2020"
"27","MW","142","MW142","GRETI","01103FE022","01103F502D",NA,"2020"
"28","CH","1","CH1","GRETI","","",NA,"2020"
