,RFID,X.1,Row.names,X,Date,Hmsec,CounterID,nestbox,year,latency,repeat_birds,sex,Age2019BreedingSeason,Age2020BreedingSeason,Age2021BreedingSeason,ageFinal,number_fledged,site_box_number,
1,011016C265,1,5,1,03/05/2019 08:05,796,c1272 ,mw102,2019,452,FALSE,M,juvenile,adult,adult,juvenile,6,MW10,
2,011016C265,1,5,1,03/05/2019 08:05,796,c1272 ,mw102,2019,452,FALSE,M,juvenile,adult,adult,juvenile,NA,MW7,
3,011016E3A5,2,1,1,03/05/2019 08:07,500,c1252 ,mw10,2019,209,FALSE,F,juvenile,adult,adult,juvenile,1,MW102,
4,011016ED44,3,27,1,05/05/2019 12:14,739,c1252 ,mw140,2019,315,FALSE,F,juvenile,adult,adult,juvenile,NA,NA,
5,011016F4AD,4,87,1,15/05/2019 10:55,374,c1252 ,mw52,2019,1681,TRUE,M,juvenile,adult,adult,juvenile,7,MW52,
6,011016F9DA,6,92,1,14/05/2019 12:10,187,c1256 ,mw56,2019,614,FALSE,M,NA,NA,NA,adult,NA,MW56,
7,011016FA36,7,105,1,22/05/2019 09:58,695,c1254 ,mw73,2019,395,FALSE,M,NA,NA,NA,adult,6,MW73,
8,011016FA48,8,32,1,18/05/2019 08:52,230,c1252 ,mw15,2019,522,FALSE,M,NA,NA,NA,adult,8,MW15,
9,011016FB0C,9,95,1,09/05/2019 13:26,964,c1256 ,mw6,2019,755,TRUE,F,NA,NA,NA,adult,6,MW6,
10,011016FB39,11,103,1,18/05/2019 11:03,879,c1252 ,mw66,2019,398,FALSE,F,NA,NA,NA,adult,0,MW66,
11,011016FBDD,13,65,1,09/05/2019 10:17,744,c1256 ,mw34,2019,568,TRUE,M,juvenile,adult,adult,juvenile,8,MW34,
12,011016FD16,15,88,2,15/05/2019 10:31,926,c1252 ,mw52,2019,285,TRUE,F,juvenile,adult,adult,juvenile,7,MW52,
13,011016FE22,16,114,1,05/05/2019 10:19,945,c1252 ,mw8,2019,130,FALSE,M,NA,NA,NA,adult,0,MW8,
14,011016FE28,17,8,1,15/05/2019 13:01,1087,c1252 ,mw106,2019,528,FALSE,F,juvenile,adult,adult,juvenile,7,MW106,
15,01101701B5,18,16,1,10/05/2019 09:38,1009,c1252 ,mw113,2019,1777,TRUE,F,juvenile,adult,adult,juvenile,6,MW113,
16,01101706A5,21,9,2,15/05/2019 12:55,112,c1252 ,mw106,2019,192,TRUE,M,NA,NA,NA,juvenile,7,MW106,
17,0110170AED,25,33,2,18/05/2019 08:53,1035,c1252 ,mw15,2019,575,FALSE,F,NA,NA,NA,adult,8,MW15,
18,0110170C32,27,44,1,22/05/2019 12:36,926,c1254 ,mw25,2019,1019,TRUE,F,adult,adult,adult,adult,9,MW25,
19,01101715AA,29,17,2,10/05/2019 09:16,330,c1252 ,mw113,2019,505,FALSE,M,juvenile,adult,adult,juvenile,6,MW113,
20,01101715AF,30,2,2,03/05/2019 08:07,914,c1252 ,mw10,2019,171,FALSE,M,adult,adult,adult,adult,1,MW102,
21,01101719EF,33,106,2,22/05/2019 09:52,237,c1254 ,mw73,2019,0,FALSE,F,NA,NA,NA,adult,6,MW73,
22,0110171B3A,34,21,1,01/05/2019 12:07,113,c1272 ,mw115,2019,1127,FALSE,F,juvenile,adult,adult,juvenile,NA,NA,
23,011017319D,36,28,2,05/05/2019 12:23,746,c1252 ,mw140,2019,857,FALSE,M,juvenile,adult,adult,juvenile,3,MW140,
24,01101737FA,37,6,2,03/05/2019 08:05,722,c1272 ,mw102,2019,466,FALSE,F,juvenile,adult,adult,juvenile,NA,MW7,
25,01101737FA,37,6,2,03/05/2019 08:05,722,c1272 ,mw102,2019,466,FALSE,F,juvenile,adult,adult,juvenile,6,MW10,
26,01101738AB,38,96,2,09/05/2019 13:23,853,c1256 ,mw6,2019,528,FALSE,M,NA,NA,NA,adult,6,MW6,
27,0110173AAF,39,90,1,09/05/2019 09:24,491,c1252 ,mw55,2019,1237,FALSE,M,adult,adult,adult,adult,4,MW55,
28,011017483B,41,22,2,01/05/2019 11:56,416,c1272 ,mw115,2019,475,FALSE,M,adult,adult,adult,adult,NA,MW115,
29,0110174D11,42,101,1,17/05/2019 10:59,473,c1254 ,mw64,2019,304,FALSE,F,adult,adult,adult,adult,4,MW64,
30,0110174D6C,43,77,1,07/05/2019 11:38,532,c1256 ,mw45,2019,437,FALSE,M,juvenile,adult,adult,juvenile,3,MW45,
31,0110174FC8,44,54,1,10/05/2019 10:19,4,c1252 ,mw27,2019,1258,TRUE,F,NA,NA,NA,adult,10,MW27,
32,01103F4609,47,25,2,10/05/2019 09:19,285,c1256 ,mw129,2019,238,FALSE,M,adult,adult,adult,adult,9,MW129,
33,01103F5B01,54,66,2,09/05/2019 10:17,958,c1256 ,mw34,2019,557,FALSE,F,juvenile,adult,adult,juvenile,8,MW34,
34,01103F706A,59,93,2,14/05/2019 12:25,325,c1256 ,mw56,2019,1475,FALSE,F,NA,NA,NA,adult,NA,MW56,
35,01103F8B9A,60,75,1,07/05/2019 11:26,979,c1272 ,mw44,2019,238,FALSE,M,juvenile,adult,adult,juvenile,6,MW44,
36,1.10E+07,46,120,1,04/05/2019 08:41,23,c1254 ,mw93,2019,438,FALSE,F,juvenile,adult,adult,juvenile,4,MW93,
37,110170740,22,108,1,15/05/2019 11:58,514,c1252 ,mw75,2019,2353,TRUE,F,NA,NA,NA,adult,5,MW75,
38,110172636,35,24,1,10/05/2019 09:26,220,c1256 ,mw129,2019,682,FALSE,F,NA,NA,NA,juvenile,NA,NA,
39,110174603,40,45,2,22/05/2019 12:28,766,c1254 ,mw25,2019,573,FALSE,M,juvenile,adult,adult,juvenile,9,MW25,
40,419483034,121,56,3,10/05/2019 10:02,718,c1252 ,mw27,2019,262,FALSE,M,NA,NA,NA,adult,10,MW27,
41,011016F4AD,5,98,1,17/05/2020 10:49,668,c1272 ,mw60,2020,787,TRUE,M,juvenile,adult,adult,adult,NA,MW66,
42,011016FB0C,10,35,1,15/05/2020 10:08,556,c1272 ,mw15,2020,199,TRUE,F,NA,NA,NA,adult,NA,MW15,
43,011016FBDD,12,117,1,20/05/2020 09:04,282,c1254 ,mw89,2020,688,TRUE,M,juvenile,adult,adult,adult,NA,MW89,
44,01101701B5,19,19,1,15/05/2020 12:27,207,c1254 ,mw113,2020,1526,TRUE,F,juvenile,adult,adult,adult,NA,MW113,
45,01101706A5,20,13,1,17/05/2020 09:18,653,c1272 ,mw11,2020,898,TRUE,M,NA,NA,NA,adult,NA,MW11,
46,0110170A4E,24,63,1,19/05/2020 10:56,340,c1254 ,mw30,2020,844,FALSE,F,NA,NA,NA,juvenile,NA,MW30,
47,0110170C32,26,11,1,20/05/2020 11:19,231,c1256 ,mw106,2020,2234,TRUE,F,adult,adult,adult,adult,0,MW25,
48,0110170C32,28,47,1,20/05/2020 11:19,231,c1256 ,mw25,2020,2234,TRUE,F,adult,adult,adult,adult,0,MW25,
49,01101717C8,31,37,1,15/05/2020 10:24,35,c1252 ,mw19,2020,848,FALSE,M,NA,NA,NA,adult,NA,MW19,
50,011017193C,32,118,2,20/05/2020 09:06,1021,c1254 ,mw89,2020,778,FALSE,F,notBornYet,juvenile,adult,juvenile,NA,MW89,
51,0110174FC8,45,57,1,15/05/2020 12:23,978,c1256 ,mw27,2020,781,TRUE,F,NA,NA,NA,adult,NA,MW27,
52,01103F502D,48,30,1,17/05/2020 09:33,1068,c1256 ,mw142,2020,686,FALSE,M,juvenile,adult,adult,adult,NA,MW142,
53,01103F51E9,50,79,1,19/05/2020 12:19,397,c1252 ,mw45,2020,355,TRUE,M,notBornYet,juvenile,adult,juvenile,NA,MW45,
54,01103F5952,53,51,1,19/05/2020 10:00,392,c1254 ,mw26,2020,1264,TRUE,F,notBornYet,juvenile,adult,juvenile,NA,MW26,
55,01103F5C20,55,61,1,16/05/2020 10:06,576,c1254 ,mw3,2020,1026,FALSE,F,notBornYet,juvenile,adult,juvenile,NA,MW3,
56,01103F5E08,56,52,2,19/05/2020 09:48,510,c1254 ,mw26,2020,554,FALSE,M,notBornYet,juvenile,adult,juvenile,NA,MW26,
57,01103F5F62,57,14,2,17/05/2020 09:05,85,c1272 ,mw11,2020,149,FALSE,F,notBornYet,juvenile,adult,juvenile,NA,MW11,
58,01103F9A3A,61,80,2,19/05/2020 12:26,915,c1252 ,mw45,2020,766,FALSE,F,notBornYet,juvenile,adult,juvenile,NA,MW45,
59,01103FD262,63,85,1,16/05/2020 12:20,930,c1252 ,mw49,2020,499,FALSE,M,notBornYet,juvenile,adult,juvenile,NA,MW49,
60,01103FDB47,64,41,1,20/05/2020 10:39,874,c1254 ,mw22,2020,137,FALSE,M,notBornYet,juvenile,adult,juvenile,NA,MW22,
61,01103FDC8F,65,99,2,17/05/2020 10:59,53,c1272 ,mw60,2020,1401,FALSE,F,notBornYet,juvenile,adult,juvenile,NA,MW66,
62,01103FE1F3,66,38,2,15/05/2020 10:15,504,c1252 ,mw19,2020,331,FALSE,F,notBornYet,juvenile,adult,juvenile,NA,MW19,
63,01103FE319,68,70,1,19/05/2020 09:15,253,c1252 ,mw36,2020,1363,FALSE,F,notBornYet,juvenile,adult,juvenile,NA,MW36,
64,01103FE413,69,42,2,20/05/2020 10:45,167,c1254 ,mw22,2020,459,FALSE,F,notBornYet,juvenile,adult,juvenile,NA,MW22,
65,01103FE70C,70,59,1,24/05/2020 10:35,123,c1256 ,mw29,2020,233,FALSE,F,notBornYet,juvenile,adult,juvenile,0,MW29,
66,110170740,23,110,1,20/05/2020 12:38,1019,c1256 ,mw75,2020,1469,TRUE,F,NA,NA,NA,adult,2,MW75,
67,011016FD16,14,112,1,16/05/2021 09:25,585,c1252 ,mw78,2021,352,TRUE,F,juvenile,adult,adult,adult,NA,MW78,
68,01103F51E9,49,82,1,07/05/2021 10:25,101,c1252 ,mw45,2021,798,TRUE,M,notBornYet,juvenile,adult,adult,4,MW45,
69,01103F52F9,51,83,2,07/05/2021 10:29,858,c1252 ,mw45,2021,1037,FALSE,F,notBornYet,juvenile,adult,adult,4,MW45,
70,01103F5952,52,49,1,20/05/2021 09:59,1104,c1252 ,mw25,2021,1580,TRUE,F,notBornYet,juvenile,adult,adult,9,MW25,
71,01103F68B8,58,72,1,24/05/2021 11:16,348,c1252 ,mw4,2021,2521,FALSE,M,notBornYet,juvenile,adult,adult,3,MW4,
72,01103FE30A,67,73,2,24/05/2021 11:04,292,c1252 ,mw4,2021,1782,FALSE,F,notBornYet,notBornYet,juvenile,juvenile,3,MW4,
